game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,der-eisendrache,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=ZJw3yd-WIDI,,co-op,86,2,mathdattack,bennitoV,,,0,
bo3,shadows-of-evil,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=CGMkf-SVLew,,co-op,80,2,bennitoV,mathdattack,,,0,
bo3,zetsubou-no-shima,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=Rfzvs38G6qI,,co-op,74,2,QC_MONKYDRIVER77,mathdattack,,,0,
bo3,der-eisendrache,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=bPx3fzfE1IE,,solo,74,1,mathdattack,,,,0,
bo3,kino-der-toten,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=c1QklVrFMnk,,co-op,72,3,Xx Drop Shot Xx,mathdattack,Dr_Richtofen_lll,,0,
bo3,shangri-la,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=64-WwhpU1_s,,co-op,67,2,Xx Drop Shot Xx,mathdattack,,,0,
bo3,shi-no-numa,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=K-pJnw-6uow,,co-op,63,2,mathdattack,Dr_Richtofen_lll,,,0,
bo3,the-giant,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=08UM9swu690,,co-op,55,2,mathdattack,bennitoV,,,0,
bo3,shadows-of-evil,flawless,classic-gobblegum-only,playstation,https://youtube.com/watch?v=dqKsvL0xER8,,solo,120,1,mathdattack,,,,0,
bo3,the-giant,flawless,classic-gobblegum-only,playstation,https://youtube.com/watch?v=UseXaT-VT_I,,solo,103,1,mathdattack,,,,0,
bo3,the-giant,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=T8FH91nchcM,,solo,96,1,mathdattack,,,,0,
bo3,der-eisendrache,flawless,classic-gobblegum-only,playstation,https://youtube.com/watch?v=NOI9_ROI70k,,solo,88,1,mathdattack,,,,0,
bo3,shangri-la,flawless,classic-gobblegum-only,playstation,https://youtube.com/watch?v=NYPnhOmPPLA,,solo,84,1,mathdattack,,,,0,
bo3,shangri-la,flawless,classic-gobblegum-only,playstation,https://youtube.com/watch?v=ewCzfCnkFUc,,co-op,48,2,mathdattack,Dr_Richtofen_lll,,,0,
bo4,ix,flawless,all-elixirs-talismans,playstation,https://youtube.com/watch?v=ttQHUTLyJ_8,,co-op,36,3,mathdattack,biscuitkiller766,cruorvinco,,0,
bo3,der-eisendrache,no-jug,classic-gobblegum-only,playstation,https://youtube.com/watch?v=qeBMz9Xv97I,,solo,88,1,mathdattack,,,,0,
bo3,the-giant,no-jug,classic-gobblegum-only,playstation,https://youtube.com/watch?v=_NgodJGwKqY,,solo,70,1,mathdattack,,,,0,
