game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,kino-der-toten,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=7MVDN2l4yJo,,solo,209,1,mijas123,,,,0,
bo3,shangri-la,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=51J5r-5XEso,,solo,135,1,mijas123,,,,0,
bo3,origins,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=QgOn_rZTBBE,,solo,121,1,mijas123,,,,0,
bo3,nacht-der-untoten,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=lUglqs_swik,,solo,114,1,mijas123,,,,0,
bo3,origins,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=NntfXKrG0iA,,co-op,114,3,Rubiii_8,mijas123,Jordi Pi,,0,
bo3,origins,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=bPCpoW8RKsY,,co-op,111,2,Rubiii_8,mijas123,,,0,
bo3,verruckt,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=XA7nKkdLqeI,,solo,72,1,mijas123,,,,0,
bo4,classified,high-round,classic-elixirs-only,playstation,https://youtube.com/watch?v=Dfjz38G7D38,,co-op,69,3,Rubiii_8,mijas123,The_Cerdo_Gamer,,0,
bo3,origins,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=G82gwIueycg,,co-op,68,4,Rubiii_8,mijas123,VeVes115,joelsolasa,0,
bo3,origins,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=X_eMsFPj7WA,,co-op,52,3,MUSLOO,mijas123,WillPower,,0,
wwii,gresten-haus,high-round,,playstation,https://youtube.com/watch?v=hHCqeOeez7g,,co-op,50,3,Rubiii_8,mijas123,VeVes115,,0,
bo3,kino-der-toten,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=kEg707e9e50,,co-op,44,4,mijas123,adrian,jimy,billsuprem,0,
bo3,kino-der-toten,flawless,classic-gobblegum-only,playstation,https://youtube.com/watch?v=JCsOFvonygs,,solo,158,1,mijas123,,,,0,
bo3,origins,flawless,classic-gobblegum-only,playstation,https://youtube.com/watch?v=bPCpoW8RKsY,,co-op,111,2,Rubiii_8,mijas123,,,0,
bo3,ascension,no-aat,classic-gobblegum-only,playstation,https://youtube.com/watch?v=qznY6l2YVhw,,solo,91,1,mijas123,,,,0,
bo3,the-giant,no-aat,classic-gobblegum-only,playstation,https://youtube.com/watch?v=Y9RGZy9qA4w,,solo,51,1,mijas123,,,,0,
bo4,ix,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=KmhjtW48GP4,,co-op,50,4,Rubiii_8,mijas123,The_Cerdo_Gamer,Davidafkzed,0,
bo4,ix,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=bT6jdsXzf3A,,co-op,40,4,Rubiii_8,mijas123,The_Cerdo_Gamer,Barbara,0,
bo4,blood-of-the-dead,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=ItGJLAh7dZQ,,co-op,35,3,Rubiii_8,mijas123,kttiger666,,0,
bo4,voyage-of-despair,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=mDuIW_Y9L0Y,,co-op,33,3,Rubiii_8,mijas123,AlbertOwned,,0,
bo4,classified,first-room,classic-elixirs-only-hardcore,playstation,https://youtube.com/watch?v=HB2Vs7TlWHA,,co-op,22,2,Rubiii_8,mijas123,,,0,
bo3,nacht-der-untoten,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=bLMxmibjeV0,,co-op,22,2,mijas123,MUSLOO,,,0,
bo3,shangri-la,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=nhKrwqr_8iE,,co-op,16,4,mijas123,MUSLOO,trouriri96,Semtex115,0,
bo3,ascension,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=qznY6l2YVhw,,solo,91,1,mijas123,,,,0,
wwii,the-darkest-shore,no-power,no-consumables,playstation,https://youtube.com/watch?v=LKYPZp38P_s,,solo,84,1,mijas123,,,,0,
bo3,origins,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=X_eMsFPj7WA,,co-op,52,3,MUSLOO,WillPower,mijas123,,0,
bo3,the-giant,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=Y9RGZy9qA4w,,solo,51,1,mijas123,,,,0,
bo4,blood-of-the-dead,no-power,classic-elixirs-only,playstation,https://youtube.com/watch?v=ItGJLAh7dZQ,,co-op,35,3,Rubiii_8,mijas123,Jordi Pi,,0,
bo3,revelations,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=0r90bJDyuE0,,co-op,31,4,mijas123,Zgamer999_XD,trouriri96,lareinaeli,0,
bo3,nacht-der-untoten,no-jug,classic-gobblegum-only,playstation,https://youtube.com/watch?v=-kSJdw4F3H4,,solo,114,1,mijas123,,,,0,
bo4,ix,30-speedrun,all-elixirs-talismans,playstation,https://youtube.com/watch?v=TzLxzNYHshk,,co-op,56:12,4,Rubiii_8,mijas123,The_Cerdo_Gamer,XxFranciskanerxX,0,
bo4,classified,realistic,classic-elixirs-only,playstation,https://youtube.com/watch?v=rzVuwFO905E,,co-op,24,4,Rubiii_8,mijas123,The_Cerdo_Gamer,Jordi Pi,0,
bo4,classified,realistic,all-elixirs-talismans,playstation,https://youtube.com/watch?v=rzVuwFO905E,,co-op,24,4,Jordi Pi,Rubiii_8,mijas123,The_Cerdo_Gamer,0,
