game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo2,buried,high-round,,steam,http://twitch.tv/videos/2241796423,,co-op,210,2,Blasters,notwayq,,,0,
bo2,origins,high-round,,steam,http://twitch.tv/videos/2554763125,,solo,177,1,notwayq,,,,0,
bo2,farm,high-round,,steam,http://twitch.tv/videos/1665068814,,co-op,95,2,Blasters,notwayq,,,0,
bo,der-riese,high-round,,steam,http://twitch.tv/videos/1288079637,,co-op,62,4,QeZiaa,notwayq,Blasters,BDZ Ekzx,0,
bo2,buried,flawless,,steam,http://twitch.tv/videos/978557175,,co-op,52,3,notwayq,NeiZz,Maniazzthereturn,,0,
bo2,town,first-room,classic,steam,https://youtube.com/watch?v=AYk_Qdi1FRc,,co-op,51,4,Blasters,LeGrandJWD,NeiZz,notwayq,0,
bo2,die-rise,first-room,,steam,http://twitch.tv/videos/816912521,,co-op,50,2,notwayq,Blasters,,,0,
bo2,origins,first-room,,steam,http://twitch.tv/videos/1149255835,,co-op,42,4,AsTroX,Blasters,QeZiaa,notwayq,0,
bo2,die-rise,no-power,,steam,https://youtube.com/watch?v=tdJvGgRJBq8,,co-op,114,2,Blasters,notwayq,,,0,
bo2,tranzit,no-power,,steam,https://youtube.com/watch?v=T7dN36uV2w4,,co-op,68,2,notwayq,Thysa,,,0,
bo2,buried,no-power,,steam,http://twitch.tv/videos/810652029,,co-op,54,3,Blasters,notwayq,Thysa,,0,
bo2,mob-of-the-dead,no-power,,steam,https://youtube.com/watch?v=UPZqv-ppqXI,,co-op,53,3,notwayq,NeiZz,Thysa,,0,
bo2,origins,30-speedrun,,steam,https://youtube.com/watch?v=c6lrbP46eS0,,co-op,39:59,2,NeiZz,notwayq,,,0,
bo2,buried,30-speedrun,,steam,http://twitch.tv/videos/810652029,,co-op,1:23:03,3,Blasters,notwayq,Thysa,,0,
bo2,origins,100-speedrun,,steam,https://youtube.com/watch?v=JPM_PjYdZ6Y,,solo,3:09:57,1,notwayq,,,,0,
community,die-rise,com-b23r,,steam,https://youtube.com/watch?v=7OIugbh3dco,,co-op,24,2,NeiZz,notwayq,,,0,
community,mob-of-the-dead,com-warden,,steam,http://twitch.tv/videos/971700866,,co-op,26,4,LeGrandJWD,notwayq,NeiZz,Maniazzthereturn,0,
