game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,nacht-der-untoten,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=Jai1tCHBmO4,,co-op,49,2,Midgetman,rennebu2,,,0,
bo3,nacht-der-untoten,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=Jai1tCHBmO4,,co-op,49,2,rennebu2,Midgetman0021,,,0,
bo3,kino-der-toten,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=U2eruKfkLjo,,co-op,46,2,Midgetman,rennebu2,,,0,
bo3,verruckt,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=yMeN3h4fhHw,,solo,32,1,rennebu2,,,,0,
bo3,origins,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=RSu6o8dnEIU,,co-op,29,4,Midgetman0021,rennebu2,ShadyAlmighty,Loz_Mystic-_-,0,
bo3,verruckt,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=bQaFOyv85ls,,co-op,28,4,Midgetman0021,rennebu2,r-2,Loz_Mystic-_-,0,
bo3,verruckt,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=UqDGs5Mzxz8,,co-op,25,2,Midgetman0021,rennebu2,,,0,
bo3,der-eisendrache,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=amtyj-FwWF4,,co-op,25,3,rennebu2,Midgetman0021,r-2,,0,
bo3,der-eisendrache,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=qM49mch-XQM,,co-op,30,2,Midgetman0021,rennebu2,,,0,
bo3,shangri-la,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=6hEEL8RzWJA,,co-op,30,2,Midgetman0021,rennebu2,,,0,
bo3,origins,flawless,no-gobblegum,playstation,https://youtube.com/watch?v=RSu6o8dnEIU,,co-op,29,4,Midgetman0021,rennebu2,ShadyAlmighty,Loz_Mystic-_-,0,
bo3,shadows-of-evil,flawless,classic-gobblegum-only,playstation,https://youtube.com/watch?v=T-M3HZJUoXA,,co-op,28,3,Midgetman0021,rennebu2,r-2,,0,
bo3,revelations,no-aat,mega-gobblegum,playstation,https://youtube.com/watch?v=IYic6yj4NuM,,solo,104,1,rennebu2,,,,0,
bo3,shangri-la,first-room,mega-gobblegum,playstation,https://youtube.com/watch?v=6hEEL8RzWJA,,co-op,30,2,Midgetman0021,rennebu2,,,0,
bo3,shi-no-numa,first-room,mega-gobblegum,playstation,https://youtube.com/watch?v=1uW8ugJf4Dw,,co-op,29,2,Midgetman0021.,rennebu2,,,0,
bo3,shi-no-numa,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=cRtmrvbFdVQ,,solo,21,1,rennebu2,,,,0,
