game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,revelations,no-aat,no-gobblegum,playstation,http://twitch.tv/videos/139400146,,solo,93,1,reunionai25,,,,0,
bo3,kino-der-toten,first-room,no-gobblegum,playstation,http://twitch.tv/videos/156808156,,solo,45,1,reunionai25,,,,0,
bo3,gorod-krovi,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/145019877,,solo,42,1,reunionai25,,,,0,
bo3,kino-der-toten,first-room,no-gobblegum,playstation,http://twitch.tv/videos/186901247,,co-op,39,2,MoatazHd,reunionai25,,,0,
bo3,kino-der-toten,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=dfjQOc_thUg,,co-op,33,2,G XIII,reunionai25,,,0,
bo3,kino-der-toten,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=dfjQOc_thUg,,co-op,33,2,G XIII,reunionai25,,,0,
bo3,kino-der-toten,first-room,no-gobblegum,playstation,http://twitch.tv/videos/166719977,,co-op,29,3,eV_Crony,Corleone_Ripro93,reunionai25,,0,
bo3,origins,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=qiz91TdPnC4,,co-op,29,3,eV_Crony,FuZaaX-,reunionai25,,0,
bo3,revelations,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/121570552,,co-op,28,4,ImTyRRoN,reunionai25,eV_Crony,FuZaaX-,0,
bo3,verruckt,first-room,no-gobblegum-quick-side,playstation,https://youtube.com/watch?v=iIXUSI2fOtE,,co-op,26,2,MoatazHd,reunionai25,,,0,
bo3,shangri-la,first-room,no-gobblegum,playstation,http://twitch.tv/videos/166956280,,co-op,26,4,Dr_Demon_Soul,eV_Crony,reunionai25,Dark-gamer-90,0,
bo3,gorod-krovi,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=B0T8FbGYUKc,,co-op,26,4,G XIII,apasbeau,DeMan_live,reunionai25,0,
bo3,gorod-krovi,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=B0T8FbGYUKc,,co-op,26,4,G XIII,apasbeau,DeMan_live,reunionai25,0,
bo3,verruckt,first-room,no-gobblegum-jug-side,playstation,https://youtube.com/watch?v=rnnAV13CH8w,,co-op,25,2,The Real Kyky,reunionai25,,,0,
bo3,verruckt,first-room,no-gobblegum-mixed,playstation,https://youtube.com/watch?v=ysTOzjkBvlQ,,co-op,25,4,MoatazHd,gerry000268,gianeuphorik17,reunionai25,0,
bo3,shi-no-numa,first-room,no-gobblegum,playstation,http://twitch.tv/videos/166618056,,co-op,23,3,ZPr0Sk1lz,reunionai25,eV_Crony,,0,
bo3,der-eisendrache,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/116045140,,co-op,22,2,reunionai25,FuZaaX-,,,0,
bo3,verruckt,first-room,no-gobblegum-quick-side,playstation,http://twitch.tv/videos/227315706,,solo,21,1,reunionai25,,,,0,
bo3,gorod-krovi,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/118284232,,co-op,21,2,reunionai25,FuZaaX-,,,0,
bo3,gorod-krovi,first-room,no-gobblegum,playstation,http://twitch.tv/videos/109944210,,co-op,16,4,FuZaaX-,Galactik30,reunionai25,ZPr0Sk1lz,0,
bo3,revelations,no-power,no-gobblegum,playstation,http://twitch.tv/videos/139400146,,solo,93,1,reunionai25,,,,0,
bo3,gorod-krovi,no-power,classic-gobblegum-only,playstation,http://twitch.tv/videos/127308393,,co-op,53,4,LaUrE_bAtTuT23,G XIII,reunionai25,iiLunix--,0,
