game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,liberty-falls,high-round,no-gobblegums-with-support,steam,https://youtube.com/watch?v=FckTq0FByhU,,solo,151,1,reuv1,,,,0,
bo2,die-rise,high-round,,steam,https://youtube.com/watch?v=ShWvY-bXWPo,,solo,87,1,reuv1,,,,0,
bo2,buried,high-round,,steam,https://youtube.com/watch?v=fE7Y_msgGHE,,solo,70,1,reuv1,,,,0,
bo6,the-tomb,high-round,with-gobblegums-no-support,steam,https://youtube.com/watch?v=hOvGLyqHB_k,,solo,68,1,reuv1,,,,0,
bo2,nuketown,high-round,,steam,https://youtube.com/watch?v=k97SURa8PUg,,solo,43,1,reuv1,,,,0,
bo2,town,high-round,,steam,https://youtube.com/watch?v=6T5IzPt-pwI,,solo,40,1,reuv1,,,,0,
bo2,tranzit,high-round,,steam,https://youtube.com/watch?v=yBWJCZNDWtI,,solo,38,1,reuv1,,,,0,
waw,nacht-der-untoten,high-round,original,steam,https://youtube.com/watch?v=1LjIC_GU-ng,,solo,34,1,reuv1,,,,0,
waw,der-riese,high-round,original,steam,https://youtube.com/watch?v=kzpbg-UAaGA,,solo,31,1,reuv1,,,,0,
bo2,die-rise,flawless,,steam,https://youtube.com/watch?v=ShWvY-bXWPo,,solo,87,1,reuv1,,,,0,
bo6,terminus,first-room,no-gobblegums-with-support,steam,https://youtube.com/watch?v=5Ymzcr_d1wA,,solo,20,1,reuv1,,,,0,
custom,dead-high-bo3,custom-no-power-bo3,,steam,https://youtube.com/watch?v=w07gY2NvPnc,,co-op,14,2,reuv1,jay.,,,0,
bo2,die-rise,30-speedrun,,steam,https://youtube.com/watch?v=XHSeTTzntdk,,solo,32:05,1,reuv1,,,,0,
bo3,the-giant,50-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=ti6gQoope-I,,solo,56:35,1,reuv1,,,,0,
community,liberty-falls,melee,,steam,https://youtube.com/watch?v=gYzGtLKW5fM,,solo,60,1,reuv1,,,,0,
community,tranzit,com-bus,,steam,https://youtube.com/watch?v=BvXlHNfpSUw,,solo,17,1,reuv1,,,,0,
