game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,revelations,high-round,mega-gobblegum,playstation,http://twitch.tv/videos/319431913,,co-op,127,4,Kakakarotcake,Trophyhuntermanu,GxdLikeShura,ruthless-gerrit,0,
bo3,ascension,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=MD5SHZuw_kE,,co-op,99,4,Simjani,Trophyhuntermanu,Kakakarotcake,ruthless-gerrit,0,
bo3,revelations,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=Q2fJOjLD4RQ,,co-op,93,4,Kakakarotcake,Simjani,ruthless-gerrit,NumbingBox73,0,
bo3,revelations,high-round,mega-gobblegum,playstation,http://twitch.tv/videos/220784255,,co-op,93,4,Jackycola93sky,ruthless-gerrit,Kakakarotcake,Trophyhuntermanu,0,
bo3,der-eisendrache,high-round,mega-gobblegum,playstation,http://twitch.tv/videos/237579863,,co-op,86,4,Jackycola93sky,ruthless-gerrit,Kakakarotcake,easy_985,0,
bo3,shangri-la,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=LT96nCIzHjk,,co-op,72,3,Kakakarotcake,ruthless-gerrit,MaxMaxi18,,0,
bo3,shadows-of-evil,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=VUktU7iOvNk,,co-op,71,4,Kakakarotcake,ruthless-gerrit,Trophyhuntermanu,NumbingBox73,0,
bo3,der-eisendrache,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=TCxcCt6rY3s,,co-op,70,4,Jackycola93sky,Kakakarotcake,street-boy_1,ruthless-gerrit,0,
wwii,the-darkest-shore,high-round,,playstation,http://twitch.tv/videos/283301452,,co-op,69,3,Trophyhuntermanu,ruthless-gerrit,Nevelblack,,0,
bo3,shi-no-numa,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=o-VD0RyW53I,,co-op,60,3,Aiimzevolution,Kakakarotcake,ruthless-gerrit,,0,
bo3,der-eisendrache,high-round,classic-gobblegum-only,playstation,http://twitch.tv/videos/227865553,,co-op,57,4,Jackycola93sky,Kakakarotcake,ruthless-gerrit,TYGA__356,0,
wwii,gresten-haus,high-round,,playstation,http://twitch.tv/videos/288361795,,co-op,55,4,Trophyhuntermanu,Kakakarotcake,ruthless-gerrit,P1mp_Ju1ce_95,0,
wwii,gresten-haus,high-round,,playstation,https://youtube.com/watch?v=K-QH7C50wWc,,co-op,50,4,Kakakarotcake,rex007021,ruthless-gerrit,Kommissar_Siggi,0,
bo3,zetsubou-no-shima,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=Q71lCAcVxug,,co-op,48,4,Jackycola93sky,Kakakarotcake,ruthless-gerrit,stricker1986,0,
wwii,the-darkest-shore,first-room,with-consumables,playstation,https://youtube.com/watch?v=kKBDOZe-U3w,,co-op,33,4,Kakakarotcake,P1mp_Ju1ce_95,rex007021,ruthless-gerrit,0,
wwii,the-darkest-shore,no-power,with-consumables,playstation,https://youtube.com/watch?v=kKBDOZe-U3w,,co-op,33,4,Kakakarotcake,P1mp_Ju1ce_95,rex007021,ruthless-gerrit,0,
