game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,citadelle-des-morts,high-round,no-gobblegums-no-support,playstation,https://youtube.com/watch?v=epZ3fDUsjyo,,co-op,145,3,Ross88bic,shaun_12937,Random-Grenader,,0,
bo6,shattered-veil,high-round,no-gobblegums-no-support,playstation,https://youtube.com/watch?v=FeLR8FkyNuM,,co-op,136,2,Ross88bic,shaun_12937,,,0,
bo6,shattered-veil,high-round,no-gobblegums-no-support,playstation,https://youtube.com/watch?v=embxQrV4u88,,co-op,131,3,Ross88bic,shaun_12937,Cyndilou7373,,0,
bo6,shattered-veil,high-round,with-gobblegums-no-support,playstation,https://youtube.com/watch?v=KxCMmnsaBnw,,co-op,123,3,Ross88bic,shaun_12937,Cyndilou7373,,0,
bo7,exit-115,high-round,with-support,playstation,https://youtube.com/watch?v=qQMdM2srjGg,,co-op,86,3,Ross88bic,Cyndilou7373,shaun_12937,,0,
bo6,shattered-veil,high-round,no-gobblegums-no-support,playstation,https://youtube.com/watch?v=mM5Hk7ya_bE,,co-op,79,4,Ross88bic,shaun_12937,MidwesternOpe,Ryan8924,0,
bo6,shattered-veil,flawless,with-gobblegums-no-support,playstation,https://youtube.com/watch?v=KxCMmnsaBnw,,co-op,116,3,Ross88bic,shaun_12937,Cyndilou7373,,0,
bo6,citadelle-des-morts,first-room,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=3bDsPiRm788,,solo,261,1,shaun_12937,,,,0,
bo6,citadelle-des-morts,first-room,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=AjOwJgnOPt8,,co-op,194,2,shaun_12937,Bradley0104,,,0,
bo6,citadelle-des-morts,first-room,no-gobblegums-with-support,playstation,https://youtube.com/watch?v=0iZD2YAvp3E,,co-op,190,2,Ross88bic,shaun_12937,,,0,
bo6,shattered-veil,first-room,with-gobblegums-no-support,playstation,https://youtube.com/watch?v=3E7Hx_bP5z8,,co-op,153,2,Ross88bic,shaun_12937,,,0,
bo6,citadelle-des-morts,first-room,no-gobblegums-no-support,playstation,https://youtube.com/watch?v=epZ3fDUsjyo,,co-op,145,3,Ross88bic,shaun_12937,Random-Grenader,,0,
bo6,citadelle-des-morts,first-room,no-gobblegums-no-support,playstation,https://youtube.com/watch?v=H8Gq-UxDRg0,,co-op,134,2,Ross88bic,shaun_12937,,,0,
bo6,shattered-veil,first-room,with-gobblegums-no-support,playstation,https://youtube.com/watch?v=KxCMmnsaBnw,,co-op,123,3,Ross88bic,Cyndilou7373,shaun_12937,,0,
bo6,the-tomb,first-room,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=-vrWqrN3kpI,,co-op,102,2,Ross88bic,shaun_12937,,,0,
bo6,terminus,first-room,no-gobblegums-with-support,playstation,https://youtube.com/watch?v=uJ6SOEOnkQY,,co-op,100,4,Ross88bic,shaun_12937,Cyndilou7373,Bradley0104,0,
bo6,terminus,first-room,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=l11Bg_hKX1o,,co-op,89,2,Ross88bic,shaun_12937,,,0,
bo6,the-tomb,first-room,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=TddsOdVAoPk,,co-op,87,3,Ross88bic,shaun_12937,Cyndilou7373,,0,
bo7,exit-115,first-room,no-gobblegums,playstation,https://youtube.com/watch?v=qQMdM2srjGg,,co-op,86,3,Ross88bic,Cyndilou7373,shaun_12937,,0,
bo6,terminus,first-room,no-gobblegums-no-support,playstation,https://youtube.com/watch?v=bDl7hnH1Ct4,,co-op,77,4,Ross88bic,shaun_12937,Bradley0104,SM0k3Y,0,
bo6,terminus,first-room,with-gobblegums-no-support,playstation,https://youtube.com/watch?v=adgjaI8Ddb4,,co-op,77,3,Ross88bic,Cyndilou7373,shaun_12937,,0,
bo6,citadelle-des-morts,first-room,purist,playstation,https://youtube.com/watch?v=uTg1LZ9YdJU,,solo,76,1,shaun_12937,,,,0,
bo6,the-tomb,first-room,no-gobblegums-with-support,playstation,https://youtube.com/watch?v=bHEokfVvsc4,,co-op,74,3,shaun_12937,SM0k3Y,Bradley0104,,0,
bo6,shattered-veil,first-room,no-gobblegums-no-support,playstation,https://youtube.com/watch?v=aOjtC7MoZVY,,solo,72,1,shaun_12937,,,,0,
