game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
mw3,seatown,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=S2K_oHwXOY0,,co-op,141,2,shiftEXjapan,jonasfrank,,,0,
mw3,parish,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=j78bA4m9TK4,,solo,112,1,shiftEXjapan,,,,0,
mw3,hardhat,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=tlqm8ZXaAAY,,solo,105,1,shiftEXjapan,,,,0,
mw3,piazza,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=T8zXvb23w2E,,solo,104,1,shiftEXjapan,,,,0,
mw3,dome,high-round-survival,no-traps,playstation,https://youtube.com/watch?v=hxbmmY9knw8,,solo,98,1,shiftEXjapan,,,,0,
mw3,mission,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=IOEaPkw6mGw,,solo,92,1,shiftEXjapan,,,,0,
mw3,terminal,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=0UQN6UQT98o,,solo,92,1,shiftEXjapan,,,,0,
mw3,boardwalk,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=4DZgsd1jaTI,,solo,92,1,shiftEXjapan,,,,0,
mw3,overwatch,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=U31efsGCnGU,,solo,89,1,shiftEXjapan,,,,0,
mw3,hardhat,high-round-survival,no-traps,playstation,https://youtube.com/watch?v=56mc8MRUtK0,,co-op,87,2,shiftEXjapan,T-H-S-C64,,,0,
mw3,gulch,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=Jif9uwV0y_0,,solo,86,1,shiftEXjapan,,,,0,
mw3,dome,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=FSH_WtGIIBI,,co-op,84,2,shiftEXjapan,X_L3GiT-GAM3R_X2,,,0,
mw3,decommission,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=0YisHYXH72U,,solo,84,1,shiftEXjapan,,,,0,
mw3,fallen,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=ymGIhT9oK9s,,solo,82,1,shiftEXjapan,,,,0,
mw3,piazza,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=HZRDj_ziCu4,,co-op,82,2,shiftEXjapan,Sfg-31 Sakura,,,0,
mw3,resistance,high-round-survival,no-traps,playstation,https://youtube.com/watch?v=STT6RaWyLsM,,co-op,78,2,T-H-S-C64,shiftEXjapan,,,0,
mw3,oasis,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=s-I7KRO4Hfw,,solo,76,1,shiftEXjapan,,,,0,
mw3,liberation,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=cO0ySvQd08Q,,solo,75,1,shiftEXjapan,,,,0,
mw3,arkaden,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=Ek1lETlUApY,,co-op,73,2,shiftEXjapan,herondey,,,0,
mw3,lockdown,high-round-survival,no-traps,playstation,https://youtube.com/watch?v=_ouOO5orn18,,co-op,70,2,shiftEXjapan,T-H-S-C64,,,0,
mw3,foundation,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=RlKcKei05So,,solo,63,1,shiftEXjapan,,,,0,
mw3,bootleg,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=fpSMzP5MLms,,solo,61,1,shiftEXjapan,,,,0,
mw3,interchange,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=ExgC02tfBwU,,solo,58,1,shiftEXjapan,,,,0,
mw3,outpost,high-round-survival,no-traps,playstation,https://youtube.com/watch?v=soDQaDBVFsU,,co-op,57,2,shiftEXjapan,T-H-S-C64,,,0,
mw3,black-box,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=N5YUEWzOuXs,,solo,48,1,shiftEXjapan,,,,0,
mw3,oasis,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=i-2GsMOaLI4,,co-op,48,2,shiftEXjapan,Harv-Frank,,,0,
mw3,village,points-chaos,,playstation,https://youtube.com/watch?v=rGoO_xJI_Tk,,co-op,145388600,2,shiftEXjapan,T-H-S-C64,,,0,
mw3,underground,points-chaos,,playstation,https://youtube.com/watch?v=4Yr_XPKOGIY,,solo,64513500,1,shiftEXjapan,,,,0,
