game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
mw3,stay-sharp,speedrun-specops,,steam,https://youtube.com/watch?v=EaV54XqAhHo,,co-op,0:18,2,Klooger,simozx,,,0,
mw2,the-pit,speedrun-specops,,steam,https://youtube.com/watch?v=qS2ndx4nERY,,co-op,0:19.85,2,simozx,Benji_,,,0,
mw3,stay-sharp,speedrun-specops,,steam,https://youtube.com/watch?v=YWKkOLgXrCI,,solo,0:21,1,simozx,,,,0,
mw3,milehigh-jack,speedrun-specops,regular,steam,https://youtube.com/watch?v=X6I_RKGTXiE,,co-op,0:23,2,Klooger,simozx,,,0,
mw3,milehigh-jack,speedrun-specops,regular,steam,https://youtube.com/watch?v=WWmtd7CXvg8,,solo,0:23,1,simozx,,,,0,
mw3,charges-set,speedrun-specops,,steam,https://youtube.com/watch?v=EaV54XqAhHo,,co-op,0:24,2,simozx,Klooger,,,0,
mw3,charges-set,speedrun-specops,,steam,https://youtube.com/watch?v=9vHou0NnOZw,,solo,0:25,1,simozx,,,,0,
mw3,hostage-taker,speedrun-specops,regular,steam,https://youtube.com/watch?v=Y0knZb2RO_Q,,co-op,0:37,2,simozx,Klooger,,,0,
mw3,fire-mission,speedrun-specops,regular,steam,https://youtube.com/watch?v=IyxND24pX5w,,co-op,0:45,2,Klooger,simozx,,,0,
mw3,hostage-taker,speedrun-specops,regular,steam,https://youtube.com/watch?v=9vHou0NnOZw,,solo,0:48,1,simozx,,,,0,
mw3,firewall,speedrun-specops,regular,steam,https://youtube.com/watch?v=f6H1h2zmCD8,,co-op,0:56,2,Klooger,simozx,,,0,
mw3,invisible-threat,speedrun-specops,regular,steam,https://youtube.com/watch?v=u5jeu8zS92g,,co-op,1:03,2,Klooger,simozx,,,0,
mw3,resistance-movement,speedrun-specops,regular,steam,https://youtube.com/watch?v=8SoAm0ZYdV0,,co-op,1:13,2,Klooger,simozx,,,0,
mw3,fatal-extraction,speedrun-specops,regular,steam,https://youtube.com/watch?v=I3Wnah1iznM,,co-op,1:17,2,Klooger,simozx,,,0,
mw3,resistance-movement,speedrun-specops,regular,steam,https://youtube.com/watch?v=9vHou0NnOZw,,solo,1:33,1,simozx,,,,0,
mw3,over-reactor,speedrun-specops,regular,steam,https://youtube.com/watch?v=blZ7-H07zAM,,co-op,1:34,2,simozx,Klooger,,,0,
mw2,wardriving,speedrun-specops,regular,steam,https://youtube.com/watch?v=hvXr1NcnGW8,,co-op,1:43.50,2,Klooger,simozx,,,0,
mw3,hit-and-run,speedrun-specops,regular,steam,https://youtube.com/watch?v=bMhhVsQdFBM,,co-op,1:46,2,Klooger,simozx,,,0,
mw3,over-reactor,speedrun-specops,regular,steam,https://youtube.com/watch?v=PqEzx8mK1wo,,solo,1:47,1,simozx,,,,0,
mw3,hit-and-run,speedrun-specops,regular,steam,https://youtube.com/watch?v=TPvHc9u8CZg,,solo,1:51,1,simozx,,,,0,
mw3,invisible-threat,speedrun-specops,regular,steam,https://youtube.com/watch?v=9vHou0NnOZw,,solo,1:55,1,simozx,,,,0,
mw3,fatal-extraction,speedrun-specops,regular,steam,https://youtube.com/watch?v=9vHou0NnOZw,,solo,2:04,1,simozx,,,,0,
mw3,toxic-paradise,speedrun-specops,regular,steam,https://youtube.com/watch?v=yezFYN_tGOM,,co-op,2:11.0,2,simozx,Klooger,,,0,
mw3,little-bros,speedrun-specops,regular,steam,https://youtube.com/watch?v=EaV54XqAhHo,,co-op,2:30,2,simozx,Klooger,,,0,
mw3,little-bros,speedrun-specops,regular,steam,https://youtube.com/watch?v=9vHou0NnOZw,,solo,2:32,1,simozx,,,,0,
mw3,toxic-paradise,speedrun-specops,regular,steam,https://youtube.com/watch?v=9vHou0NnOZw,,solo,2:53.1,1,simozx,,,,0,
mw3,smack-town,speedrun-specops,regular,steam,https://youtube.com/watch?v=9vHou0NnOZw,,solo,3:08,1,simozx,,,,0,
mw3,smack-town,speedrun-specops,regular,steam,https://youtube.com/watch?v=EaV54XqAhHo,,co-op,3:09,2,Klooger,simozx,,,0,
mw3,server-crash,speedrun-specops,regular,steam,https://youtube.com/watch?v=r_2ubC-O7-k,,co-op,3:13,2,simozx,Klooger,,,0,
mw3,server-crash,speedrun-specops,regular,steam,https://youtube.com/watch?v=PO-5h-5TZH0,,solo,3:22,1,simozx,,,,0,
mw3,flood-the-market,speedrun-specops,regular,steam,https://youtube.com/watch?v=EaV54XqAhHo,,co-op,3:59,2,Klooger,simozx,,,0,
mw3,flood-the-market,speedrun-specops,regular,steam,https://youtube.com/watch?v=9vHou0NnOZw,,solo,4:06,1,simozx,,,,0,
mw3,modern-warfare-3,speedrun-superspecops,,steam,https://youtube.com/watch?v=9vHou0NnOZw,,solo,30:12,1,simozx,,,,0,
mw3,modern-warfare-3,speedrun-superspecops,,steam,https://youtube.com/watch?v=EaV54XqAhHo,,co-op,30:41,2,Klooger,simozx,,,0,
mw2,modern-warfare-2,speedrun-superspecops,,steam,https://youtube.com/watch?v=0FHm6PR4XP0,,co-op,31:22,2,Klooger,simozx,,,0,
mw2,modern-warfare-2,speedrun-superspecops,,steam,http://twitch.tv/videos/261273741,,solo,37:56,1,simozx,,,,0,
mw2,modern-warfare-2,speedrun-superspecops,,steam,https://youtube.com/watch?v=iI_e2F3K_rY,,co-op,43:26,2,Benji_,simozx,,,0,
