game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,forsaken,first-room,with-support,xbox,http://twitch.tv/videos/1744464548,,co-op,42,3,Faze Pixy,theninjas9416,expectedcrib34,,0,
bocw,forsaken,first-room,with-support,xbox,http://twitch.tv/videos/1693016443,,co-op,34,2,jinxr,theninjas9416,,,0,
bocw,forsaken,first-room,with-support,xbox,http://twitch.tv/videos/1693274388,,co-op,31,4,trisha is boss,jinxr,omnimenace,theninjas9416,0,
bocw,forsaken,first-room,with-support,xbox,http://twitch.tv/videos/1691550590,,co-op,29,3,jinxr,nhbazombie,theninjas9416,,0,
bocw,forsaken,first-room,with-support,xbox,http://twitch.tv/videos/1693091985,,co-op,26,3,trisha is boss,jinxr,theninjas9416,,0,
bocw,forsaken,first-room,with-support,xbox,http://twitch.tv/videos/1692223044,,solo,26,1,theninjas9416,,,,0,
bocw,forsaken,first-room,no-support,xbox,http://twitch.tv/videos/1758493011,,co-op,23,3,expectedcrib34,theninjas9416,ttvfazepixy,,0,
bocw,forsaken,first-room,with-support,xbox,http://twitch.tv/videos/1741965681,,co-op,23,2,Yu were adopted,theninjas9416,,,0,
bocw,forsaken,first-room,no-support,xbox,http://twitch.tv/videos/1695681253,,co-op,23,3,jinxr,nhbazombie,theninjas9416,,0,
bocw,mauer-der-toten,first-room,no-support,xbox,http://twitch.tv/videos/1758368663,,co-op,21,2,theninjas9416,expectedcrib34,,,0,
bocw,forsaken,no-power,,xbox,http://twitch.tv/videos/1751904340,,co-op,20,2,theninjas9416,expectedcrib34,,,0,
bocw,rush,onslaught,,xbox,http://twitch.tv/videos/1752001988,,co-op,38,2,expectedcrib34,theninjas9416,,,0,
bocw,forsaken,no-jug,with-armour,xbox,http://twitch.tv/videos/1692335256,,co-op,34,2,jinxr,theninjas9416,,,0,
bocw,forsaken,30-speedrun,,xbox,http://twitch.tv/videos/1686179539,,co-op,57:06,3,jinxr,nhbazombie,theninjas9416,,0,
bocw,forsaken,exfil-speedrun,round-11,xbox,http://twitch.tv/videos/1688124457,,co-op,6:19,2,Big Jimmy Dean,theninjas9416,,,0,
bocw,outbreak-operation-excision,ee-speedrun,,xbox,http://twitch.tv/videos/1692528974,,co-op,38:39,2,jinxr,theninjas9416,,,0,
bocw,outbreak,ee-speedrun,,xbox,http://twitch.tv/videos/1684611227,,co-op,1:18:20,2,jinxr,theninjas9416,,,0,
