game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,der-eisendrache,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=DQutA-jKob8,,co-op,136,2,Gundamx2013,thestrategist420,,,0,
bo3,der-eisendrache,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=jABq9Uu3iwE,,co-op,101,4,Gundamx2013,fear_no_man_0,thestrategist420,Nalle-puh-Warrior,0,
bo3,der-eisendrache,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=z_63cSGQWQk,,co-op,92,3,thestrategist420,fear_no_man_0,Plenitals,,0,
bo3,zetsubou-no-shima,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=WPBO99ZdfaM,,co-op,66,3,Gundamx2013,ImBarbiegirl-_-,thestrategist420,,0,
bo3,zetsubou-no-shima,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=eEC0SorL7eo,,co-op,52,4,Gundamx2013,ImBarbiegirl,Its_heftdnddd,thestrategist420,0,
bo3,der-eisendrache,flawless,classic-gobblegum-only,playstation,http://twitch.tv/videos/1173267918,,co-op,50,4,Gundamx2013,thestrategist420,JamminTc,ZerkTheDestroyer,0,
bo3,der-eisendrache,no-aat,mega-gobblegum,playstation,http://twitch.tv/videos/1184881815,,solo,127,1,thestrategist420,,,,0,
bo3,origins,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=ZI1jewTH2oY,,co-op,46,2,Gundamx2013,thestrategist420,,,0,
bo3,der-eisendrache,first-room,no-gobblegum,steam,http://twitch.tv/videos/1947389419,,co-op,41,2,RobbinRounds,thestrategist420,,,0,
bo3,der-eisendrache,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=0dUnsK1j-n4,,co-op,11,3,Ascensionx,jesse108mecham,thestrategist420,,0,
bo3,ascension,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=8A0OmleEiM0,,co-op,11,4,Ascensionx,thestrategist420,Brew,Vido,0,
bo3,der-eisendrache,no-perks,classic-gobblegum-only,playstation,https://youtube.com/watch?v=owPu921iDPg,,co-op,65,2,Gundamx2013,thestrategist420,,,0,
bo3,der-eisendrache,no-jug,mega-gobblegum,playstation,https://youtube.com/watch?v=TdYNd8qGoBQ,,co-op,74,2,fear_no_man_0,thestrategist420,,,0,
bo3,der-eisendrache,no-jug,no-gobblegum,playstation,http://twitch.tv/videos/1171991824,,co-op,43,2,Gundamx2013,thestrategist420,,,0,
bo3,der-eisendrache,100-speedrun,mega-gobblegum,playstation,http://twitch.tv/videos/1184881815,,solo,5:11:55,1,thestrategist420,,,,0,
