game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
mw3,dome,high-round-survival,no-traps,playstation,https://youtube.com/watch?v=TrPI9_1TLU8,,co-op,129,2,Harv-Frank,tjzigzag,,,0,
mw3,black-box,high-round-survival,no-traps,playstation,https://youtube.com/watch?v=adcOGSKQdIs,,co-op,120,2,Gandix23,tjzigzag,,,0,
mw3,interchange,high-round-survival,no-traps,playstation,https://youtube.com/watch?v=nsFNUvaYQqc,,co-op,110,2,tjzigzag,thk1996,,,0,
mw3,boardwalk,high-round-survival,no-traps,playstation,https://youtube.com/watch?v=oPqpti0HxCc,,co-op,88,2,tjzigzag,Gandix23,,,0,
mw3,outpost,high-round-survival,no-traps,playstation,https://youtube.com/watch?v=qq4nEXY1v4w,,co-op,86,2,Gandix23,tjzigzag,,,0,
mw3,off-shore,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=K5GnutpGh9w,,co-op,79,2,Gandix23,tjzigzag,,,0,
mw3,dome,high-round-survival,with-traps,playstation,https://youtube.com/watch?v=kEn1naSTEr4,,co-op,77,2,Gandix23,tjzigzag,,,0,
mw3,hardhat,high-round-survival,no-traps,playstation,https://youtube.com/watch?v=6IeWj9xAhGo,,solo,67,1,tjzigzag,,,,0,
mw3,overwatch,high-round-survival,no-traps,playstation,https://youtube.com/watch?v=jNryE5p18Pg,,co-op,60,2,Gandix23,tjzigzag,,,0,
mw3,stay-sharp,speedrun-specops,,playstation,https://youtube.com/watch?v=Lpgy3jm4KIw,,solo,0:17,1,tjzigzag,,,,0,
