game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,firebase-z,high-round,with-support,playstation,http://twitch.tv/videos/1453840079,,co-op,216,2,treedabshigh7,zombiegod420,,,0,
bocw,outbreak,high-round,casual,playstation,http://twitch.tv/videos/1449560679,,co-op,72,3,treedabshigh7,zombiegod420,BigJibbin,,0,
bocw,outbreak,high-round,casual,playstation,http://twitch.tv/videos/1455477325,,co-op,30,4,treedabshigh7,zombiegod420,DisguisedOwl91,Coccotti420,0,
bocw,forsaken,flawless,with-support,playstation,http://twitch.tv/videos/1463834618,,co-op,136,2,treedabshigh7,DisguisedOwl91,,,0,
bocw,forsaken,flawless,with-support,playstation,http://twitch.tv/videos/1440668236,,co-op,115,2,ZOMBIEGOD620,treedabshigh7,,,0,
bocw,forsaken,flawless,with-support,playstation,http://twitch.tv/videos/1454494714,,co-op,102,2,zombiegod420,treedabshigh7,,,0,
bocw,firebase-z,flawless,with-support,playstation,http://twitch.tv/videos/1462428521,,co-op,66,3,treedabshigh7,BigJibbin,Mtg_ko,,0,
bocw,outbreak,flawless,casual,playstation,http://twitch.tv/videos/1451298582,,co-op,66,2,treedabshigh7,zombiegod420,,,0,
bocw,outbreak,flawless,casual,playstation,http://twitch.tv/videos/1460290864,,co-op,50,2,treedabshigh7,Coccotti420,,,0,
bocw,outbreak,flawless,casual,playstation,http://twitch.tv/videos/1450141756,,co-op,48,3,treedabshigh7,zombiegod420,BigJibbin,,0,
bocw,outbreak,flawless,casual,playstation,http://twitch.tv/videos/1455473754,,co-op,26,4,treedabshigh7,zombiegod420,DisguisedOwl91,Coccotti420,0,
bocw,outbreak,flawless,casual,playstation,http://twitch.tv/videos/1452213921,,solo,22,1,treedabshigh7,,,,0,
bocw,die-maschine,flawless,with-support,playstation,http://twitch.tv/videos/1457519122,,co-op,16,4,treedabshigh7,zombiegod420,DisguisedOwl91,TTv_loulou69,0,
bocw,firebase-z,no-perks,with-support,playstation,http://twitch.tv/videos/1122919089,,co-op,52,2,treedabshigh7,zombiegod420,,,0,
bocw,forsaken,no-jug,with-armour,playstation,http://twitch.tv/videos/1460753361,,co-op,36,2,treedabshigh7,DisguisedOwl91,,,0,
bocw,outbreak,no-jug,with-armour,playstation,http://twitch.tv/videos/1459740888,,co-op,16,2,treedabshigh7,DisguisedOwl91,,,0,
