game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,ascension,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=2BbLW9hy4kA,,solo,255,1,uN_SnipzZ,,,,0,
bo3,revelations,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=s1fCQr1ljxg,,solo,255,1,uN_SnipzZ,,,,0,
bo3,revelations,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=0B8npu0T9vA,,solo,255,1,uN_SnipzZ,,,,0,
bo3,revelations,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=JeOXKfoZG_Y,,co-op,168,3,uN_SnipzZ,GxdLikeShura,AzZiiD,,0,
bo3,revelations,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=BrNu5x12Pps,,co-op,152,4,uN_SnipzZ,AzZiiD,GxdLikeShura,JxstTacTicaL,0,
bo3,ascension,high-round,no-gobblegum,steam,https://youtube.com/watch?v=VXkrjcrPAtw,,co-op,124,2,uN_SnipzZ,AzZiiD,,,0,
bo3,shadows-of-evil,high-round,mega-gobblegum,steam,http://twitch.tv/videos/677483233,,co-op,123,3,uN_SnipzZ,AzZiiD,GxdLikeShura,,0,
bo3,origins,high-round,mega-gobblegum,steam,http://twitch.tv/videos/608906275,,co-op,115,3,AzZiiD,GxdLikeShura,uN_SnipzZ,,0,
bo3,ascension,high-round,no-gobblegum,steam,https://youtube.com/watch?v=-nHw1QBYwdo,,co-op,110,3,uN_SnipzZ,AzZiiD,GxdLikeShura,,0,
waw,shi-no-numa,high-round,,steam,https://youtube.com/watch?v=PkwzhbS786Q,,co-op,93,2,uN_SnipzZ,AzZiiD,,,0,
waw,verruckt,high-round,original,steam,https://youtube.com/watch?v=zysW0m1mWjE,,co-op,34,3,uN_SnipzZ,AzZiiD,GxdLikeShura,,0,
waw,verruckt,high-round,original,steam,https://youtube.com/watch?v=SffOok67IQ8,,co-op,31,3,uN_SnipzZ,AzZiiD,LukaCybex,,0,
bo3,revelations,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=s1fCQr1ljxg,,solo,255,1,uN_SnipzZ,,,,0,
bo3,revelations,flawless,classic-gobblegum-only,steam,https://youtube.com/watch?v=0B8npu0T9vA,,solo,255,1,uN_SnipzZ,,,,0,
bo3,revelations,flawless,mega-gobblegum,steam,http://twitch.tv/videos/590312371,,co-op,128,3,uN_SnipzZ,GxdLikeShura,AzZiiD,,0,
waw,shi-no-numa,flawless,none,steam,http://twitch.tv/videos/505090717,,co-op,38,2,uN_SnipzZ,AzZiiD,,,0,
waw,verruckt,flawless,none,steam,https://youtube.com/watch?v=4nye2vgbeQw,,co-op,33,2,uN_SnipzZ,AzZiiD,,,0,
bo,shi-no-numa,flawless,,steam,https://youtube.com/watch?v=7Q9INoDsZ7Q,,co-op,26,3,uN_SnipzZ,AzZiiD,GxdLikeShura,,0,
waw,nacht-der-untoten,flawless,none,steam,https://youtube.com/watch?v=Fdo6C5Sq0us,,co-op,20,2,uN_SnipzZ,AzZiiD,,,0,
bo3,revelations,no-aat,mega-gobblegum,steam,https://youtube.com/watch?v=s1fCQr1ljxg,,solo,255,1,uN_SnipzZ,,,,0,
bo3,revelations,no-aat,mega-gobblegum,steam,https://youtube.com/watch?v=z68JGFDy1Ho,,co-op,157,2,uN_SnipzZ,GxdLikeShura,,,0,
bo3,revelations,first-room,no-gobblegum,playstation,http://twitch.tv/videos/307110801,,co-op,21,2,uN_SnipzZ,GxdLikeShura,,,0,
waw,shi-no-numa,first-room,none,steam,https://youtube.com/watch?v=DQ09deYCUMw,,co-op,17,2,uN_SnipzZ,AzZiiD,,,0,
wwii,the-final-reich,first-room,with-consumables,playstation,https://youtube.com/watch?v=mxr4Y9wReNw,,co-op,16,2,sebastian4372,uN_SnipzZ,,,0,
bo3,revelations,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=fYC1DjiueC4,,co-op,16,2,sebastian4372,uN_SnipzZ,,,0,
bo3,verruckt,first-room,no-gobblegum-jug-side,playstation,https://youtube.com/watch?v=VSwCy4AEO2A,,co-op,14,2,sebastian4372,uN_SnipzZ,,,0,
bo3,revelations,no-power,mega-gobblegum,steam,https://youtube.com/watch?v=elHlPtW42a4,,solo,255,1,uN_SnipzZ,,,,0,
bo3,the-giant,no-power,mega-gobblegum,steam,http://twitch.tv/videos/1878944820,,solo,116,1,uN_SnipzZ,,,,0,
waw,verruckt,no-power,none,steam,https://youtube.com/watch?v=zm7N7DuesqE,,co-op,23,3,uN_SnipzZ,AzZiiD,GxdLikeShura,,0,
bo3,revelations,no-perks,mega-gobblegum,steam,https://youtube.com/watch?v=yqJFJHBc0bI,,solo,255,1,uN_SnipzZ,,,,0,
bo3,nacht-der-untoten,no-perks,mega-gobblegum,steam,http://twitch.tv/videos/1883856885,,solo,74,1,uN_SnipzZ,,,,0,
bo3,verruckt,no-perks,mega-gobblegum,steam,https://youtube.com/watch?v=0fGelPxja9M,,co-op,50,2,uN_SnipzZ,GxdLikeShura,,,0,
bo3,revelations,no-perks,mega-gobblegum,steam,http://twitch.tv/videos/1112317259,,co-op,50,2,uN_SnipzZ,AzZiiD,,,0,
bo3,kino-der-toten,no-perks,no-gobblegum,steam,http://twitch.tv/videos/1130260973,,co-op,40,2,uN_SnipzZ,AzZiiD,,,0,
bo3,shi-no-numa,no-perks,classic-gobblegum-only,steam,http://twitch.tv/videos/1093970514,,co-op,30,2,uN_SnipzZ,Bali,,,0,
bo3,kino-der-toten,no-perks,no-gobblegum,steam,http://twitch.tv/videos/1090418861,,co-op,30,2,uN_SnipzZ,sebastian4372,,,0,
bo3,shi-no-numa,no-perks,no-gobblegum,steam,http://twitch.tv/videos/1088368990,,co-op,25,2,uN_SnipzZ,AzZiiD,,,0,
bo3,revelations,no-jug,mega-gobblegum,steam,https://youtube.com/watch?v=yqJFJHBc0bI,,solo,255,1,uN_SnipzZ,,,,0,
