game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,mauer-der-toten,high-round,without-support,playstation,http://twitch.tv/videos/2148903140,,solo,626,1,wolf_leader1016,,,,0,
bocw,forsaken,high-round,without-support,playstation,http://twitch.tv/videos/2567840731,,solo,484,1,wolf_leader1016,,,,0,
bocw,die-maschine,high-round,without-support,playstation,http://twitch.tv/videos/1852921063,,solo,331,1,wolf_leader1016,,,,0,
bocw,die-maschine,high-round,without-support,playstation,http://twitch.tv/videos/1831691644,,co-op,211,2,wolf_leader1016,blaccboy_34,,,0,
bocw,firebase-z,high-round,without-support,playstation,http://twitch.tv/videos/1827102432,,co-op,161,2,zombiegod420,wolf_leader1016,,,0,
bo6,shattered-veil,high-round,with-gobblegums-with-support,playstation,http://twitch.tv/videos/2447963621,,co-op,139,3,wolf_leader1016,Silverfox1987,soggy_beef3,,0,
bocw,mauer-der-toten,flawless,without-support,playstation,http://twitch.tv/videos/2148903140,,solo,511,1,wolf_leader1016,,,,0,
bocw,die-maschine,flawless,without-support,playstation,http://twitch.tv/videos/1823890907,,co-op,201,2,wolf_leader1016,irishwhiskey_24,,,0,
bocw,die-maschine,flawless,without-support,playstation,http://twitch.tv/videos/1833976914,,solo,178,1,wolf_leader1016,,,,0,
bocw,firebase-z,flawless,without-support,playstation,http://twitch.tv/videos/1827102432,,co-op,161,2,zombiegod420,wolf_leader1016,,,0,
bocw,forsaken,flawless,without-support,playstation,http://twitch.tv/videos/1826043933,,solo,88,1,wolf_leader1016,,,,0,
bocw,die-maschine,no-armor,,playstation,http://twitch.tv/videos/2259393742,,solo,608,1,wolf_leader1016,,,,0,
bocw,mauer-der-toten,no-armor,,playstation,http://twitch.tv/videos/2178522526,,co-op,206,2,soggy_beef3,wolf_leader1016,,,0,
bocw,firebase-z,no-armor,,playstation,http://twitch.tv/videos/2517249005,,co-op,202,2,wolf_leader1016,Slang Kush 420,,,0,
bocw,die-maschine,no-armor,,playstation,http://twitch.tv/videos/2490232340,,co-op,201,2,wolf_leader1016,Slang Kush 420,,,0,
bocw,mauer-der-toten,no-jug,with-armour,playstation,http://twitch.tv/videos/1821345659,,solo,231,1,wolf_leader1016,,,,0,
bocw,die-maschine,no-jug,with-armour,playstation,http://twitch.tv/videos/1820539421,,solo,231,1,wolf_leader1016,,,,0,
bocw,forsaken,no-jug,with-armour,playstation,http://twitch.tv/videos/2263399428,,co-op,221,2,soggy_beef3,wolf_leader1016,,,0,
bocw,forsaken,no-jug,with-armour,playstation,http://twitch.tv/videos/1821994358,,solo,203,1,wolf_leader1016,,,,0,
bocw,die-maschine,no-jug,with-armour,playstation,http://twitch.tv/videos/1811345701,,co-op,137,2,sneakerhead_ttv,wolf_leader1016,,,0,
bocw,forsaken,no-jug,with-armour,playstation,http://twitch.tv/videos/1834202466,,co-op,134,2,wolf_leader1016,blaccboy_34,,,0,
