game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,moon,high-round,mega-gobblegum,xbox,http://twitch.tv/videos/159802495,,co-op,60,3,xKlyno84,OhJamie_V,MrGameface808,,0,
bo3,moon,high-round,classic-gobblegum-only,xbox,http://twitch.tv/videos/159477572,,co-op,51,3,xKlyno84,OhJamie_V,MrGameface808,,0,
bo3,ascension,high-round,classic-gobblegum-only,xbox,http://twitch.tv/videos/158422014,,co-op,51,4,xKlyno84,OhJamie_V,WaZzY65,MrGameface808,0,
bo3,moon,first-room,mega-gobblegum,xbox,http://twitch.tv/videos/162605757,,solo,60,1,xKlyno84,,,,0,
bo3,moon,first-room,mega-gobblegum,xbox,http://twitch.tv/videos/159802495,,co-op,60,3,xKlyno84,OhJamie_V,MrGameface808,,0,
bo3,moon,no-power,mega-gobblegum,xbox,http://twitch.tv/videos/159802495,,co-op,60,3,xKlyno84,OhJamie_V,MrGameface808,,0,
bo3,moon,no-power,classic-gobblegum-only,xbox,http://twitch.tv/videos/159477572,,co-op,51,3,xKlyno84,OhJamie_V,MrGameface808,,0,
bo3,ascension,30-speedrun,mega-gobblegum,xbox,http://twitch.tv/videos/169173510,,solo,29:42,1,xKlyno84,,,,0,
bo3,der-eisendrache,30-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=1dBC5mVO5Sg,,solo,29:46,1,xKlyno84,,,,0,
bo4,classified,30-speedrun,classic-elixirs-only,xbox,https://youtube.com/watch?v=EjVWokIMDlI,,solo,31:10,1,xKlyno84,,,,0,
bo3,origins,30-speedrun,mega-gobblegum,xbox,http://twitch.tv/videos/156548208,,solo,32:27,1,xKlyno84,,,,0,
bo3,ascension,30-speedrun,classic-gobblegum-only,xbox,http://twitch.tv/videos/156049587,,solo,36:51,1,xKlyno84,,,,0,
bo3,moon,30-speedrun,mega-gobblegum,xbox,http://twitch.tv/videos/159802495,,co-op,59:16,3,xKlyno84,OhJamie_V,MrGameface808,,0,
bo3,der-eisendrache,50-speedrun,mega-gobblegum,xbox,http://twitch.tv/videos/169043115,,solo,57:11,1,xKlyno84,,,,0,
bo4,classified,50-speedrun,classic-elixirs-only,xbox,https://youtube.com/watch?v=EjVWokIMDlI,,solo,58:32,1,xKlyno84,,,,0,
bo3,moon,50-speedrun,mega-gobblegum,xbox,http://twitch.tv/videos/159802495,,co-op,2:18:07,3,xKlyno84,OhJamie_V,MrGameface808,,0,
bo3,ascension,50-speedrun,classic-gobblegum-only,xbox,http://twitch.tv/videos/158422014,,co-op,3:25:18,4,xKlyno84,OhJamie_V,WaZzY65,MrGameface808,0,
