game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,dead-of-the-night,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=uWMTmrqsFKc,,solo,125,1,xSuperGamer935,,,,0,
bo4,alpha-omega,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=L-yqD0BDWx4,,solo,120,1,xSuperGamer935,,,,0,
bo4,blood-of-the-dead,high-round,classic-elixirs-only,playstation,https://youtube.com/watch?v=nyEh-DE9UI0,,solo,120,1,xSuperGamer935,,,,0,
bo3,der-eisendrache,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=vCZQTWsKi8w,,solo,115,1,xSuperGamer935,,,,0,
bo4,ancient-evil,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=uM_ZVUGgJf8,,solo,115,1,xSuperGamer935,,,,0,
bo3,zetsubou-no-shima,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=AwKDMUOuDrg,,solo,109,1,xSuperGamer935,,,,0,
bo3,ascension,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=33IgzVCOPVw,,solo,102,1,xSuperGamer935,,,,0,
bo3,nacht-der-untoten,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=R-Hb_kqBJcY,,solo,101,1,xSuperGamer935,,,,0,
bo4,tag-der-toten,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=SwUTtjAKmjw,,solo,101,1,xSuperGamer935,,,,0,
bo3,kino-der-toten,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=UX6zPel_Pfo,,solo,100,1,xSuperGamer935,,,,0,
bo3,revelations,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=aNNmRVt2f8M,,solo,100,1,xSuperGamer935,,,,0,
bo3,shadows-of-evil,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=LG-aD56StCw,,solo,100,1,xSuperGamer935,,,,0,
bo3,origins,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=IAHGBPlF7IQ,,solo,100,1,xSuperGamer935,,,,0,
bo4,alpha-omega,flawless,all-elixirs-talismans,playstation,https://youtube.com/watch?v=L-yqD0BDWx4,,solo,120,1,xSuperGamer935,,,,0,
bo3,der-eisendrache,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=vCZQTWsKi8w,,solo,115,1,xSuperGamer935,,,,0,
bo3,origins,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=IAHGBPlF7IQ,,solo,100,1,xSuperGamer935,,,,0,
bo3,gorod-krovi,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=L7rj4X1YUIo,,solo,50,1,xSuperGamer935,,,,0,
