game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,mauer-der-toten,high-round,without-support,xbox,http://twitch.tv/videos/1311999505,,co-op,251,3,Draftahh,xxD3vilz,CharlieHope,,0,
bocw,forsaken,high-round,with-support,playstation,http://twitch.tv/videos/1174456522,,co-op,226,2,xxD3vilz,TNP_PRODUCTIONS,,,0,
sker-ritual,deadly-lovers-fortress,high-round,normal,steam,http://twitch.tv/videos/2247446143,,solo,200,1,xxD3vilz,,,,0,
bocw,outbreak,high-round,casual,playstation,http://twitch.tv/videos/1096517700,,solo,200,1,xxD3vilz,,,,0,
bocw,forsaken,high-round,without-support,xbox,http://twitch.tv/videos/1490299159,,co-op,176,2,Draftahh,xxD3vilz,,,0,
vanguard,der-anfang,high-round,with-void,xbox,http://twitch.tv/videos/1484147769,,co-op,161,3,CharlieHope,Draftahh,xxD3vilz,,0,
bocw,forsaken,high-round,with-support,playstation,http://twitch.tv/videos/1457450593,,co-op,156,4,CharlieHope,xxD3vilz,Draftahh,420xjordan,0,
sker-ritual,deadly-lovers-fortress,high-round,normal,steam,http://twitch.tv/videos/2246616527,,co-op,151,2,xxD3vilz,TNP_PRODUCTIONS,,,0,
bocw,mauer-der-toten,high-round,without-support,playstation,http://twitch.tv/videos/1491641630,,co-op,146,4,CharlieHope,Draftahh,xxD3vilz,420xjordan,0,
vanguard,der-anfang,high-round,without-void,xbox,http://twitch.tv/videos/1484924426,,co-op,139,3,Draftahh,xxD3vilz,CharlieHope,,0,
sker-ritual,the-ashes-of-sker-hotel,high-round,normal,steam,http://twitch.tv/videos/2241369558,,co-op,100,2,xxD3vilz,TNP_PRODUCTIONS,,,0,
vanguard,terra-maledicta,high-round,with-void,xbox,http://twitch.tv/videos/1471862811,,co-op,95,4,xxD3vilz,420xjordan,CharlieHope,Draftahh,0,
bocw,die-maschine,high-round,without-support,playstation,http://twitch.tv/videos/1314017094,,co-op,91,4,CharlieHope,xxD3vilz,Draftahh,420xjordan,0,
sker-ritual,sewers-of-the-dead,high-round,normal,steam,http://twitch.tv/videos/2240513803,,co-op,80,2,xxD3vilz,TNP_PRODUCTIONS,,,0,
bocw,firebase-z,high-round,without-support,playstation,http://twitch.tv/videos/1495635713,,co-op,76,4,CharlieHope,xxD3vilz,Draftahh,420xjordan,0,
bocw,forsaken,high-round,without-support,xbox,http://twitch.tv/videos/1280687242,,co-op,71,4,Draftahh,CharlieHope,xxD3vilz,420xjordan,0,
bocw,forsaken,high-round,without-support,xbox,http://twitch.tv/videos/1437003202,,co-op,71,3,Draftahh,xxD3vilz,CharlieHope,,0,
vanguard,der-anfang,high-round,without-void,xbox,http://twitch.tv/videos/1477062925,,co-op,61,2,Draftahh,xxD3vilz,,,0,
sker-ritual,house-of-the-damned,high-round,normal,steam,http://twitch.tv/videos/2241476465,,solo,50,1,xxD3vilz,,,,0,
vanguard,der-anfang,high-round,with-void,playstation,http://twitch.tv/videos/1484313081,,co-op,50,4,CharlieHope,xxD3vilz,Draftahh,420xjordan,0,
vanguard,der-anfang,high-round,without-void,playstation,http://twitch.tv/videos/1474336546,,co-op,50,4,CharlieHope,xxD3vilz,Draftahh,420xjordan,0,
vanguard,shi-no-numa-reborn,high-round,,playstation,http://twitch.tv/videos/1514824387,,co-op,49,4,CharlieHope,xxD3vilz,Draftahh,420xjordan,0,
vanguard,terra-maledicta,high-round,with-void,xbox,http://twitch.tv/videos/1483184909,,co-op,40,3,Draftahh,xxD3vilz,CharlieHope,,0,
vanguard,terra-maledicta,high-round,without-void,playstation,http://twitch.tv/videos/1480324854,,co-op,40,3,CharlieHope,xxD3vilz,Draftahh,,0,
vanguard,terra-maledicta,high-round,without-void,playstation,http://twitch.tv/videos/1480318189,,co-op,30,4,CharlieHope,xxD3vilz,Draftahh,420xjordan,0,
bocw,outbreak,high-round,survival,playstation,http://twitch.tv/videos/1278460978,,co-op,13,3,xxD3vilz,CharlieHope,HeavyMetal825,,0,
bo6,liberty-falls,flawless,no-gobblegums-with-support,steam,http://twitch.tv/videos/2307527223,,solo,412,1,xxD3vilz,,,,0,
bocw,mauer-der-toten,flawless,without-support,playstation,http://twitch.tv/videos/1312002215,,co-op,251,3,Draftahh,xxD3vilz,CharlieHope,,0,
bocw,forsaken,flawless,with-support,playstation,http://twitch.tv/videos/1457450593,,co-op,156,4,CharlieHope,xxD3vilz,Draftahh,420xjordan,0,
vanguard,der-anfang,flawless,with-void,xbox,http://twitch.tv/videos/1484147769,,co-op,80,3,Draftahh,xxD3vilz,CharlieHope,,0,
bocw,forsaken,flawless,without-support,playstation,http://twitch.tv/videos/1509107496,,co-op,67,4,CharlieHope,xxD3vilz,Draftahh,420xjordan,0,
bocw,die-maschine,flawless,without-support,playstation,http://twitch.tv/videos/1495581515,,co-op,64,2,xxD3vilz,Draftahh,,,0,
bocw,mauer-der-toten,flawless,without-support,playstation,http://twitch.tv/videos/1491639154,,co-op,51,4,CharlieHope,Draftahh,xxD3vilz,420xjordan,0,
sker-ritual,house-of-the-damned,flawless,normal,steam,http://twitch.tv/videos/2241476465,,solo,50,1,xxD3vilz,,,,0,
vanguard,der-anfang,flawless,without-void,playstation,http://twitch.tv/videos/1474336546,,co-op,50,4,CharlieHope,xxD3vilz,Draftahh,420xjordan,0,
bocw,die-maschine,flawless,without-support,playstation,http://twitch.tv/videos/1509112504,,co-op,42,4,CharlieHope,xxD3vilz,Draftahh,420xjordan,0,
vanguard,der-anfang,flawless,with-void,playstation,http://twitch.tv/videos/1484317333,,co-op,39,4,CharlieHope,xxD3vilz,Draftahh,420xjordan,0,
vanguard,der-anfang,flawless,without-void,xbox,http://twitch.tv/videos/1478095291,,co-op,31,3,Draftahh,xxD3vilz,CharlieHope,,0,
sker-ritual,sewers-of-the-dead,flawless,normal,steam,http://twitch.tv/videos/2240525831,,co-op,29,2,xxD3vilz,TNP_PRODUCTIONS,,,0,
vanguard,terra-maledicta,flawless,with-void,xbox,http://twitch.tv/videos/1483184909,,co-op,24,3,Draftahh,xxD3vilz,CharlieHope,,0,
vanguard,terra-maledicta,flawless,without-void,playstation,http://twitch.tv/videos/1480351846,,co-op,17,3,CharlieHope,xxD3vilz,Draftahh,,0,
bocw,dead-ops-arcade-iii,doa,first-person,playstation,http://twitch.tv/videos/1150286401,,solo,36,1,xxD3vilz,,,,0,
bocw,forsaken,no-power,,xbox,http://twitch.tv/videos/1280234531,,co-op,71,3,Draftahh,CharlieHope,xxD3vilz,,0,
bocw,firebase-z,no-power,,xbox,http://twitch.tv/videos/1456064320,,co-op,51,4,Draftahh,xxD3vilz,420xjordan,CharlieHope,0,
bocw,mauer-der-toten,no-power,,playstation,http://twitch.tv/videos/1159768717,,co-op,45,3,CharlieHope,xxD3vilz,420xjordan,,0,
bocw,mauer-der-toten,no-power,,playstation,http://twitch.tv/videos/1500865062,,co-op,33,4,CharlieHope,Draftahh,xxD3vilz,420xjordan,0,
bocw,nuketown-84,onslaught,containment,steam,http://twitch.tv/videos/1211686595,,co-op,680,2,drainbb,xxD3vilz,,,0,
bocw,collateral,onslaught,,steam,http://twitch.tv/videos/1205904747,,co-op,152,2,drainbb,xxD3vilz,,,0,
bocw,nuketown-84,onslaught,onslaught,steam,http://twitch.tv/videos/1212286375,,co-op,151,2,drainbb,xxD3vilz,,,0,
bocw,drive-in,onslaught,,steam,http://twitch.tv/videos/1205758889,,co-op,133,2,drainbb,xxD3vilz,,,0,
bocw,u-bahn,onslaught,,steam,http://twitch.tv/videos/1216061431,,co-op,129,2,drainbb,xxD3vilz,,,0,
bocw,stand-off,onslaught,,steam,http://twitch.tv/videos/1206691175,,co-op,104,2,drainbb,xxD3vilz,,,0,
bocw,raid,onslaught,,steam,http://twitch.tv/videos/1200174554,,co-op,84,2,drainbb,xxD3vilz,,,0,
bo6,liberty-falls,no-perks,with-gobblegums-no-support,steam,http://twitch.tv/videos/2320134013,,solo,65,1,xxD3vilz,,,,0,
vanguard,der-anfang,no-perks,without-void,xbox,http://twitch.tv/videos/1477062925,,co-op,61,2,xxD3vilz,Draftahh,,,0,
bocw,forsaken,no-perks,no-support,playstation,http://twitch.tv/videos/1257118214,,co-op,54,2,CharlieHope,xxD3vilz,,,0,
bo6,liberty-falls,no-perks,no-gobblegums-no-support,steam,http://twitch.tv/videos/2293041300,,solo,50,1,xxD3vilz,,,,0,
vanguard,der-anfang,no-perks,with-void,xbox,http://twitch.tv/videos/1465972727,,co-op,50,2,Draftahh,xxD3vilz,,,0,
bocw,outbreak,no-perks,,playstation,http://twitch.tv/videos/1148264617,,solo,15,1,xxD3vilz,,,,0,
bocw,mauer-der-toten,no-armor,,playstation,http://twitch.tv/videos/1491641630,,co-op,146,4,CharlieHope,Draftahh,xxD3vilz,420xjordan,0,
bocw,die-maschine,no-armor,,xbox,http://twitch.tv/videos/1491137659,,co-op,92,2,Draftahh,xxD3vilz,,,0,
bocw,die-maschine,no-armor,,playstation,http://twitch.tv/videos/1509112504,,co-op,78,4,CharlieHope,xxD3vilz,Draftahh,420xjordan,0,
bocw,forsaken,no-armor,,playstation,http://twitch.tv/videos/1311023027,,co-op,72,4,CharlieHope,Draftahh,xxD3vilz,Brazzers,0,
bocw,forsaken,no-armor,,xbox,http://twitch.tv/videos/1312000185,,co-op,69,2,Draftahh,xxD3vilz,,,0,
vanguard,der-anfang,no-armor,without-void,xbox,http://twitch.tv/videos/1465737751,,co-op,50,2,Draftahh,xxD3vilz,,,0,
bocw,outbreak,no-armor,,playstation,http://twitch.tv/videos/1520524025,,co-op,35,3,CharlieHope,xxD3vilz,420xjordan,,0,
bocw,outbreak,no-armor,,playstation,http://twitch.tv/videos/1495643492,,co-op,26,4,CharlieHope,xxD3vilz,Draftahh,420xjordan,0,
bo6,liberty-falls,no-jug,no-gobblegums-with-support,steam,http://twitch.tv/videos/2317422096,,solo,443,1,xxD3vilz,,,,0,
bocw,mauer-der-toten,no-jug,no-armour,playstation,http://twitch.tv/videos/1458055212,,co-op,145,2,xxD3vilz,Draftahh,,,0,
bocw,forsaken,no-jug,with-armour,playstation,http://twitch.tv/videos/1179907027,,co-op,116,2,xxD3vilz,Draftahh,,,0,
vanguard,der-anfang,no-jug,without-void,xbox,http://twitch.tv/videos/1477375158,,co-op,61,2,xxD3vilz,Draftahh,,,0,
bocw,forsaken,no-jug,no-armour,playstation,http://twitch.tv/videos/1257110989,,co-op,58,2,CharlieHope,xxD3vilz,,,0,
vanguard,der-anfang,no-jug,with-void,xbox,http://twitch.tv/videos/1465972727,,co-op,50,2,Draftahh,xxD3vilz,,,0,
bocw,outbreak,no-jug,with-armour,playstation,http://twitch.tv/videos/1146442446,,solo,28,1,xxD3vilz,,,,0,
vanguard,der-anfang,10-speedrun,with-void,playstation,https://youtube.com/watch?v=NfWEtS1LjAs,,co-op,10:39,3,Lilleman,xxD3vilz,Draftahh,,0,
vanguard,der-anfang,10-speedrun,with-void,playstation,https://youtube.com/watch?v=wnkfo2l6Lj4,,co-op,10:56,4,CharlieHope,Draftahh,Lilleman,xxD3vilz,0,
vanguard,der-anfang,10-speedrun,without-void,cross-play,https://youtube.com/watch?v=cDODDFg-LNU,,co-op,22:50,3,Lilleman,Draftahh,xxD3vilz,,0,
vanguard,terra-maledicta,10-speedrun,with-void,playstation,https://youtube.com/watch?v=1j-86IfAJO4,,co-op,23:13,3,Lilleman,Draftahh,xxD3vilz,,0,
vanguard,terra-maledicta,20-speedrun,with-void,playstation,https://youtube.com/watch?v=1j-86IfAJO4,,co-op,40:08,3,Lilleman,Draftahh,xxD3vilz,,0,
vanguard,der-anfang,20-speedrun,without-void,cross-play,https://youtube.com/watch?v=cDODDFg-LNU,,co-op,49:54,3,Lilleman,Draftahh,xxD3vilz,,0,
bocw,outbreak,30-speedrun,,playstation,http://twitch.tv/videos/1149202525,,solo,2:39:52,1,xxD3vilz,,,,0,
bocw,die-maschine,50-speedrun,rampage-inducer,steam,http://twitch.tv/videos/1209458028,,co-op,1:08:48,3,drainbb,CharlieHope,xxD3vilz,,0,
bocw,mauer-der-toten,70-speedrun,normal,playstation,http://twitch.tv/videos/1168879530,,co-op,2:14:08,2,CharlieHope,xxD3vilz,,,0,
vanguard,der-anfang,exfil-speedrun,round-5,playstation,https://youtube.com/watch?v=nDQC2Kpov_A,,co-op,9:04,3,Lilleman,Draftahh,xxD3vilz,,0,
vanguard,der-anfang,exfil-speedrun,round-5,playstation,https://youtube.com/watch?v=0nPwyo8Hw6M,,co-op,9:30,4,Lilleman,Draftahh,CharlieHope,xxD3vilz,0,
vanguard,terra-maledicta,exfil-speedrun,round-5,playstation,https://youtube.com/watch?v=RbmcxLXyXvw,,co-op,9:36,4,Lilleman,Draftahh,xxD3vilz,CharlieHope,0,
vanguard,der-anfang,exfil-speedrun,round-10,playstation,https://youtube.com/watch?v=NfWEtS1LjAs,,co-op,12:27,3,Lilleman,Draftahh,xxD3vilz,,0,
vanguard,der-anfang,exfil-speedrun,round-10,playstation,https://youtube.com/watch?v=wnkfo2l6Lj4,,co-op,12:46,4,Lilleman,Draftahh,xxD3vilz,CharlieHope,0,
vanguard,terra-maledicta,ee-speedrun,,playstation,https://youtube.com/watch?v=1j-86IfAJO4,,co-op,20:19,3,Lilleman,Draftahh,xxD3vilz,,0,
community,firebase-z,melee,,playstation,http://twitch.tv/videos/1411019552,,co-op,62,2,CharlieHope,xxD3vilz,,,0,
community,forsaken,melee,,playstation,http://twitch.tv/videos/1418446609,,co-op,51,4,CharlieHope,xxD3vilz,420xjordan,Draftahh,0,
community,die-maschine,melee,,playstation,http://twitch.tv/videos/1437372218,,co-op,42,4,CharlieHope,xxD3vilz,Draftahh,420xjordan,0,
community,mauer-der-toten,melee,,playstation,http://twitch.tv/videos/1409497468,,co-op,41,3,CharlieHope,xxD3vilz,420xjordan,,0,
mw,piccadilly,high-round-survival,,battle.net,http://twitch.tv/videos/1266306486,,co-op,201,3,xxD3vilz,TNP_PRODUCTIONS,ghost_warden,,0,
mw,aniyah-palace,high-round-survival,,playstation,http://twitch.tv/videos/1191612318,,co-op,105,2,xxD3vilz,TNP_PRODUCTIONS,,,0,
mw,atlas-superstore,high-round-survival,,battle.net,http://twitch.tv/videos/1266302847,,co-op,99,2,TNP_PRODUCTIONS,xxD3vilz,,,0,
