game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo2,buried,high-round,,playstation,https://youtube.com/watch?v=32ts1SUVJM0,,co-op,116,2,yal92,Carloskrillex,,,0,
waw,verruckt,high-round,original,steam,https://youtube.com/watch?v=zhuXAFjqLnI,,co-op,53,2,Carloskrillex,yal92,,,0,
waw,nacht-der-untoten,high-round,original,steam,https://youtube.com/watch?v=esEL9jlGphM,,co-op,50,2,Carloskrillex,yal92,,,0,
bo3,shadows-of-evil,no-power,classic-gobblegum-only,playstation,http://twitch.tv/videos/384742402,,co-op,104,2,yal92,Jordi Pi,,,0,
bo2,die-rise,no-power,,playstation,https://youtube.com/watch?v=WjPXAVh8l4A,,co-op,104,2,Carloskrillex,yal92,,,0,
bo3,kino-der-toten,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=YLxWiduimPY,,co-op,68,2,Carloskrillex,yal92,,,0,
waw,der-riese,no-power,original,steam,https://youtube.com/watch?v=pIZ6DXcWrdE,,co-op,55,2,Carloskrillex,yal92,,,0,
bo,verruckt,no-power,,steam,https://youtube.com/watch?v=t3ShGVCBJjA,,co-op,55,2,Carloskrillex,yal92,,,0,
aw,outbreak,no-power,,steam,https://youtube.com/watch?v=g8qc1261th4,,co-op,53,2,Carloskrillex,yal92,,,0,
waw,verruckt,no-power,,steam,https://youtube.com/watch?v=l2gm0Mxb9kg,,co-op,36,2,Carloskrillex,yal92,,,0,
waw,verruckt,no-power,none,playstation,https://youtube.com/watch?v=PFifovOhe3M,,co-op,30,2,Carloskrillex,yal92,,,0,
waw,verruckt,no-perks,,steam,https://youtube.com/watch?v=l2gm0Mxb9kg,,co-op,36,2,Carloskrillex,yal92,,,0,
waw,verruckt,no-jug,,steam,https://youtube.com/watch?v=l2gm0Mxb9kg,,co-op,36,2,Carloskrillex,yal92,,,0,
aw,outbreak,no-exo-suit,,steam,https://youtube.com/watch?v=g8qc1261th4,,co-op,53,2,Carloskrillex,yal92,,,0,
aw,outbreak,no-exo-health,,steam,https://youtube.com/watch?v=g8qc1261th4,,co-op,53,2,Carloskrillex,yal92,,,0,
