game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo2,town,high-round,,steam,https://youtube.com/watch?v=iR3qMjDaruM,,co-op,44,3,ZEC xTomaTT,zenio,Skreddy,,0,
bo,five,flawless,,steam,https://youtube.com/watch?v=IbiUlSApCO8,,co-op,40,2,zenio,ZCRacegun,,,0,
bo,five,flawless,,steam,http://twitch.tv/videos/462083720,,co-op,37,3,zenio,ZCRacegun,ZEC Fargo,,0,
bo2,town,flawless,,steam,http://twitch.tv/videos/471476729,,co-op,36,4,ZEC Fargo,ZEC Danny043,zenio,ZCRacegun,0,
bo,verruckt,flawless,,steam,http://twitch.tv/videos/463622794,,co-op,35,3,ZEC Michal,zenio,ZEC Fargo,,0,
bo2,farm,flawless,,steam,http://twitch.tv/videos/468276829,,co-op,28,4,ZEC Fargo,ZEC Michal,zenio,A Nice Swistian,0,
bo,call-of-the-dead,flawless,,steam,http://twitch.tv/videos/464537047,,co-op,28,3,ZEC Fargo,ZEC Michal,zenio,,0,
bo,call-of-the-dead,flawless,,steam,http://twitch.tv/videos/464533901,,co-op,26,4,ZEC Fargo,ZEC Michal,ZEC AMG E55,zenio,0,
bo2,town,first-room,classic,steam,https://youtube.com/watch?v=1G9QiPPiQlM,,co-op,30,3,Skreddy,ZEC xTomaTT,zenio,,0,
bo2,town,first-room,classic,steam,https://youtube.com/watch?v=C3bJcLcRqqk,,co-op,29,4,Skreddy,ZEC xTomaTT,zenio,ThyFather,0,
bo,five,no-power,,steam,https://youtube.com/watch?v=q0AG245rfU4,,co-op,32,3,Skreddy,ZEC xTomaTT,zenio,,0,
mw3,underground,high-round-survival,with-traps,steam,https://youtube.com/watch?v=vhtv52bqZUA,,co-op,76,2,ZEC AMG E55,zenio,,,0,
