game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; jlz2ryl2=21d6k23q,PlayStation 3,27m 41.000s,https://www.youtube.com/watch?v=VPsquKXeCvM,,co-op,2018-08-28,4,BellumZeldaDS,antoiine62116,damdam_GTA5,Fulko_Kenny,http://www.speedrun.com/bo2zombies/run/yvj1g28y,verified
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; yn23jdl5=81009651,PlayStation 3,4m 38.000s,https://www.youtube.com/watch?v=RFNy337CeGM,,co-op,2018-01-12,3,BellumZeldaDS,FRUIT-PUNCH007,nachosant2014,,http://www.speedrun.com/bo2zombies/run/yl9d0e3y,verified
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; yn23jdl5=81009651,PlayStation 3,4m 0.000s,https://www.youtube.com/watch?v=5MGv1cfuZjE,,co-op,2018-01-12,4,BellumZeldaDS,busso9494,AVILES-777,ByAngelYT2004,http://www.speedrun.com/bo2zombies/run/zgnlkdny,verified
Call of Duty: Black Ops II Zombies,,Farm,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 9l79x4n1=4qy58771,PlayStation 3,5m 14.000s,https://www.youtube.com/watch?v=x-d2KrVZMsQ,,co-op,2018-01-12,2,BellumZeldaDS,mohamedmanfred,,,http://www.speedrun.com/bo2zombies/run/y97j5lnm,verified
Call of Duty: Black Ops II Zombies,,Farm,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; 9l79x4n1=4qy58771,PlayStation 3,6m 18.000s,https://www.youtube.com/watch?v=kbvo6sAjyPs,,co-op,2018-01-12,3,BellumZeldaDS,IwanSky09,Pharaon-Wang,,http://www.speedrun.com/bo2zombies/run/z139j2rm,verified
Call of Duty: Black Ops II Zombies,,Farm,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; 9l79x4n1=4qy58771,PlayStation 3,5m 23.000s,https://www.youtube.com/watch?v=bshqlJaQkbY,,co-op,2018-01-12,4,BellumZeldaDS,davewhu1966,utilizador1vito,TheBestPT123-_-,http://www.speedrun.com/bo2zombies/run/m79nqwwy,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PlayStation 3,5m 34.000s,https://www.youtube.com/watch?v=QK3_MgLeVTs,,co-op,2018-01-12,3,BellumZeldaDS,FRUIT-PUNCH007,nachosant2014,,http://www.speedrun.com/bo2zombies/run/y45618km,rejected
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PlayStation 3,5m 54.000s,https://www.youtube.com/watch?v=v-xe0SwlZiE,,co-op,2018-01-12,4,BellumZeldaDS,elite_einheit,oWn_dales,BaaBou30,http://www.speedrun.com/bo2zombies/run/y67vlnjm,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; 2lg32qnp=p12o4vdl,PlayStation 3,6m 32.000s,https://www.youtube.com/watch?v=weEhcsm0HNI&t=4s,,co-op,2018-01-12,4,BellumZeldaDS,Sl4mD0oonk,nathan0844,gfaim84,http://www.speedrun.com/bo2zombies/run/y67vln1m,verified
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; yn23jdl5=81009651,PlayStation 3,3m 46.000s,https://www.youtube.com/watch?v=62guDY-X0G0,,solo,2017-09-03,1,BellumZeldaDS,,,,http://www.speedrun.com/bo2zombies/run/yjk5k17m,verified
Call of Duty: Black Ops II Zombies,,Farm,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 9l79x4n1=4qy58771,PlayStation 3,5m 28.000s,https://www.youtube.com/watch?v=t1L-iMRIsVQ,,solo,2017-09-03,1,BellumZeldaDS,,,,http://www.speedrun.com/bo2zombies/run/zq6v619y,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PlayStation 3,4m 32.000s,https://www.youtube.com/watch?v=pyZkOo_qiLY&t=4s,,solo,2017-09-03,1,BellumZeldaDS,,,,http://www.speedrun.com/bo2zombies/run/zgnrng0y,verified
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; yn23jdl5=81009651,PlayStation 3,3m 52.000s,https://www.youtube.com/watch?v=IaJtUxj8JGo,,co-op,2017-09-02,2,BellumZeldaDS,The_killer200375,,,http://www.speedrun.com/bo2zombies/run/y679760m,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; onvyp7nm=z19xr7j1,PlayStation 4,58m 59.000s,https://www.youtube.com/watch?v=4zljJI4yRbc,,co-op,2018-05-29,2,BellumZeldaDS,ZeNoX-04,,,http://www.speedrun.com/iwzombies/run/zx497eky,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; onvyp7nm=p129z3vl,PlayStation 4,2h 51m 12.000s,https://www.youtube.com/watch?v=4zljJI4yRbc,,co-op,2018-05-29,2,BellumZeldaDS,ZeNoX-04,,,http://www.speedrun.com/iwzombies/run/z51529jm,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=zqoxnzxq; onvyp7nm=mlnd9v61,PlayStation 4,3m 43.000s,https://www.youtube.com/watch?v=POCGDDVKLnQ&t=3s,,co-op,2018-03-10,4,BellumZeldaDS,KaazYgoto,FINATY-kitty35,Dice2608,http://www.speedrun.com/iwzombies/run/y678xdqm,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=zqoxnzxq; onvyp7nm=21g9gyxq,PlayStation 4,27m 40.000s,https://www.youtube.com/watch?v=POCGDDVKLnQ&t=3s,,co-op,2018-03-10,4,BellumZeldaDS,KaazYgoto,FINATY-kitty35,Dice2608,http://www.speedrun.com/iwzombies/run/y8qnxdwy,verified
