game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call Of Duty Zombies Category Extension,BO1,25K Points,68kmpxzl=zqom2g41; ylped6k8=5lmkjjmq,PC,10m 55.000s,https://www.youtube.com/watch?v=7-GaQrYOq8k,,solo,2021-06-03,1,Chris838,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/zxgn2key,verified
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; yn23jdl5=81009651,PC,3m 0.980s,https://www.youtube.com/watch?v=dPlgbE_yGzg,,solo,2021-06-04,1,Chris838,,,,http://www.speedrun.com/bo2zombies/run/z0rn524z,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=z198xd8q; 2lg396np=0q56pm1p; onvmywnm=rqvx8v5l,PC,45m 39.980s,https://www.youtube.com/watch?v=iua7ZUKDC9A,,co-op,2021-06-16,2,Chris838,Sweatzy,,,http://www.speedrun.com/bo3zombies/run/y99jwpey,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=0q56pm1p; jlzz6xl2=zqomrog1,PC,13m 46.350s,https://www.youtube.com/watch?v=oga2X1-5uAg,,co-op,2021-06-15,2,Chris838,Sweatzy,,,http://www.speedrun.com/bo3zombies/run/y99k4pky,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=0q56pm1p; jlzz6xl2=013xgok1,PC,34m 9.450s,https://www.youtube.com/watch?v=8xZKj4Ek4Ko,,co-op,2021-06-15,2,Chris838,Sweatzy,,,http://www.speedrun.com/bo3zombies/run/mr1230dz,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=gq7r2zdl; 2lg396np=0q56pm1p; ylp4kjlg=013w57kq,PC,18m 34.340s,https://www.youtube.com/watch?v=u-9JiNZzr6Q,,co-op,2021-06-14,2,Chris838,Sweatzy,,,http://www.speedrun.com/bo3zombies/run/yo7opkdm,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=gq7r2zdl; 2lg396np=0q56pm1p; ylp4kjlg=4lxgn5jq,PC,49m 1.980s,https://www.youtube.com/watch?v=tWonaltYXvo,,co-op,2021-06-14,2,Chris838,Sweatzy,,,http://www.speedrun.com/bo3zombies/run/z5rk2jny,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=0q56pm1p; ql659jn9=81w7y49q,PC,43m 54.850s,https://www.youtube.com/watch?v=2TqNZQ8i2J8,,co-op,2021-06-14,2,Chris838,Sweatzy,,,http://www.speedrun.com/bo3zombies/run/y8dkkr5z,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=0q56pm1p; 2lg7k6lp=81p46ng1,PC,3m 8.333s,https://www.youtube.com/watch?v=Kko9Ck4U9Dg,,co-op,2021-06-13,2,Chris838,Sweatzy,,,http://www.speedrun.com/bo3zombies/run/y2xkdkjm,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=0q56pm1p; 2lg7k6lp=5le3mzpq,PC,15m 19.800s,https://www.youtube.com/watch?v=ORZFa9Jah58,,co-op,2021-06-13,2,Chris838,Sweatzy,,,http://www.speedrun.com/bo3zombies/run/y2xkdkwm,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=0q56pm1p; 2lg7k6lp=21g9m9xq,PC,58m 20.320s,https://www.youtube.com/watch?v=MB2qongayAA,,co-op,2021-06-13,2,Chris838,Sweatzy,,,http://www.speedrun.com/bo3zombies/run/z0rx67oz,verified
Call of Duty: Black Ops Zombies,,Five,68ko6qn2=jqzdwglp; 38dwzen0=81499zjq,PC,15m 35.050s,https://www.youtube.com/watch?v=lBNVQCpL3sU,,solo,2021-06-06,1,Chris838,,,,http://www.speedrun.com/bozombies/run/ywqv2r0y,verified
Call of Duty: World at War Zombies,,Der Riese,5ly09jn4=4lxg0jrq; ylqzqmlr=mlnedodl,PC,15m 6.550s,https://www.youtube.com/watch?v=ixFDYBXNRhQ,,solo,2021-06-08,1,Chris838,,,,http://www.speedrun.com/wawzombies/run/zggev3dz,verified
Call of Duty: World at War Zombies,,Verrückt,5ly09jn4=4lxg0jrq; jlzjgxn2=4qy75w7q,PC,16m 59.320s,https://www.youtube.com/watch?v=vsGw7QSOUHo,,solo,2021-06-08,1,Chris838,,,,http://www.speedrun.com/wawzombies/run/zxg3doky,verified
Call of Duty: World at War Zombies,,Shi No Numa,5ly09jn4=4lxg0jrq; 9l74r9l1=81060d51,PC,15m 42.750s,https://www.youtube.com/watch?v=5-iqIvuKe10,,solo,2021-06-05,1,Chris838,,,,http://www.speedrun.com/wawzombies/run/yjg82dgy,verified
