game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 68kozzn2=jq645o71,Xbox 360,42.000s,https://youtu.be/ZyU0a9wzBsY,,co-op,2019-12-06,2,CotV,Tonestone36,,,http://www.speedrun.com/bo2zombies/run/m7q3o90z,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 68kozzn2=5le5pplo,Xbox 360,1m 56.000s,https://youtu.be/Ytpb_rWl6hM,,co-op,2019-12-06,2,CotV,Tonestone36,,,http://www.speedrun.com/bo2zombies/run/yw4nxppz,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 68kozzn2=5le5pplo,Xbox 360,3m 29.000s,https://youtu.be/RbF0GjxcuRI,,solo,2019-12-05,1,CotV,,,,http://www.speedrun.com/bo2zombies/run/y21kk27z,verified
Call of Duty: Black Ops Zombies,,Shangri-La,68ko6qn2=klrmdjqp; p85rgxng=gq79pkyl,PC,1m 31.210s,https://www.youtube.com/watch?v=I_XXqtOMg9Q&t=2s&ab_channel=CotV,,co-op,2024-03-14,2,CotV,nehyzo,,,http://www.speedrun.com/bozombies/run/zp6l4pgm,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=gq79z5yl,Xbox 360,3m 3.000s,https://www.youtube.com/watch?v=FOJaLTzuNLY,,solo,2024-02-27,1,CotV,,,,http://www.speedrun.com/bozombies/run/m30okpqm,verified
Call of Duty: Black Ops Zombies,,Shangri-La,68ko6qn2=jqzdwglp; p85rgxng=gq79pkyl,Xbox 360,2m 1.510s,https://www.youtube.com/watch?v=kYu2EAGOGug,,solo,2024-02-27,1,CotV,,,,http://www.speedrun.com/bozombies/run/z0d3x1ey,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=gq79z5yl,Xbox 360,3m 6.000s,https://www.youtube.com/watch?v=wTYR5J22ikE,,solo,2022-01-22,1,CotV,,,,http://www.speedrun.com/bozombies/run/mkekn3lm,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=z19xxnk1,Xbox 360,13m 36.000s,https://www.twitch.tv/videos/421925719,,solo,2019-04-30,1,CotV,,,,http://www.speedrun.com/bozombies/run/yo21lqdz,rejected
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=gq79z5yl,Xbox 360,3m 0.900s,https://www.twitch.tv/videos/414896758,,solo,2019-04-22,1,CotV,,,,http://www.speedrun.com/bozombies/run/ywp9309z,rejected
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=z19xxnk1,Xbox 360,13m 58.260s,https://www.twitch.tv/videos/414899385,,solo,2019-04-22,1,CotV,,,,http://www.speedrun.com/bozombies/run/z11eprrz,rejected
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=gq79z5yl,Xbox 360,3m 8.238s,https://www.youtube.com/watch?v=nUVNsW7_3_E&feature=youtu.be,,solo,2018-09-27,1,CotV,,,,http://www.speedrun.com/bozombies/run/y6p9e61m,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=21dnjgle,Xbox 360,33m 56.000s,https://www.twitch.tv/videos/291280558,,solo,2018-07-31,1,CotV,,,,http://www.speedrun.com/bozombies/run/y2q5wqjy,rejected
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=5q83x61d,Xbox 360,1h 25m 53.000s,https://www.twitch.tv/videos/291283917,,solo,2018-07-31,1,CotV,,,,http://www.speedrun.com/bozombies/run/yo2kx21z,rejected
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=gq79z5yl,Xbox 360,3m 11.000s,https://www.twitch.tv/videos/291277864,,solo,2018-07-30,1,CotV,,,,http://www.speedrun.com/bozombies/run/mk93193z,rejected
