game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=le2669kl; gnxjp4lv=5leozzqo,PC,34m 49.150s,https://www.youtube.com/watch?v=dWthuxUUhCc,,solo,2025-04-28,1,DankSlushie,,,,http://www.speedrun.com/bo2zombies/run/zg6n14jm,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=5leozzqo,PC,35m 33.950s,https://www.youtube.com/watch?v=pazE9HHiP3g,,solo,2024-04-28,1,DankSlushie,,,,http://www.speedrun.com/bo2zombies/run/y8w0kn1y,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=5leozzqo,PC,36m 46.900s,https://www.youtube.com/watch?v=Cv8wvKe4euk,,solo,2024-04-07,1,DankSlushie,,,,http://www.speedrun.com/bo2zombies/run/y6vnnq1m,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=5leozzqo,PC,36m 54.980s,https://www.youtube.com/watch?v=wV_PSQgSHEY,,solo,2024-01-21,1,DankSlushie,,,,http://www.speedrun.com/bo2zombies/run/z5knr4ez,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=5leozzqo,PC,37m 6.360s,https://youtu.be/GwZsv_K7ePs,,solo,2024-01-09,1,DankSlushie,,,,http://www.speedrun.com/bo2zombies/run/y6qjr2qz,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=5leozzqo,PC,37m 16.310s,https://www.twitch.tv/videos/2026166530,,solo,2024-01-07,1,DankSlushie,,,,http://www.speedrun.com/bo2zombies/run/y9kprqkz,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=le2669kl; gnxjp4lv=5leozzqo,PC,35m 19.000s,https://www.twitch.tv/videos/1964429274,,solo,2023-10-30,1,DankSlushie,,,,http://www.speedrun.com/bo2zombies/run/yoo6kx0y,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=5leozzqo,PC,37m 41.350s,https://www.youtube.com/watch?v=M0-Ac3UEGsU,,solo,2023-06-07,1,DankSlushie,,,,http://www.speedrun.com/bo2zombies/run/z0jr3e8y,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; gnxjp4lv=5leozzqo,PC,29m 54.050s,https://www.youtube.com/watch?v=aA4djq7Pywo&t=0s,https://www.youtube.com/watch?v=TGz6zrksbdI,co-op,2023-06-06,2,Huth,DankSlushie,,,http://www.speedrun.com/bo2zombies/run/ywr05r2m,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; p85revng=21dwgjle,PC,14m 32.400s,https://www.youtube.com/watch?v=-rs2J1sLKjM&t=30s&ab_channel=Sable,,co-op,2023-01-05,3,sablefarts,DankSlushie,RealitySR,,http://www.speedrun.com/bo2zombies/run/y9k5norz,verified
