game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: WWII Zombies,,The Final Reich,38dojm0l=4qy5rp41; r8rgo40n=z195egkq; onv7j35n=mlnprkj1,Xbox One,1h 12m 14.000s,https://www.youtube.com/watch?v=ZetFSNZCIjs,,co-op,2020-09-03,2,Dnorr25,JMPatriot1776,,,http://www.speedrun.com/wwiizombies/run/zx63x1gz,verified
Call of Duty: WWII Zombies,,The Final Reich,38dojm0l=mlndnw01; r8rgo40n=z195egkq; onv7j35n=mlnprkj1,Xbox One,1h 18m 13.000s,https://www.youtube.com/watch?v=D7xNCytydtA,,co-op,2020-08-29,3,Dnorr25,Ganjasideous,JMPatriot1776,,http://www.speedrun.com/wwiizombies/run/y9n8po2z,verified
Call of Duty: WWII Zombies,,The Final Reich,38dojm0l=81008zw1; r8rgo40n=z195egkq; onv7j35n=mlnprkj1,Xbox One,1h 29m 38.000s,https://www.youtube.com/watch?v=jdDyPX6-M5s,,co-op,2020-08-11,4,Dnorr25,Ganjasideous,JMPatriot1776,The Golden Spork,http://www.speedrun.com/wwiizombies/run/mr4l0q4z,verified
Call of Duty: WWII Zombies,,The Final Reich,38dojm0l=5q82o6gq; r8rgo40n=81p4kwk1; onv7j35n=4qyd382q,Xbox One,4h 40m 29.000s,https://www.youtube.com/watch?v=OiJfx_yNxv8,,solo,2020-07-23,1,Dnorr25,,,,http://www.speedrun.com/wwiizombies/run/m3nq064y,verified
Call of Duty: WWII Zombies,,Groesten Haus,wle6d348=4qy52k31; 5lyj7xgl=jqzv27ml; onv7j35n=mlnprkj1,Xbox One,56m 54.000s,https://www.youtube.com/watch?v=CAcV9YvEIc0,,solo,2020-03-14,1,Dnorr25,,,,http://www.speedrun.com/wwiizombies/run/y2vg2qwz,verified
Call of Duty: WWII Zombies,,Groesten Haus,wle6d348=4qy52k31; 5lyj7xgl=21ge0rml; onv7j35n=mlnprkj1,Xbox One,25m 11.000s,https://www.youtube.com/watch?v=XhrEHhxvD34,,solo,2020-02-23,1,Dnorr25,,,,http://www.speedrun.com/wwiizombies/run/z18lk4jy,verified
Call of Duty: WWII Zombies,,The Tortured Path Survival,j845epyn=5q8j5e6l; gnxjvm4l=0q5yk8vl; dlo7yxm8=21gvygo1; onv7j35n=mlnprkj1,Xbox One,5h 27m 45.000s,https://www.youtube.com/watch?v=JX8H6ha-omM,,co-op,2020-02-14,2,Dnorr25,JMPatriot1776,,,http://www.speedrun.com/wwiizombies/run/yw0rxe9m,verified
Call of Duty: WWII Zombies,,The Tortured Path Survival,j845epyn=5q8j5e6l; gnxjvm4l=0q5yk8vl; dlo7yxm8=gq70kgrl; onv7j35n=mlnprkj1,Xbox One,2h 27m 20.000s,https://www.youtube.com/watch?v=JX8H6ha-omM,,co-op,2020-02-14,2,Dnorr25,JMPatriot1776,,,http://www.speedrun.com/wwiizombies/run/zgxeo7nm,verified
Call of Duty: WWII Zombies,,Groesten Haus,wle6d348=4qy52k31; 5lyj7xgl=21ge0rml; onv7j35n=4qyd382q,Xbox One,26m 37.000s,https://www.youtube.com/watch?v=8sT1oP95rtE,,solo,2019-12-13,1,Dnorr25,,,,http://www.speedrun.com/wwiizombies/run/zgxe2qem,verified
Call of Duty: WWII Zombies,,The Final Reich,38dojm0l=5q82o6gq; r8rgo40n=814kmejl; onv7j35n=4qyd382q,Xbox One,31m 15.000s,https://youtu.be/JMKdVH2LX1s,,solo,2019-09-25,1,Dnorr25,,,,http://www.speedrun.com/wwiizombies/run/yw4jl1nz,verified
Call of Duty: WWII Zombies,,The Final Reich,38dojm0l=5q82o6gq; r8rgo40n=z195egkq; onv7j35n=4qyd382q,Xbox One,58m 14.000s,https://youtu.be/JMKdVH2LX1s,,solo,2019-09-21,1,Dnorr25,,,,http://www.speedrun.com/wwiizombies/run/zp42xlrz,verified
Call of Duty: WWII Zombies,,The Final Reich,38dojm0l=5q82o6gq; r8rgo40n=814kmejl; onv7j35n=4qyd382q,Xbox One,31m 5.000s,https://www.youtube.com/watch?v=JMKdVH2LX1s,,solo,2019-09-20,1,Dnorr25,,,,http://www.speedrun.com/wwiizombies/run/zp3w618m,verified
Call of Duty: WWII Zombies,,The Final Reich,38dojm0l=5q82o6gq; r8rgo40n=z195egkq; onv7j35n=4qyd382q,Xbox One,58m 14.000s,https://www.youtube.com/watch?v=JMKdVH2LX1s,,solo,2019-09-20,1,Dnorr25,,,,http://www.speedrun.com/wwiizombies/run/zp3w68gm,verified
Call of Duty: WWII Zombies,,The Final Reich,38dojm0l=4qy5rp41; r8rgo40n=z195egkq; onv7j35n=mlnprkj1,Xbox One,1h 13m 39.000s,https://www.youtube.com/watch?v=5aVV0QYpw84,,co-op,2019-09-17,2,Dnorr25,Xray,,,http://www.speedrun.com/wwiizombies/run/y662e1qy,verified
Call of Duty: WWII Zombies,,The Final Reich,38dojm0l=5q82o6gq; r8rgo40n=p12ojekl; onv7j35n=4qyd382q,Xbox One,1h 48m 49.000s,https://www.youtube.com/watch?v=HNtK8KlUw5A,,solo,2019-09-05,1,Dnorr25,,,,http://www.speedrun.com/wwiizombies/run/zp3w62gm,verified
Call of Duty: WWII Zombies,,Groesten Haus,wle6d348=mlndvg61; 5lyj7xgl=jqzv27ml; onv7j35n=mlnprkj1,Xbox One,1h 2m 13.000s,https://www.youtube.com/watch?v=RtFQgyIb95Y,,co-op,2019-08-20,2,Dnorr25,JMPatriot1776,,,http://www.speedrun.com/wwiizombies/run/y9n8j5nz,verified
