game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0137jrdl; 0nw715r8=mlnp4rd1; dlo750j8=jq6w74jl,PC,5m 37.000s,https://www.youtube.com/watch?v=bJy7UxkiqyI,,solo,2021-02-07,1,Edgy.dikbut,,,,http://www.speedrun.com/bocwz/run/y66de86y,rejected
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,23m 40.000s,https://www.youtube.com/watch?v=iJwFLhA4CBQ,,co-op,2021-01-26,2,ItzYahBoyG,Edgy.dikbut,,,http://www.speedrun.com/bocwz/run/yv26gv8m,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,25m 26.088s,https://www.youtube.com/watch?v=ePZr1v5S0Kw,,co-op,2021-01-25,2,ItzYahBoyG,Edgy.dikbut,,,http://www.speedrun.com/bocwz/run/zqgrpq8m,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,26m 4.880s,https://www.youtube.com/watch?v=qTgGAfIetok,,co-op,2021-01-13,2,ItzYahBoyG,Edgy.dikbut,,,http://www.speedrun.com/bocwz/run/yo9vl31y,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,1m 51.100s,https://www.youtube.com/watch?v=GhNT0CWYd3Q,,co-op,2020-12-17,2,ItzYahBoyG,Edgy.dikbut,,,http://www.speedrun.com/bocwz/run/yj6exv3z,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,27m 22.000s,https://www.youtube.com/watch?v=y2WXacYH_8Y,,co-op,2020-12-17,2,ItzYahBoyG,Edgy.dikbut,,,http://www.speedrun.com/bocwz/run/zxdj7dey,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=5lez085l; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,1m 45.000s,https://www.youtube.com/watch?v=wa0noixWRDg,,co-op,2020-12-17,3,ItzYahBoyG,ImaFireHazards,Edgy.dikbut,,http://www.speedrun.com/bocwz/run/yj6ew6gz,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0q5zm8mq; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,29m 14.970s,https://www.youtube.com/watch?v=LEP9XLO07pE,,co-op,2020-12-16,4,ItzYahBoyG,ImaFireHazards,CriticalHeat,Edgy.dikbut,http://www.speedrun.com/bocwz/run/mk8o8lxm,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=jq6rwx3q; gnxj7pgl=810y752l,PC,4m 15.084s,https://www.youtube.com/watch?v=KAsk93OaVZI,,co-op,2020-12-05,2,FanciestAce195,Edgy.dikbut,,,http://www.speedrun.com/bocwz/run/zn323ovy,rejected
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=jq6rwx3q; gnxj7pgl=810y752l,PC,4m 16.000s,https://www.youtube.com/watch?v=KAsk93OaVZI,,co-op,2020-12-05,2,FanciestAce195,Edgy.dikbut,,,http://www.speedrun.com/bocwz/run/ywdgd0nz,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,2m 38.250s,https://www.youtube.com/watch?v=qy9ESHM0lGY,,solo,2020-11-18,1,Edgy.dikbut,,,,http://www.speedrun.com/bocwz/run/mr9rvvgm,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,2m 33.000s,https://www.youtube.com/watch?v=WSnrFzM-pzk,,solo,2020-11-18,1,Edgy.dikbut,,,,http://www.speedrun.com/bocwz/run/y2dew1wz,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,2m 32.000s,https://www.youtube.com/watch?v=VeOKpNIOfEM,,solo,2020-11-18,1,Edgy.dikbut,,,,http://www.speedrun.com/bocwz/run/m3gxj7wz,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,2m 30.000s,https://www.youtube.com/watch?v=VeOKpNIOfEM,,solo,2020-11-18,1,Edgy.dikbut,,,,http://www.speedrun.com/bocwz/run/ywd6xjpz,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,2m 19.533s,https://www.youtube.com/watch?v=joD3EGOOAng,,solo,2020-11-18,1,Edgy.dikbut,,,,http://www.speedrun.com/bocwz/run/z53xg6jy,verified
