game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=0q56pm1p; jlzz6xl2=gq79pjvl,Xbox One,2m 5.400s,https://youtu.be/d_61CtBK4_o?si=2fy3yLhLkk1R2lRT,,co-op,2025-07-15,2,ExplodedPie7654,Encharna,,,http://www.speedrun.com/bo3zombies/run/yjq29wnm,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=0q56pm1p; jlzz6xl2=gq79pjvl,Xbox One,2m 9.000s,https://youtu.be/7Nyd9SP1sps?si=qmaS5uPe_qJWIWLG,,co-op,2025-07-01,2,ExplodedPie7654,Encharna,,,http://www.speedrun.com/bo3zombies/run/y6jxdnjm,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=0q56pm1p; jlzz6xl2=gq79pjvl,Xbox One,2m 13.500s,https://youtu.be/gtL1m8QDR_I,,co-op,2023-06-25,2,ExplodedPie7654,Encharna,,,http://www.speedrun.com/bo3zombies/run/znvpkn9m,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=0q56pm1p; jlzz6xl2=gq79pjvl,Xbox One,2m 17.000s,https://youtu.be/RWfTbXWHCeo,,co-op,2023-06-25,2,ExplodedPie7654,Encharna,,,http://www.speedrun.com/bo3zombies/run/yl67kpxy,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=0q56pm1p; jlzz6xl2=gq79pjvl,Xbox One,2m 23.000s,https://youtu.be/Ke43Q0s5r28,,co-op,2022-06-19,2,ExplodedPie7654,Encharna,,,http://www.speedrun.com/bo3zombies/run/y60q9eqy,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=0q56pm1p; jlzz6xl2=gq79pjvl,Xbox One,2m 20.950s,https://youtu.be/5flJIpaFwG4,,co-op,2022-06-19,2,ExplodedPie7654,Encharna,,,http://www.speedrun.com/bo3zombies/run/z0px70jy,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=0q56pm1p; jlzz6xl2=gq79pjvl,Xbox One,2m 15.000s,https://youtu.be/330VXmWSZKo,,co-op,2022-06-15,2,ExplodedPie7654,Encharna,,,http://www.speedrun.com/bo3zombies/run/zx73j0ey,rejected
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=0q56pm1p; 38dw04n0=jq6om7qm,Xbox One,3m 44.000s,https://youtu.be/4KtyP-daLZQ,,co-op,2022-06-13,2,ExplodedPie7654,Encharna,,,http://www.speedrun.com/bo3zombies/run/zx73g7ey,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=0q56pm1p; jlzz6xl2=gq79pjvl,Xbox One,2m 34.000s,https://youtu.be/y2da766lepM,,co-op,2022-06-13,2,ExplodedPie7654,Encharna,,,http://www.speedrun.com/bo3zombies/run/yddjrnxy,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=p12x944l; 2lg396np=0q56pm1p; jlzz6xl2=0q54r9rl,Xbox One,4m 27.000s,https://youtu.be/dMVkhgqRKiw,,co-op,2022-06-12,2,ExplodedPie7654,Encharna,,,http://www.speedrun.com/bo3zombies/run/y8863kny,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=p12x944l; 2lg396np=0q56pm1p; jlzz6xl2=0q54r9rl,Xbox One,3m 47.667s,https://youtu.be/GwJqe2wRlXc,,co-op,2022-06-12,2,ExplodedPie7654,Encharna,,,http://www.speedrun.com/bo3zombies/run/zp9wnxrm,verified
