game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call Of Duty Zombies Category Extension,BO3,All Maps,68kmpxzl=5le3vy6q; kn0j593l=z19mgeyl; r8r1y4wn=1pywxjv1,PC,1h 57m 36.410s,https://www.youtube.com/watch?v=xCqO_89r_9I,,co-op,2025-06-10,4,Freckleston,Invisible_hole,KOOKY,Seqn3,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/yw2qowny,verified
Call of Duty: Black Ops 6 Zombies,,The Reckoning ,6njpd4en=12ve0wdq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; kn0eoj78=ln86o0ol,PC,22m 9.540s,https://youtu.be/27rep6dm8hs?si=MMp_6kWs_OM9R-6I,,solo,2025-08-19,1,Freckleston,,,,http://www.speedrun.com/BO6Zombies/run/zx59wwem,verified
Call of Duty: Black Ops 6 Zombies,,The Reckoning ,6njpd4en=12ve0wdq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; kn0eoj78=ln86o0ol,PlayStation 5,28m 43.900s,https://www.youtube.com/watch?v=-gXq1QotaMI,,solo,2025-08-15,1,Freckleston,,,,http://www.speedrun.com/BO6Zombies/run/zg69onjm,verified
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1pydo5v1; 68k16z3l=qyzjvg41; yn202mel=12vwvz2q; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; wlegod2n=lr3yprml,PC,17m 28.000s,https://www.youtube.com/watch?v=VjLaQPSy__I,,co-op,2024-12-09,4,Freckleston,KOOKY,Scorppy,BicBoymmm,http://www.speedrun.com/BO6Zombies/run/y9p200rm,verified
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1pydo5v1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; wlegod2n=lr3yprml,PC,28m 11.000s,https://www.youtube.com/watch?v=pNQEuZ6QfT4,,solo,2024-12-08,1,Freckleston,,,,http://www.speedrun.com/BO6Zombies/run/m7e93kwz,verified
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1pydo5v1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; wlegod2n=lr3yprml,PC,35m 7.000s,https://www.youtube.com/watch?v=en4lSd2cbHk,,solo,2024-12-07,1,Freckleston,,,,http://www.speedrun.com/BO6Zombies/run/zq26989z,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 68k1vezl=q75rg8y1,PC,21m 27.110s,https://www.twitch.tv/videos/2317588189,,solo,2024-12-03,1,Freckleston,,,,http://www.speedrun.com/BO6Zombies/run/menkvv2m,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 68k1vezl=1dk3yw5l,PC,22m 7.530s,https://youtu.be/x4wZafwzpRY?si=TchJHAulgHQBrdBR,,solo,2024-11-18,1,Freckleston,,,,http://www.speedrun.com/BO6Zombies/run/ydl74ewz,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 68k1vezl=q75rg8y1,PC,22m 38.680s,https://www.youtube.com/watch?v=YQjkdG79U4w,,solo,2024-11-13,1,Freckleston,,,,http://www.speedrun.com/BO6Zombies/run/ylx839ny,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 68k1vezl=1gn2gmml,PC,23m 37.750s,https://www.twitch.tv/videos/2293495034,,solo,2024-11-04,1,Freckleston,,,,http://www.speedrun.com/BO6Zombies/run/yoxg9o1y,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=14o7o8eq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 68k1vezl=q75rg8y1,PC,25m 9.280s,https://www.youtube.com/watch?v=bIUAXXRvQLQ,,solo,2024-11-01,1,Freckleston,,,,http://www.speedrun.com/BO6Zombies/run/zgo1xrem,rejected
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 68k1vezl=q75rg8y1,PC,27m 11.580s,https://youtu.be/VWsWRejCAEc?si=5f-zjk2NXglwcVws,,solo,2024-10-31,1,Freckleston,,,,http://www.speedrun.com/BO6Zombies/run/yvxe61oz,verified
Call of Duty: Black Ops 7 Zombies,,Astra Malorum ,68kw0kk8=q8k88wyq; 38dg6648=q6507yol; r8r65558=lmokn801; 5lyyoo2l=qkej8r4q; ylq4117n=1dkzd4gl; e8mg33e8=lr3p7zwl,PC,29m 35.590s,https://www.youtube.com/watch?v=NY6znhmpuJ0,,solo,2025-12-09,1,Freckleston,,,,http://www.speedrun.com/Bo7Zombies/run/y2re6e5m,verified
