game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 68kozzn2=jqzvyn2l,Xbox 360,2m 59.270s,https://www.twitch.tv/videos/256403944,,solo,2018-04-30,1,Freddie,,,,http://www.speedrun.com/bo2zombies/run/yjk0qkdm,rejected
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=klrj632q,Xbox 360,3m 13.400s,https://www.twitch.tv/videos/252729744,,solo,2018-04-21,1,Freddie,,,,http://www.speedrun.com/bo2zombies/run/yl98052y,rejected
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; yn23jdl5=81009651,Xbox 360,3m 1.410s,https://www.twitch.tv/videos/252672013,,solo,2018-04-20,1,Freddie,,,,http://www.speedrun.com/bo2zombies/run/y671ll1m,rejected
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 2lg32qnp=p12o4vdl,Xbox 360,3m 7.110s,https://www.twitch.tv/videos/252718179,,solo,2018-04-20,1,Freddie,,,,http://www.speedrun.com/bo2zombies/run/yo4wj97m,rejected
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=zqoyxe21,Xbox 360,3m 14.610s,https://youtu.be/3lJmKfL1H9A,,solo,2018-03-29,1,Freddie,,,,http://www.speedrun.com/bo2zombies/run/yw1oxx9z,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 68kozzn2=gq7pyvqp,Xbox 360,3m 59.660s,https://youtu.be/drjWPrY3uWg,,solo,2018-03-26,1,Freddie,,,,http://www.speedrun.com/bo2zombies/run/m79j2n0y,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=zqoyxe21,Xbox 360,3m 17.450s,https://youtu.be/4rTco2Lmejw,,solo,2018-03-25,1,Freddie,,,,http://www.speedrun.com/bo2zombies/run/y8qlj5xy,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=5lmxo341,Xbox 360,3m 16.040s,https://www.youtube.com/watch?v=pPqgr22tovY&feature=youtu.be,,solo,2018-03-24,1,Freddie,,,,http://www.speedrun.com/bo2zombies/run/yl92rpry,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=5lmxo341,Xbox 360,3m 36.470s,https://www.youtube.com/watch?v=pGGLiLQq9bo,,solo,2018-03-17,1,Freddie,,,,http://www.speedrun.com/bo2zombies/run/yo45g01m,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=zqoyxe21,Xbox 360,3m 45.870s,https://youtu.be/F6mG9IT85IU,,solo,2018-01-18,1,Freddie,,,,http://www.speedrun.com/bo2zombies/run/yl9d6p3y,verified
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; yn23jdl5=81009651,Xbox 360,3m 5.480s,https://youtu.be/f4MIsZecpso,,solo,2018-01-18,1,Freddie,,,,http://www.speedrun.com/bo2zombies/run/zgnle6ny,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 68kozzn2=jqzvyn2l,Xbox 360,3m 23.420s,https://youtu.be/0UBGxonTbp8,,solo,2018-01-14,1,Freddie,,,,http://www.speedrun.com/bo2zombies/run/y456w43m,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=5lmxo341,Xbox 360,3m 52.000s,https://youtu.be/qOJRzM4NPIc,,solo,2018-01-12,1,Freddie,,,,http://www.speedrun.com/bo2zombies/run/y67vp86m,verified
