game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0137jrdl; 0nw715r8=gq70vzyl; dlo750j8=jq6w74jl,Xbox One S,2m 29.000s,https://www.youtube.com/watch?v=5F2_RzDCE-4,,solo,2025-08-19,1,Grimmwolf6711,,,,http://www.speedrun.com/bocwz/run/z167nwwm,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,Xbox One S,2m 9.000s,https://www.youtube.com/watch?v=PhIJv_qk4yU,,solo,2025-08-19,1,Grimmwolf6711,,,,http://www.speedrun.com/bocwz/run/yd4olkxy,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=0q5zd5nq; gnxj7pgl=810y752l,Xbox One S,9m 15.000s,https://www.youtube.com/watch?v=wtxN7ps6QR4,,solo,2024-08-14,1,Grimmwolf6711,,,,http://www.speedrun.com/bocwz/run/y8pdxknz,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=gq79pjvl,PC,3m 3.000s,https://www.youtube.com/watch?v=wDgnaaKZjL0,,solo,2025-12-28,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/y68q8x0z,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PC,2m 42.110s,https://www.youtube.com/watch?v=ZVfX31xMSNE,,solo,2025-08-25,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/y8glpvnz,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=zqomrog1,PC,13m 45.450s,https://www.youtube.com/watch?v=O9fqecOSRfI,,solo,2025-08-19,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/y6j8ek0m,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=5leo55qo; ylp4gjlg=xqk968n1,PC,2m 34.000s,https://www.youtube.com/watch?v=aDInpCAb4VE,,solo,2025-08-19,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/zx05x1ez,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=0q5x78m1,PC,2m 29.590s,https://www.youtube.com/watch?v=8SczhRX5Zjo,,solo,2025-08-19,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/z167ne7m,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=814794v1; 2lg396np=5leo55qo; onvmywnm=4lx0d42l,PC,2m 45.760s,https://www.youtube.com/watch?v=cpwiZNaWhLo,,solo,2025-08-18,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/z00kn09z,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,PC,2m 44.490s,https://www.youtube.com/watch?v=k2bK_tqckOQ,,solo,2025-08-09,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/m7lerk0y,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=5leo55qo; ylqx7m8r=013w4rdq,PC,2m 56.500s,https://www.youtube.com/watch?v=WIAfter4lQM,,solo,2025-08-07,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/m7leo75y,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,PC,2m 59.420s,https://www.youtube.com/watch?v=vdOrJA6U2i8,,solo,2025-08-06,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/yjqe8x3m,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=5leo55qo; ylp4kjlg=z195dr0q,PC,2m 54.733s,https://www.youtube.com/watch?v=c70XrOExSYM,,solo,2025-08-06,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/yv7n8q4y,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=5leo55qo; gnx65jnv=rqv6zd7l,PC,2m 47.480s,https://www.youtube.com/watch?v=yHgg1zD9QBI,,solo,2025-08-03,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/z16vddgm,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=814794v1; 2lg396np=5leo55qo; onvmywnm=4lx0d42l,PC,2m 52.280s,https://www.youtube.com/watch?v=PnH2ov8StUk,,solo,2025-07-30,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/y28w7d6y,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=21d36o5q; 2lg396np=5leo55qo; 789ye5nw=p12o4z7l,PC,2m 56.000s,https://youtu.be/iFtxUqjM6Sg?si=3o1SwnGh9lGl_XdA,,solo,2025-07-27,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/yljd59nm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PC,2m 53.460s,https://www.youtube.com/watch?v=jwZjDctimaM,,solo,2025-07-27,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/m3v0w66z,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=5leo55qo; ylp4gjlg=xqk968n1,PC,2m 53.190s,https://www.youtube.com/watch?v=rRolwAHh5hs,,solo,2025-07-23,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/y28kop7y,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=5leo55qo; 38dw04n0=81wer8o1,PC,2m 52.000s,https://www.youtube.com/watch?v=l6k6sktPVqM,,solo,2025-07-23,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/mrd2g78z,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=21d3635q; 2lg396np=5leo55qo; p85pd5lg=zqom2np1,PC,2m 26.920s,https://www.youtube.com/watch?v=rfUthkNtrXQ,,solo,2025-07-23,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/zngen7vm,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=0q5x78m1,PC,2m 35.520s,https://youtu.be/-NlJu2JSw3o?si=BDZQSMHwDrzN97IQ,,solo,2025-07-02,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/y6jxowpm,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=21d3635q; 2lg396np=5leo55qo; p85pd5lg=zqom2np1,PC,2m 57.000s,https://www.youtube.com/watch?v=Ig0p9TkeMVw,,solo,2025-06-17,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/y6j94npm,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=0q5x78m1,PC,2m 44.250s,https://www.youtube.com/watch?v=bi9Wyxv_eho,,solo,2025-06-17,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/zx0oro5z,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=5leo55qo; 38dw04n0=81wer8o1,PC,3m 5.120s,https://www.youtube.com/watch?v=SUyV3-0IFY4,,solo,2025-01-06,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/ylpoq73m,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PC,2m 54.530s,https://www.youtube.com/watch?v=xsGA26YusQw,,solo,2025-01-06,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/y8ovdjwm,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=5leo55qo; gnx65jnv=rqv6zd7l,Xbox One,3m 14.000s,https://www.youtube.com/watch?v=wtxN7ps6QR4,,solo,2024-08-14,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/y2wxekwy,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=5leo55qo; 38dw04n0=81wer8o1,Xbox One,3m 40.000s,https://www.youtube.com/watch?v=wtxN7ps6QR4,,solo,2024-08-14,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/y4lrxkkz,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=21d36o5q; 2lg396np=5leo55qo; 789ye5nw=p12o4z7l,Xbox One,4m 8.000s,https://www.youtube.com/watch?v=wtxN7ps6QR4,,solo,2024-08-14,1,Grimmwolf6711,,,,http://www.speedrun.com/bo3zombies/run/m3jrxkqz,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=gq79z5yl,Xbox One,3m 9.000s,https://www.youtube.com/watch?v=WpJKXuoFS4w,,solo,2025-08-03,1,Grimmwolf6711,,,,http://www.speedrun.com/bozombies/run/m3vw99wz,verified
