game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=p12x944l; 2lg396np=0q56pm1p; jlzz6xl2=814k4d0l,PlayStation 4,2m 46.330s,https://youtu.be/EDHjE_PRO3w,,co-op,2020-01-09,2,FenderH8sSpeedRuns,Guteren,,,http://www.speedrun.com/bo3zombies/run/mre0kn7y,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=p12x944l; 2lg396np=5leo55qo; jlzz6xl2=zqomrog1,PlayStation 4,20m 20.440s,https://youtu.be/Jzk01of6B80,,solo,2020-01-04,1,Guteren,,,,http://www.speedrun.com/bo3zombies/run/yojxqp0m,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=0q56pm1p; jlzz6xl2=814k4d0l,PlayStation 4,3m 3.650s,https://youtu.be/LUm1Km-ujbA,,co-op,2020-01-02,2,FenderH8sSpeedRuns,Guteren,,,http://www.speedrun.com/bo3zombies/run/yl0x6exy,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=p12x944l; 2lg396np=0q56pm1p; jlzz6xl2=zqomrog1,PlayStation 4,18m 21.370s,https://youtu.be/LUm1Km-ujbA,,co-op,2020-01-02,2,FenderH8sSpeedRuns,Guteren,,,http://www.speedrun.com/bo3zombies/run/zp4xw2vz,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=p12x944l; 2lg396np=0q56pm1p; jlzz6xl2=013xgok1,PlayStation 4,58m 53.770s,https://youtu.be/LUm1Km-ujbA,,co-op,2020-01-02,2,FenderH8sSpeedRuns,Guteren,,,http://www.speedrun.com/bo3zombies/run/z57gp2jm,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=gq7r2zdl; 2lg396np=0q56pm1p; ylp4kjlg=z195dr0q,PlayStation 4,4m 12.850s,https://youtu.be/QYS4ur-Cn5c,,co-op,2020-01-02,2,FenderH8sSpeedRuns,Guteren,,,http://www.speedrun.com/bo3zombies/run/y95d8vrz,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=gq7r2zdl; 2lg396np=0q56pm1p; ylp4kjlg=013w57kq,PlayStation 4,17m 17.370s,https://youtu.be/QYS4ur-Cn5c,,co-op,2020-01-02,2,FenderH8sSpeedRuns,Guteren,,,http://www.speedrun.com/bo3zombies/run/mk210dlm,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,PlayStation 4,3m 23.540s,https://youtu.be/wiiFWSDUoxE,,solo,2020-01-01,1,Guteren,,,,http://www.speedrun.com/bo3zombies/run/mk21d5lm,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=z19xxnk1,PC,18m 46.770s,https://youtu.be/RSUqvvQ_-M0,,solo,2020-01-06,1,Guteren,,,,http://www.speedrun.com/bozombies/run/yd6l70wz,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=gq79z5yl,PC,4m 0.870s,https://youtu.be/fB05t5gGPFg,,solo,2020-01-06,1,Guteren,,,,http://www.speedrun.com/bozombies/run/mk2168vm,verified
