game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; gnxjp4lv=zqo94gqy,PC,1h 26m 46.210s,https://www.twitch.tv/videos/1218919362,,co-op,2021-12-19,2,Hefestoo_,NoMoleMan,,,http://www.speedrun.com/bo2zombies/run/mkek381m,rejected
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 68kozzn2=p12p7vqx,PC,1h 9m 4.430s,https://youtu.be/Ou81DLw-aB8,,co-op,2021-11-01,2,Hefestoo_,NoMoleMan,,,http://www.speedrun.com/bo2zombies/run/zp29rlgy,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 68kozzn2=z19knjq4,PC,34m 35.870s,https://youtu.be/Ou81DLw-aB8,,co-op,2021-11-01,2,Hefestoo_,NoMoleMan,,,http://www.speedrun.com/bo2zombies/run/zp2982gy,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=gq7p8nqp,PC,37m 28.890s,https://youtu.be/7t47j8ddqfw,,solo,2021-10-18,1,Hefestoo_,,,,http://www.speedrun.com/bo2zombies/run/zxl7225z,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; p85revng=21g9nxxq,PC,16m 27.380s,https://youtu.be/pmpi4CucLwo,,co-op,2021-10-11,2,Hefestoo_,Zapuer,,,http://www.speedrun.com/bo2zombies/run/y48q77dm,rejected
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; p85revng=gq7p8nqp,PC,1h 23m 19.000s,https://youtu.be/nQFbP73ix98,,co-op,2021-10-03,4,Lima,Hefestoo_,Zapuer,TyranitarSpirit,http://www.speedrun.com/bo2zombies/run/zp29r1xy,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; p85revng=gq7p8nqp,PC,44m 28.400s,https://youtu.be/Z62LzZDrTYo,,co-op,2021-07-20,2,Hefestoo_,Zapuer,,,http://www.speedrun.com/bo2zombies/run/yle7rerz,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; p85revng=21g5mxlz,PC,1h 37m 59.000s,https://youtu.be/Z62LzZDrTYo,,co-op,2021-07-19,2,Hefestoo_,Zapuer,,,http://www.speedrun.com/bo2zombies/run/z0op55ez,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; p85revng=gq7p8nqp,PC,1h 4m 19.000s,https://youtu.be/h2uGYvywlVk,,co-op,2021-07-11,3,Hefestoo_,DestroyerZP,NoMoleMan,,http://www.speedrun.com/bo2zombies/run/z0op5rez,rejected
Call of Duty: Black Ops Zombies,,Shangri-La,68ko6qn2=klrmdjqp; p85rgxng=rqv9y5l6,PC,1h 51m 8.000s,https://www.youtube.com/watch?v=uQSb1QAqCz0,,co-op,2025-04-12,2,Hefestoo_,gdunga,,,http://www.speedrun.com/bozombies/run/zq5qjw9z,verified
Call of Duty: Black Ops Zombies,,Shangri-La,68ko6qn2=klrmdjqp; p85rgxng=5le5xplo,PC,4h 52m 58.000s,https://www.youtube.com/watch?v=uQSb1QAqCz0,,co-op,2025-04-12,2,Hefestoo_,gdunga,,,http://www.speedrun.com/bozombies/run/yo5xn6jz,verified
Call of Duty: Black Ops Zombies,,Moon,68ko6qn2=klrmdjqp; 38dpvx80=z19vjjl4,PC,3h 36m 58.000s,https://www.youtube.com/watch?v=hZBTmuPkRTI,,co-op,2024-08-17,2,Hefestoo_,NoMoleMan,,,http://www.speedrun.com/bozombies/run/mr5xln7y,verified
Call of Duty: Black Ops Zombies,,Der Riese,68ko6qn2=klrmdjqp; p85d45lg=xqk3g919,PC,1h 27m 35.830s,https://youtu.be/lRzsQEKq9so,https://youtu.be/-TfAzTlmGQM,co-op,2022-11-22,2,Lima,Hefestoo_,,,http://www.speedrun.com/bozombies/run/y4g665qy,verified
Call of Duty: Black Ops Zombies,,Der Riese,68ko6qn2=klrmdjqp; p85d45lg=81pz3el7,PC,36m 27.000s,https://youtu.be/zxcFjDThCts,https://youtu.be/6D1XzoIVYE8,co-op,2021-09-18,2,Lima,Hefestoo_,,,http://www.speedrun.com/bozombies/run/yvqr626m,verified
