game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call Of Duty Zombies Category Extension,,9kvj563k,68kmpxzl=rqv6z0yl; 38do5qxl=4qy53571,PlayStation 4,4m 32.000s,https://www.youtube.com/watch?v=_l5aN__rp4I,,co-op,2017-08-26,3,TNegrao,JayKayGame,IBailey-HD,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/yvg1l06y,verified
Call Of Duty Zombies Category Extension,,9kvj563k,68kmpxzl=5le3vy6q; 38do5qxl=4qy53571,PlayStation 4,3m 59.990s,https://www.youtube.com/watch?v=zXF4DBN-rLg,,co-op,2017-08-26,4,TNegrao,JayKayGame,IBailey-HD,Murphy0749,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/yw1qg60z,verified
Call of Duty: Black Ops 3 Category Extension,,Specialist%,0nwd2o58=q75097d1; 6njxv458=q5vyxx2l; kn034j0n=1pyv4481,PlayStation 4,4m 32.000s,https://www.youtube.com/watch?v=_l5aN__rp4I,,co-op,2017-08-26,3,TNegrao,JayKayGame,IBailey-HD,,http://www.speedrun.com/bo3zce/run/mkrx0kvz,verified
Call of Duty: Black Ops 3 Category Extension,,Specialist%,0nwd2o58=q75097d1; 6njxv458=q5vyxx2l; kn034j0n=qke299kq,PlayStation 4,3m 59.990s,https://www.youtube.com/watch?v=zXF4DBN-rLg,,co-op,2017-08-26,4,TNegrao,JayKayGame,IBailey-HD,Murphy0749,http://www.speedrun.com/bo3zce/run/z56np2gy,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=814jp01d; jlzz6xl2=0q54r9rl,PlayStation 4,2m 50.000s,https://youtu.be/D3uZU-MAKX8,,co-op,2018-10-05,4,IBailey-HD,JayKayGame,TNegrao,HuttchDev,http://www.speedrun.com/bo3zombies/run/y92l1enz,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=jqzxgy81; 2lg396np=814jp01d; ylp4kjlg=5q84y46l,PlayStation 4,3m 27.000s,https://youtu.be/d8yZi9ZUsYE,,co-op,2018-06-18,4,IBailey-HD,JayKayGame,TNegrao,HuttchDev,http://www.speedrun.com/bo3zombies/run/y927dn2z,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=4lxz9212; ylp4kjlg=5q84y46l,PlayStation 4,5m 27.000s,https://youtu.be/bhNr13dsz_U,,co-op,2018-06-09,3,JayKayGame,IBailey-HD,TNegrao,,http://www.speedrun.com/bo3zombies/run/y6p7pk1m,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=4lxz9212; gnx65jnv=81py6nk1,PlayStation 4,5m 26.000s,https://youtu.be/huE7Sz7sp0c,,co-op,2018-06-08,3,IBailey-HD,JayKayGame,TNegrao,,http://www.speedrun.com/bo3zombies/run/zx4vvqgy,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=4lxz9212; jlzz6xl2=0q54r9rl,PlayStation 4,2m 47.000s,https://youtu.be/F0fBAILJ7hY,,co-op,2018-06-04,3,JayKayGame,IBailey-HD,TNegrao,,http://www.speedrun.com/bo3zombies/run/zp0n5lvm,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=810w6w2q; 2lg396np=4lxz9212; ylqx7m8r=814oxreq,PlayStation 4,5m 31.000s,https://youtu.be/w4p0j1UyT7U,,co-op,2018-05-31,3,IBailey-HD,JayKayGame,TNegrao,,http://www.speedrun.com/bo3zombies/run/zx4933qy,rejected
