game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=rqvo0d7l; 0nw715r8=gq70vzyl; dlo750j8=jq6w74jl,PC,2m 6.490s,https://youtu.be/H3rlBvizx70,,co-op,2024-02-17,2,ItzJustAlexTdy,Junior11,,,http://www.speedrun.com/bocwz/run/y469pn3z,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0137jrdl; 0nw715r8=gq70vzyl; dlo750j8=jq6w74jl,Xbox One,2m 36.000s,https://www.youtube.com/watch?v=u5DDHnX4ELU,,solo,2021-03-05,1,ItzJustAlexTdy,,,,http://www.speedrun.com/bocwz/run/zp3pkggm,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0137jrdl; 0nw715r8=gq70vzyl; dlo750j8=jq6w74jl,Xbox One S,2m 56.933s,https://www.youtube.com/watch?v=rJTzG6euaCM&feature=youtu.be,,solo,2021-02-23,1,ItzJustAlexTdy,,,,http://www.speedrun.com/bocwz/run/y66old0y,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0137jrdl; 0nw715r8=gq70vzyl; dlo750j8=jq6w74jl,Xbox One S,2m 41.600s,https://youtu.be/mA_QhDGa2yc,,solo,2021-02-23,1,ItzJustAlexTdy,,,,http://www.speedrun.com/bocwz/run/y42gwpdm,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=rqvo0d7l; 0nw715r8=gq70vzyl; dlo750j8=jq6w74jl,Xbox One S,2m 22.840s,https://youtu.be/-GJuIh8FmD0,,co-op,2021-02-23,2,ItzJustAlexTdy,Guardian Ange12,,,http://www.speedrun.com/bocwz/run/znoj3v9y,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=0q56pm1p; 38dw04n0=81wer8o1,PC,2m 26.720s,https://www.youtube.com/watch?v=7Fx3wLhgRRc,,co-op,2024-08-18,2,ItzJustAlexTdy,Junior11,,,http://www.speedrun.com/bo3zombies/run/znx03lvy,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=0q56pm1p; 6njz75l4=jqzdkmlp,PC,1m 15.033s,https://www.youtube.com/watch?v=0yYX8a-nBUw,,co-op,2021-10-28,2,Junior11,ItzJustAlexTdy,,,http://www.speedrun.com/bo3zombies/run/y8eg091y,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=0q56pm1p; 6njz75l4=jqzdkmlp,PC,1m 43.067s,https://youtu.be/E4hSz3HJWZ4,,co-op,2021-10-23,2,ItzJustAlexTdy,Junior11,,,http://www.speedrun.com/bo3zombies/run/mrn0vk2y,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=0q56pm1p; 38dw04n0=jqz2ogqp,PC,37m 9.650s,https://youtu.be/4DNSaK0S0xA,,co-op,2021-10-20,2,Junior11,ItzJustAlexTdy,,,http://www.speedrun.com/bo3zombies/run/mk5o4jxm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=0q56pm1p; wlewprl6=xqkd5nl9,PC,48m 42.540s,https://www.twitch.tv/videos/1159612252,,co-op,2021-09-26,2,Junior11,ItzJustAlexTdy,,,http://www.speedrun.com/bo3zombies/run/yj58n8nm,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=0q56pm1p; 38dw04n0=jqz2ogqp,PC,39m 48.400s,https://www.twitch.tv/videos/1094003768,,co-op,2021-07-21,2,Junior11,ItzJustAlexTdy,,,http://www.speedrun.com/bo3zombies/run/z1rwkljm,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PC,54m 24.030s,https://www.twitch.tv/videos/933948685,,solo,2021-03-02,1,ItzJustAlexTdy,,,,http://www.speedrun.com/bo3zombies/run/y9n8gnnz,verified
