game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=qznxn82q; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,2m 45.200s,https://youtu.be/aIZ-g6lEHxw,,solo,2024-12-01,1,JDubs,,,,http://www.speedrun.com/BO6Zombies/run/z08wd14m,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=10vmvxpl; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,1m 41.200s,https://youtu.be/ObMy-Unw-VQ,,co-op,2024-11-30,2,JDubs,TOUSIN,,,http://www.speedrun.com/BO6Zombies/run/m7e1xkwz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=10vmvxpl; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,1m 46.900s,https://youtu.be/NzCf-3bp0hQ,,solo,2024-11-29,1,JDubs,,,,http://www.speedrun.com/BO6Zombies/run/y2n9p4wy,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,11m 35.600s,https://www.youtube.com/watch?v=IhDCtTIGMMw,,co-op,2024-11-29,3,JDubs,Excosis,JettLag,,http://www.speedrun.com/BO6Zombies/run/mr0j74gm,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=21dwgjle,PC,18m 6.110s,https://www.youtube.com/watch?v=2hZiAORaDAI,,solo,2025-10-07,1,JDubs,,,,http://www.speedrun.com/bo2zombies/run/zg9722jm,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=814nn0ld,PC,1m 57.800s,https://youtu.be/VN4OGu5RdXo?si=YPMG-VIzxxIGOzUS,,solo,2025-01-20,1,JDubs,,,,http://www.speedrun.com/bo2zombies/run/y8oew45m,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=21dwgjle,PC,18m 12.150s,https://youtu.be/7PZUr3PQYWg?si=_quCXtuPpk4QISCH,,solo,2025-01-16,1,JDubs,,,,http://www.speedrun.com/bo2zombies/run/zxjo96qy,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=5q8o8k1d,PC,6m 7.500s,https://youtu.be/hVqCO7jLGyM,,solo,2024-04-18,1,JDubs,,,,http://www.speedrun.com/bo2zombies/run/y9jvglrm,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=5lmyj4lv; wl3drko8=le2669kl; 2lg32qnp=5leogzqo,PC,4m 8.600s,https://youtu.be/Xgx9J1XttKo?si=XObiAdNVLHLOqtxi,,solo,2024-03-16,1,JDubs,,,,http://www.speedrun.com/bo2zombies/run/yvl9vg6z,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=814nn0ld,PC,2m 7.730s,https://youtu.be/6OK5ATdwgb0,,solo,2024-01-29,1,JDubs,,,,http://www.speedrun.com/bo2zombies/run/yjwve53m,verified
