game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call Of Duty Zombies Category Extension,Infinite Warfare,25K Points,68kmpxzl=zqom2g41; onvym2wn=ln8we70l; jlz6vox8=1w4p825q; 0nwyqk58=q5vn4mml,PC,8m 46.200s,https://youtu.be/ohlfmRME2i4,,solo,2025-12-24,1,JareitSegway,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/zp5prggy,verified
Call Of Duty Zombies Category Extension,Infinite Warfare,25K Points,68kmpxzl=zqom2g41; onvym2wn=ln8we70l; jlz6vox8=1w4p825q; 0nwyqk58=le2rn05l,PC,8m 22.680s,https://youtu.be/fn3JAwto7tE,,solo,2025-12-24,1,JareitSegway,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/y2rkdk9m,verified
Call Of Duty Zombies Category Extension,Infinite Warfare,25K Points,68kmpxzl=zqom2g41; onvym2wn=ln8we70l; jlz6vox8=1w4p825q; 0nwyqk58=qvvpx07q,PC,5m 25.100s,https://youtu.be/yEShtSJwtdk,,solo,2025-12-23,1,JareitSegway,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/m32qew6y,verified
Call Of Duty Zombies Category Extension,Infinite Warfare,25K Points,68kmpxzl=zqom2g41; onvym2wn=ln8we70l; jlz6vox8=1w4p825q; 0nwyqk58=lx5pgk21,PC,11m 2.430s,https://youtu.be/joamqgSPtvU,,solo,2025-12-23,1,JareitSegway,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/mkrq3qxz,verified
Call Of Duty Zombies Category Extension,BO3,25K Points,68kmpxzl=zqom2g41; kn0j593l=z19mgeyl; 789671q8=mlnw6mjl,PC,1m 48.250s,https://youtu.be/RRuj6GW1_7k,,solo,2025-08-08,1,JareitSegway,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/y8gog8nz,verified
Call Of Duty Zombies Category Extension,BO3,25K Points,68kmpxzl=zqom2g41; kn0j593l=z19mgeyl; 789671q8=0138e8xq,PC,1m 18.840s,https://youtu.be/oJLLrA9gLmM,,solo,2024-09-09,1,JareitSegway,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/m7o01l5y,verified
Call Of Duty Zombies Category Extension,BO3,25K Points,68kmpxzl=zqom2g41; kn0j593l=z19mgeyl; 789671q8=814yeyv1,PC,1m 34.400s,https://youtu.be/TKJRtdsxrCk?si=tz_EfZBhSe4ALIst,,solo,2024-09-09,1,JareitSegway,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/z5gev45m,verified
Call Of Duty Zombies Category Extension,BO3,25K Points,68kmpxzl=zqom2g41; kn0j593l=z19mgeyl; 789671q8=4lxpwp4q,PC,1m 54.680s,https://youtu.be/uPTzb9JbZ9I?si=toeoQpTUrcHoRS3j,,solo,2024-09-09,1,JareitSegway,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/m7o2wj4y,verified
Call Of Duty Zombies Category Extension,BO3,25K Points,68kmpxzl=zqom2g41; kn0j593l=z19mgeyl; 789671q8=0q5nen2q,PC,1m 29.440s,https://youtu.be/Q_SA8gWCrGw?si=tnz64Oms1_BJTA7B,,solo,2024-09-09,1,JareitSegway,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/mk1vexxy,verified
Call Of Duty Zombies Category Extension,BO3,25K Points,68kmpxzl=zqom2g41; kn0j593l=z19mgeyl; 789671q8=5lergrkq,PC,1m 33.730s,https://youtu.be/eY5lpRgWmNE?si=aH3u5lMM7kVKcZiH,,solo,2024-09-09,1,JareitSegway,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/y9d6lgem,verified
