game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,Xbox One,3m 40.790s,https://youtu.be/q1TG7asWSoU,,solo,2017-08-31,1,JimmehxS,,,,http://www.speedrun.com/bo3zombies/run/y67d40jm,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=5leo55qo; ylp4kjlg=z195dr0q,Xbox One,3m 22.890s,https://youtu.be/30ZLPYJk2nI,,solo,2017-08-31,1,JimmehxS,,,,http://www.speedrun.com/bo3zombies/run/y67d4vpm,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,Xbox One,3m 21.170s,https://youtu.be/fnamEsdgahI,,solo,2017-08-31,1,JimmehxS,,,,http://www.speedrun.com/bo3zombies/run/yvg1kl6y,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=5leo55qo; 2lg7k6lp=81p46ng1,Xbox One,3m 52.030s,https://youtu.be/yPksgfZqerI,,solo,2017-08-31,1,JimmehxS,,,,http://www.speedrun.com/bo3zombies/run/yw1q7g0z,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=5lmg2wml; 2lg396np=5leo55qo; ylp4gjlg=xqk968n1,Xbox One,3m 29.320s,https://youtu.be/SBZVnYaGo4Y,,solo,2017-08-31,1,JimmehxS,,,,http://www.speedrun.com/bo3zombies/run/yjkgvogm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,Xbox One,3m 14.400s,https://youtu.be/XefN_hLvXQI,,solo,2017-08-31,1,JimmehxS,,,,http://www.speedrun.com/bo3zombies/run/zgng0ldy,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=21d36o5q; 2lg396np=5leo55qo; 789ye5nw=p12o4z7l,Xbox One,3m 45.130s,https://youtu.be/VqjooXTBANY,,solo,2017-08-31,1,JimmehxS,,,,http://www.speedrun.com/bo3zombies/run/mek75w3m,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=zqorj2xq; 2lg396np=5leo55qo; 2lg7e6lp=5le3v85q,Xbox One,4m 55.090s,https://youtu.be/yXDqvcarjsA,,solo,2017-08-29,1,JimmehxS,,,,http://www.speedrun.com/bo3zombies/run/mek7d03m,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=5leo55qo; ql659jn9=0q5x78m1,Xbox One,3m 6.040s,https://youtu.be/2lRuL-fv5tQ,,solo,2017-08-29,1,JimmehxS,,,,http://www.speedrun.com/bo3zombies/run/yo478odm,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=jqzdk2lp,Xbox One,9m 25.910s,https://youtu.be/9jrJ3HLIhWc,,solo,2017-08-24,1,JimmehxS,,,,http://www.speedrun.com/bo3zombies/run/yo470kjm,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=21g9gyxq,Xbox One,18m 49.000s,https://youtu.be/q0IS26OYAvY,,solo,2017-08-25,1,JimmehxS,,,,http://www.speedrun.com/iwzombies/run/y67dv26m,verified
