game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call Of Duty Zombies Category Extension,,jdzp196k,68kmpxzl=zqom2g41; ylq9pd78=013w4nxq,PC,34.110s,https://youtu.be/nNUIN3jWa0w,,solo,2022-07-01,1,K1nGz,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/yjpe4kdy,verified
Call Of Duty Zombies Category Extension,BO3,25K Points,68kmpxzl=zqom2g41; kn0j593l=z19mgeyl; 789671q8=4qypeo2q,PC,1m 40.032s,https://youtu.be/PRfwO06-MUk,,solo,2022-06-17,1,K1nGz,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/y4qopddm,verified
Call Of Duty Zombies Category Extension,,jdzp196k,68kmpxzl=zqom2g41; ylq9pd78=013w4nxq,PC,35.067s,https://youtu.be/QKqPXdJfiWA,,solo,2020-09-23,1,K1nGz,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/y6rpv76y,verified
Call of Duty: Advanced Warfare Zombies,,Outbreak,wle6xk48=zqom0w21; 68kmd73l=p12onekl; p8509kvn=1dk9654l,PC,3m 31.000s,https://youtu.be/oISnagVEiAE,,solo,2023-02-05,1,K1nGz,,,,http://www.speedrun.com/awzombies/run/zqe9vx9z,verified
Call of Duty: Advanced Warfare Zombies,,Outbreak,wle6xk48=zqom0w21; 68kmd73l=0q5x6en1; p8509kvn=1dk9654l,PC,4m 2.000s,https://youtu.be/oISnagVEiAE,,solo,2023-02-05,1,K1nGz,,,,http://www.speedrun.com/awzombies/run/z0nl7vjm,verified
Call of Duty: Black Ops 3 Category Extension,,SOE with Round Skips,ylpxvekn=q65nyyjl; 6njxv458=q5vyxx2l; kn034j0n=1926558q,PlayStation 4,34.110s,https://www.youtube.com/watch?v=nNUIN3jWa0w,,solo,2022-07-01,1,K1nGz,,,,http://www.speedrun.com/bo3zce/run/y2r6p25m,verified
Call of Duty: Black Ops 3 Category Extension,,25K Points,onvx6jw8=lx5r0x41; 6njxv458=q5vyxx2l; kn034j0n=1926558q,PC,1m 40.032s,https://www.youtube.com/watch?v=PRfwO06-MUk,,solo,2022-06-17,1,K1nGz,,,,http://www.speedrun.com/bo3zce/run/zq5nddxz,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=klrj632q,PC,3m 2.940s,https://www.twitch.tv/videos/1561136877,,solo,2022-08-13,1,K1nGz,,,,http://www.speedrun.com/bo2zombies/run/znqk7l7z,verified
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; yn23jdl5=81009651,PC,3m 32.050s,https://www.twitch.tv/videos/1521131591,,solo,2022-07-03,1,K1nGz,,,,http://www.speedrun.com/bo2zombies/run/zgpj8nnz,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21d6k23q,PC,16m 0.000s,https://www.twitch.tv/videos/1513662306,,solo,2022-06-25,1,K1nGz,,,,http://www.speedrun.com/bo2zombies/run/m3308pdm,verified
