game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q65x52ol; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PlayStation 5,1m 38.020s,https://www.twitch.tv/videos/2297133303,,co-op,2024-11-08,2,Kevin700P,Noraki_Rebird,,,http://www.speedrun.com/BO6Zombies/run/ywx7knnm,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PlayStation 3,2m 57.340s,https://www.twitch.tv/videos/2298000246,,solo,2024-11-09,1,Kevin700P,,,,http://www.speedrun.com/bo2zombies/run/znxljo8y,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=xqkxxn19,PlayStation 3,53m 26.320s,https://www.twitch.tv/videos/2149258291,,solo,2024-05-18,1,Kevin700P,,,,http://www.speedrun.com/bo2zombies/run/z0dq3jjy,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PlayStation 3,4m 35.340s,https://www.twitch.tv/videos/2002660644,,solo,2023-12-13,1,Kevin700P,,,,http://www.speedrun.com/bo2zombies/run/y4kov8qm,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=klrj632q,PlayStation 3,3m 6.760s,https://www.twitch.tv/videos/510251839,,solo,2019-11-19,1,Kevin700P,,,,http://www.speedrun.com/bo2zombies/run/m31lx14z,rejected
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=klrx350l,PlayStation 3,16m 26.070s,https://www.twitch.tv/videos/510251866,,solo,2019-11-19,1,Kevin700P,,,,http://www.speedrun.com/bo2zombies/run/y21ge4wz,rejected
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 2lg32qnp=xqkoez91,PlayStation 3,21m 37.190s,https://www.twitch.tv/videos/503572964,,solo,2019-11-03,1,Kevin700P,,,,http://www.speedrun.com/bo2zombies/run/z1jqg19z,rejected
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; yn23jdl5=4qy7zn3q,PlayStation 3,16m 40.270s,https://www.twitch.tv/videos/503572953,,solo,2019-11-03,1,Kevin700P,,,,http://www.speedrun.com/bo2zombies/run/z01nl1ey,rejected
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PlayStation 3,4m 49.570s,https://www.twitch.tv/videos/503572961,,solo,2019-11-03,1,Kevin700P,,,,http://www.speedrun.com/bo2zombies/run/y810x11z,rejected
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21d6k23q,PlayStation 3,19m 24.640s,https://www.twitch.tv/videos/503572957,,solo,2019-11-03,1,Kevin700P,,,,http://www.speedrun.com/bo2zombies/run/yv38036z,rejected
Call of Duty: Black Ops II Zombies,,Farm,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 9l79x4n1=5q84kgrl,PlayStation 3,19m 48.180s,https://www.twitch.tv/videos/503572956,,solo,2019-11-03,1,Kevin700P,,,,http://www.speedrun.com/bo2zombies/run/zgk2qkdy,rejected
