game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=xqkd5nl9,PC,22m 48.530s,https://youtu.be/Uz8-zs8xBQk,,solo,2025-02-23,1,KrakenArises,,,,http://www.speedrun.com/bo3zombies/run/y4jkjoky,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=xqkd5nl9,PC,23m 10.430s,https://www.youtube.com/watch?v=AR9rp_CfI4I,,solo,2024-04-30,1,KrakenArises,,,,http://www.speedrun.com/bo3zombies/run/zq8d335z,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=xqkd5nl9,PC,22m 47.580s,https://www.youtube.com/watch?v=CRVWe3FbaGM,,solo,2022-07-19,1,KrakenArises,,,,http://www.speedrun.com/bo3zombies/run/m3xo94gm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=xqkd5nl9,PC,25m 33.230s,https://www.youtube.com/watch?v=am4Q0p_7-10,,solo,2022-06-19,1,KrakenArises,,,,http://www.speedrun.com/bo3zombies/run/ydd2w9jy,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=xqkd5nl9,PC,25m 49.150s,https://www.youtube.com/watch?v=OhpRhTuv8Rg&ab_channel=KrakenArises,,solo,2022-06-15,1,KrakenArises,,,,http://www.speedrun.com/bo3zombies/run/yopnoq0m,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=xqkd5nl9,PC,25m 1.000s,https://www.youtube.com/watch?v=CiamEqS__Nk,,solo,2022-05-29,1,KrakenArises,,,,http://www.speedrun.com/bo3zombies/run/mr7o8r8z,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=xqkd5nl9,PC,28m 40.033s,https://www.youtube.com/watch?v=Wqd4KKvyEts,,solo,2022-04-07,1,KrakenArises,,,,http://www.speedrun.com/bo3zombies/run/y4q77d2m,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=xqkd5nl9,PC,34m 31.082s,https://youtu.be/lRqaiTEBAas,,solo,2020-10-29,1,KrakenArises,,,,http://www.speedrun.com/bo3zombies/run/z1or6ojm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=xqkd5nl9,PC,37m 5.067s,https://www.youtube.com/watch?v=Rd5yIiw1Ye0,,solo,2020-10-15,1,KrakenArises,,,,http://www.speedrun.com/bo3zombies/run/yo33dldy,verified
Call of Duty: Black Ops Zombies,,Ascension,68ko6qn2=jqzdwglp; j84594n9=jq6ygv71,PC,3m 32.300s,https://youtu.be/vWc_CqtSw7w,,solo,2021-01-05,1,KrakenArises,,,,http://www.speedrun.com/bozombies/run/yj6061nz,verified
