game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=klrj63oq,PC,3m 32.260s,https://youtu.be/VpumxIiy3QM,,solo,2023-02-18,1,LewdLila,,,,http://www.speedrun.com/bo2zombies/run/zpgwgqnz,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=klrj632q,PC,3m 13.200s,https://youtu.be/2uvkhYbYP80,,solo,2023-02-18,1,LewdLila,,,,http://www.speedrun.com/bo2zombies/run/m7202qwz,verified
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 5ly102l4=21geonml,PC,2m 46.980s,https://youtu.be/IEa7sYiZ8gM,,solo,2023-02-18,1,LewdLila,,,,http://www.speedrun.com/bo2zombies/run/mkv0v75y,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 68kozzn2=jqzvyn2l,PC,3m 12.440s,https://youtu.be/z639RZ99Oi8,,solo,2023-02-18,1,LewdLila,,,,http://www.speedrun.com/bo2zombies/run/m3lqlrwm,verified
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 6njyzen4=9qjwe2g1,PC,3m 52.080s,https://youtu.be/5KlGp9shEJ0,,solo,2023-02-18,1,LewdLila,,,,http://www.speedrun.com/bo2zombies/run/m7202w0z,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 2lg32qnp=p12o4vdl,PC,2m 55.922s,https://www.youtube.com/watch?v=3h1lbCSdO9E,,solo,2023-02-13,1,LewdLila,,,,http://www.speedrun.com/bo2zombies/run/z5ee6kez,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=jqzv9eml,PC,1m 7.050s,https://youtu.be/S6x6jy9j2-A,,solo,2018-04-12,1,LewdLila,,,,http://www.speedrun.com/bo3zombies/run/y4546r2m,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=5leo55qo; ylp4kjlg=21ge58nl,PC,4m 26.430s,https://youtu.be/pm_XmSTOpBg,,solo,2018-04-12,1,LewdLila,,,,http://www.speedrun.com/bo3zombies/run/zgn0lr0y,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=z195kykq,PC,3m 42.840s,https://youtu.be/PCr_4QD6LP0,,solo,2018-04-12,1,LewdLila,,,,http://www.speedrun.com/bo3zombies/run/mrqpv64y,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=gq79pjvl,PC,3m 50.000s,https://youtu.be/9okIHDEl1Ac,,solo,2018-04-11,1,LewdLila,,,,http://www.speedrun.com/bo3zombies/run/mrqpl5dy,verified
