game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=814nn0ld,PlayStation 3,4m 21.190s,https://youtu.be/OjU0KbAVMyU,,solo,2021-07-24,1,Lyquydyzee,,,,http://www.speedrun.com/bo2zombies/run/yj5j453m,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=814nn0ld,PlayStation 3,4m 20.000s,https://youtu.be/G-iM8-bR29o,,solo,2021-07-17,1,Lyquydyzee,,,,http://www.speedrun.com/bo2zombies/run/zxg1x08y,rejected
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PlayStation 3,3m 22.000s,https://youtu.be/8aCDpWYJkXw,,solo,2021-07-17,1,Lyquydyzee,,,,http://www.speedrun.com/bo2zombies/run/zp1jo08z,rejected
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PlayStation 3,3m 25.000s,https://youtu.be/FqURgNBZjPo,,solo,2021-07-17,1,Lyquydyzee,,,,http://www.speedrun.com/bo2zombies/run/yo7we70m,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=21dvj0j1,PlayStation 4,9m 15.400s,https://youtu.be/HEri_r1hYYU,,solo,2021-10-31,1,Lyquydyzee,,,,http://www.speedrun.com/bo3zombies/run/zxo592gz,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=21dvj0j1,PlayStation 4,11m 22.000s,https://youtu.be/ykd-GXoApDU,,solo,2021-10-26,1,Lyquydyzee,,,,http://www.speedrun.com/bo3zombies/run/me428j8y,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PlayStation 4,3m 12.000s,https://youtu.be/q6VsCA7vuks,,solo,2021-07-23,1,Lyquydyzee,,,,http://www.speedrun.com/bo3zombies/run/zp8nnnry,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=21dvj0j1,PlayStation 4,13m 39.000s,https://youtu.be/b76wQgaTbII,,solo,2021-07-17,1,Lyquydyzee,,,,http://www.speedrun.com/bo3zombies/run/y2xow8wm,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=21dvj0j1,PlayStation 4,13m 39.567s,https://youtu.be/b76wQgaTbII,,solo,2021-07-16,1,Lyquydyzee,,,,http://www.speedrun.com/bo3zombies/run/mr1grx7z,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=21dvj0j1,PlayStation 4,12m 35.000s,https://youtu.be/1XjbxS6jFuU,,solo,2021-07-08,1,Lyquydyzee,,,,http://www.speedrun.com/bo3zombies/run/y99ge1ky,rejected
