game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=0137jrdl; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,PC,25m 4.000s,https://www.youtube.com/watch?v=SqqPCIi1m5I&ab_channel=Markvanleerdam,,solo,2021-11-21,1,MarkvanLeerdam,,,,http://www.speedrun.com/bocwz/run/zxo1358z,verified
Call of Duty: Black Ops Cold War Zombies,,Forsaken,2lgr6kon=0137jrdl; yn2wg5gn=z19v3zjl; 6nj5r4vl=21dnw23l,PC,13m 30.440s,https://www.youtube.com/watch?v=u_0kruzhNWE,,solo,2021-10-21,1,MarkvanLeerdam,,,,http://www.speedrun.com/bocwz/run/z5dl0vjm,rejected
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0137jrdl; 0nw715r8=xqk2g6yq; dlo750j8=5lmenxmq,PC,21m 37.080s,https://www.youtube.com/watch?v=2LfXbbGQVoQ&lc=UgyB11I4uCEGV_znvqV4AaABAg,,solo,2021-10-01,1,MarkvanLeerdam,,,,http://www.speedrun.com/bocwz/run/yo6nw71y,rejected
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=9qjodz3l,PC,20m 55.000s,https://www.youtube.com/watch?v=gLy3Uw90EpU,,solo,2021-09-10,1,MarkvanLeerdam,,,,http://www.speedrun.com/bocwz/run/y47q30ky,rejected
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,21m 30.000s,https://youtu.be/1o2bSx1K0dQ,,solo,2021-09-01,1,MarkvanLeerdam,,,,http://www.speedrun.com/bocwz/run/zn001wly,rejected
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=0137jrdl; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,PC,26m 59.000s,https://www.youtube.com/watch?v=MT4yQ3L7Gfc,,solo,2021-08-16,1,MarkvanLeerdam,,,,http://www.speedrun.com/bocwz/run/z5dj4qgm,verified
Call of Duty: Black Ops Cold War Zombies,,Outbreak,2lgr6kon=0137jrdl; wl313m68=5q8p4m6l,PC,18m 43.000s,https://www.youtube.com/watch?v=tQ0t-mytx60&t=111s,,solo,2021-08-16,1,MarkvanLeerdam,,,,http://www.speedrun.com/bocwz/run/y930qrvy,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,21m 45.421s,https://www.youtube.com/watch?v=4ZU3gJfk2ZE&t=940s,,solo,2021-04-27,1,MarkvanLeerdam,,,,http://www.speedrun.com/bocwz/run/y990n8ey,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,21m 57.025s,https://www.youtube.com/watch?v=PUd-29G-IVc&t=1260s,,solo,2021-03-26,1,MarkvanLeerdam,,,,http://www.speedrun.com/bocwz/run/y2vl5qjz,rejected
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,21m 57.000s,https://www.youtube.com/watch?v=PUd-29G-IVc,,solo,2021-03-26,1,MarkvanLeerdam,,,,http://www.speedrun.com/bocwz/run/zx6pl38z,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,22m 17.000s,https://www.youtube.com/watch?v=_OJOJGVTm58,,solo,2021-03-09,1,MarkvanLeerdam,,,,http://www.speedrun.com/bocwz/run/yd9n4kqz,verified
