game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=rqvo0d7l; 0nw715r8=xqk2g6yq; dlo750j8=jq6w74jl,PC,1h 2m 18.260s,https://www.youtube.com/watch?v=YxwAgKRJRg4,,co-op,2024-02-28,2,Marshallplayz29_YT,Silent_senzz,,,http://www.speedrun.com/bocwz/run/zp60oqrm,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,39m 19.590s,https://www.youtube.com/watch?v=FCXlkkSzx1w,,co-op,2024-02-28,2,Marshallplayz29_YT,Silent_Senzz,,,http://www.speedrun.com/bocwz/run/zgl76nnm,verified
Call of Duty: Black Ops Zombies Mobile,,Ascension,6njz1mpl=21dwdp3l; p8542e7l=814gknw1,Android,16m 44.000s,https://www.youtube.com/watch?v=ULKgPZskZTU,,solo,2020-11-26,1,Marshallplayz29_YT,,,,http://www.speedrun.com/codzmobile/run/yj62p8oz,rejected
Call of Duty: Black Ops Zombies Mobile,,Ascension,6njz1mpl=21dwdp3l; p8542e7l=21gdepx1,Android,13m 34.000s,https://www.youtube.com/watch?v=ULKgPZskZTU,,solo,2020-11-26,1,Marshallplayz29_YT,,,,http://www.speedrun.com/codzmobile/run/m750609z,rejected
Call of Duty: Black Ops Zombies Mobile,,Ascension,6njz1mpl=21dwdp3l; p8542e7l=z19y5pjl,Android,33m 33.000s,https://www.youtube.com/watch?v=ULKgPZskZTU,,solo,2020-11-26,1,Marshallplayz29_YT,,,,http://www.speedrun.com/codzmobile/run/zn3vpvvy,rejected
Call of Duty: Black Ops Zombies Mobile,,Ascension,6njz1mpl=21dwdp3l; p8542e7l=p12mo0vq,Android,1h 10m 0.000s,https://www.youtube.com/watch?v=ULKgPZskZTU,,solo,2020-11-26,1,Marshallplayz29_YT,,,,http://www.speedrun.com/codzmobile/run/yd0jdjxz,rejected
Call of Duty: Black Ops Zombies Mobile,,Call of the Dead,6njz1mpl=21dwdp3l; 38dzq00n=jqzev34q,Android,23m 36.000s,https://www.youtube.com/watch?v=L9rp4a8YnYk,,solo,2020-11-21,1,Marshallplayz29_YT,,,,http://www.speedrun.com/codzmobile/run/y916n9rm,rejected
Call of Duty: Black Ops Zombies Mobile,,Call of the Dead,6njz1mpl=21dwdp3l; 38dzq00n=mlnmdo61,Android,10m 3.000s,https://www.youtube.com/watch?v=L9rp4a8YnYk,,solo,2020-11-21,1,Marshallplayz29_YT,,,,http://www.speedrun.com/codzmobile/run/zxdn6oky,rejected
Call of Duty: Black Ops Zombies Mobile,,Call of the Dead,6njz1mpl=21dwdp3l; 38dzq00n=rqvo6n5l,Android,4m 6.000s,https://www.youtube.com/watch?v=L9rp4a8YnYk,,solo,2020-11-21,1,Marshallplayz29_YT,,,,http://www.speedrun.com/codzmobile/run/zn3jo0vy,rejected
Call of Duty: Black Ops Zombies Mobile,,Kino Der Toten,6njz1mpl=21dwdp3l; rn102wo8=810j0rjl,Android,3m 5.000s,https://www.youtube.com/watch?v=cMjLl-Pjoss,,solo,2020-11-21,1,Marshallplayz29_YT,,,,http://www.speedrun.com/codzmobile/run/me6e4e2z,rejected
Call of Duty: Black Ops Zombies Mobile,,Kino Der Toten,6njz1mpl=21dwdp3l; rn102wo8=gq7d9xnq,Android,6m 42.000s,https://www.youtube.com/watch?v=cMjLl-Pjoss,,solo,2020-11-21,1,Marshallplayz29_YT,,,,http://www.speedrun.com/codzmobile/run/m3gl7qgz,rejected
Call of Duty: Black Ops Zombies Mobile,,Kino Der Toten,6njz1mpl=21dwdp3l; rn102wo8=9qjnw501,Android,15m 57.000s,https://www.youtube.com/watch?v=iILzqUrSZ8s&feature=youtu.be,,solo,2020-11-20,1,Marshallplayz29_YT,,,,http://www.speedrun.com/codzmobile/run/y4eg3ddm,rejected
Call of Duty: Black Ops Zombies Mobile,,Dead Ops Arcade,6njz1mpl=21dwdp3l; r8r12z0n=810j0djl,Android,10m 13.000s,https://www.youtube.com/watch?v=iILzqUrSZ8s&feature=youtu.be,,solo,2020-11-20,1,Marshallplayz29_YT,,,,http://www.speedrun.com/codzmobile/run/ywdvpl0z,verified
Call of Duty: Black Ops Zombies Mobile,,Call of the Dead,6njz1mpl=21dwdp3l; 38dzq00n=rqvo6n5l,Android,4m 46.000s,https://www.youtube.com/watch?v=iILzqUrSZ8s&feature=youtu.be,,solo,2020-11-20,1,Marshallplayz29_YT,,,,http://www.speedrun.com/codzmobile/run/zq4e3xxm,verified
Call of Duty: Black Ops Zombies Mobile,,Ascension,6njz1mpl=21dwdp3l; p8542e7l=0137wykl,Android,3m 31.000s,https://www.youtube.com/watch?v=iILzqUrSZ8s&feature=youtu.be,,solo,2020-11-20,1,Marshallplayz29_YT,,,,http://www.speedrun.com/codzmobile/run/y8r013dm,rejected
