game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call Of Duty Zombies Category Extension,Cold War,wk6e0ex2,68kmpxzl=zqom2g41,PC,23m 18.000s,https://www.youtube.com/watch?v=tBMS-3V_bUQ&lc=Ugzuy7Sd8l7yeWfgNfB4AaABAg,,solo,2022-02-05,1,Mhyke,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/zn7vnd7m,verified
Call Of Duty Zombies Category Extension,Cold War,wk6e0ex2,68kmpxzl=rqv6z0yl,PC,21m 35.000s,https://www.youtube.com/watch?v=RIe4MQZis2o,,co-op,2022-01-19,3,valley172,BicBoymmm,Mhyke,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/z0op9p9z,verified
Call Of Duty Zombies Category Extension,Cold War,wk6e0ex2,68kmpxzl=5le3vy6q,PC,22m 14.000s,https://www.youtube.com/watch?v=ET2gopy_qps,,co-op,2022-01-19,4,valley172,Theyellowhuman,Mhyke,BicBoymmm,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/yvqr9rom,verified
Call Of Duty Zombies Category Extension,Cold War,wk6e0ex2,68kmpxzl=zqom2g41,PC,25m 17.000s,https://www.youtube.com/watch?v=4HYvqg3iDK8,,solo,2021-02-20,1,Mhyke,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/mr4xkpdz,verified
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=0q5zm8mq; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,PC,19m 37.000s,https://youtu.be/pDL-hU_JIX0?si=GlyBYiWRfr6Cv5kb,,co-op,2024-07-31,4,valley172,BicBoymmm,Mhyke,Kingman,http://www.speedrun.com/bocwz/run/m3jg9vdz,verified
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=5lez085l; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,PC,20m 28.000s,https://youtu.be/LTT0Z5ewYeg?si=Tclc9SADIoItzRRf,,co-op,2023-11-19,3,Mhyke,valley172,BicBoymmm,,http://www.speedrun.com/bocwz/run/yd2dn7jm,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,18m 15.000s,https://www.youtube.com/@Alphyre,https://www.youtube.com/@mhyke1408; https://www.twitch.tv/videos/1867540480,co-op,2023-07-09,2,Alpha_PhillipYT,Mhyke,,,http://www.speedrun.com/bocwz/run/m7024nwy,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=jq6rwx3q; gnxj7pgl=9qjodz3l,PC,3m 10.000s,https://www.youtube.com/watch?v=6Dm_BMvDHic,,co-op,2023-05-07,2,Mhyke,valley172,,,http://www.speedrun.com/bocwz/run/zx34k3qz,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,1m 37.000s,https://www.twitch.tv/videos/1814199219,,solo,2023-05-07,1,Mhyke,,,,http://www.speedrun.com/bocwz/run/mk09811z,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=5lez085l; 0nw715r8=zqogr6p1; dlo750j8=jq6w74jl,PC,4m 39.000s,https://youtu.be/Cnb3kEGmysg,,co-op,2023-05-06,3,valley172,Mhyke,Theyellowhuman,,http://www.speedrun.com/bocwz/run/z0j3er8y,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=5lez085l; 0nw715r8=klrve62q; dlo750j8=5lmenxmq,PC,1h 4m 3.340s,https://www.youtube.com/watch?v=1YVdLC8VQwo,,co-op,2023-04-07,3,Alpha_PhillipYT,Mhyke,Skrine,,http://www.speedrun.com/bocwz/run/yv8kp26m,verified
