game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=21dwn4le; r8rq1rle=21dv57j1,PC,3m 8.000s,https://www.youtube.com/watch?v=dfOBLWezTG0,,co-op,2018-11-27,3,Gxbs,Mudskipper,nothingness,,http://www.speedrun.com/bozombies/run/z11qqr7z,verified
Call of Duty: Black Ops Zombies,,Five,68ko6qn2=21dwn4le; 38dwzen0=klrj9n2q,PC,4m 6.000s,https://www.youtube.com/watch?v=pkuH4jaD6rk,,co-op,2018-11-27,3,Gxbs,Mudskipper,nothingness,,http://www.speedrun.com/bozombies/run/y43gg73z,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=21dwn4le; r8rq1rle=klrdewqp,PC,5m 13.000s,https://www.youtube.com/watch?v=krTWJTUcLQE,,co-op,2018-11-27,3,Gxbs,Mudskipper,nothingness,,http://www.speedrun.com/bozombies/run/yl4nnrnm,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=klrmdjqp; r8rq1rle=gq79z5yl,PC,2m 45.000s,https://www.youtube.com/watch?v=OcozS8v8YKk,,co-op,2018-08-03,2,Mudskipper,nothingness,,,http://www.speedrun.com/bozombies/run/mk9361vz,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=klrmdjqp; r8rq1rle=21dv57j1,PC,2m 52.000s,https://www.youtube.com/watch?v=sm6irxPuOh8,,co-op,2018-07-29,2,Mudskipper,nothingness,,,http://www.speedrun.com/bozombies/run/y43woxdz,verified
Call of Duty: Black Ops Zombies,,Five,68ko6qn2=21dwn4le; 38dwzen0=21geon6l,PC,3m 23.000s,https://www.youtube.com/watch?v=1l0hAhg9zAc,,co-op,2018-07-17,3,Nukkismatti,Mudskipper,nothingness,,http://www.speedrun.com/bozombies/run/m3o1w24m,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=klrmdjqp; r8rq1rle=gq79z5yl,PC,2m 57.000s,https://www.youtube.com/watch?v=WreKfFI3sjA,,co-op,2018-07-16,2,Mudskipper,nothingness,,,http://www.speedrun.com/bozombies/run/zg7w34dz,verified
Call of Duty: Black Ops Zombies,,Five,68ko6qn2=klrmdjqp; 38dwzen0=21geon6l,PC,2m 58.000s,https://www.youtube.com/watch?v=zbgf_-M_G7U,,co-op,2018-07-14,2,Mudskipper,nothingness,,,http://www.speedrun.com/bozombies/run/z11jpwjz,verified
Call of Duty: Black Ops Zombies,,Five,68ko6qn2=klrmdjqp; 38dwzen0=klrj9n2q,PC,3m 1.000s,https://www.youtube.com/watch?v=GTAXtRKUygY,,co-op,2018-07-13,2,Mudskipper,nothingness,,,http://www.speedrun.com/bozombies/run/m7pqw24m,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=klrmdjqp; r8rq1rle=21dv57j1,PC,3m 2.000s,https://www.youtube.com/watch?v=rXHCodlRTAE,,co-op,2018-07-13,2,Mudskipper,nothingness,,,http://www.speedrun.com/bozombies/run/m3o16vgm,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=21dwn4le; r8rq1rle=gq79z5yl,PC,3m 20.000s,https://www.youtube.com/watch?v=AFNyHBQeEJo,,co-op,2018-07-13,3,Nukkismatti,Mudskipper,nothingness,,http://www.speedrun.com/bozombies/run/z031pw8z,verified
