game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call Of Duty Zombies Category Extension,,9kvj563k,68kmpxzl=rqv6z0yl; 38do5qxl=5q8252kq,PlayStation 4,7m 10.000s,https://www.youtube.com/watch?v=7Kkx07Chee8,,co-op,2017-08-26,3,TNegrao,JayKayGame,Murphy0749,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/z5or82ny,verified
Call Of Duty Zombies Category Extension,,9kvj563k,68kmpxzl=5le3vy6q; 38do5qxl=4qy53571,PlayStation 4,3m 59.990s,https://www.youtube.com/watch?v=zXF4DBN-rLg,,co-op,2017-08-26,4,TNegrao,JayKayGame,IBailey-HD,Murphy0749,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/yw1qg60z,verified
Call Of Duty Zombies Category Extension,,jdzp196k,68kmpxzl=013w4jyq; ylq9pd78=zqom26x1,PlayStation 4,6m 20.870s,https://www.youtube.com/watch?v=Le-TFYV5ooU,,co-op,2017-08-25,2,Murphy0749,Milhousekid,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/zpq1pxvy,verified
Call of Duty: Black Ops 3 Category Extension,,Specialist%,0nwd2o58=q75097d1; 6njxv458=q5vyxx2l; kn034j0n=qke299kq,PlayStation 4,3m 59.990s,https://www.youtube.com/watch?v=zXF4DBN-rLg,,co-op,2017-08-26,4,TNegrao,JayKayGame,IBailey-HD,Murphy0749,http://www.speedrun.com/bo3zce/run/z56np2gy,verified
Call of Duty: Black Ops 3 Category Extension,,Specialist%,0nwd2o58=qke29zkq; 6njxv458=q5vyxx2l; kn034j0n=1pyv4481,PlayStation 4,7m 10.000s,https://www.youtube.com/watch?v=7Kkx07Chee8,,co-op,2017-08-26,3,TNegrao,JayKayGame,Murphy0749,,http://www.speedrun.com/bo3zce/run/zg9188dm,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=z198xd8q; 2lg396np=5leo55qo; onvmywnm=4lx0d42l,PlayStation 4,2m 51.010s,https://youtu.be/kFutgcxK4io,,solo,2018-09-23,1,Murphy0749,,,,http://www.speedrun.com/bo3zombies/run/yd3egxqz,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=z198xd8q; 2lg396np=5leo55qo; onvmywnm=81we5o91,PlayStation 4,13m 5.000s,https://youtu.be/kFutgcxK4io,,solo,2018-09-23,1,Murphy0749,,,,http://www.speedrun.com/bo3zombies/run/y9236q2z,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=z198xd8q; 2lg396np=5leo55qo; onvmywnm=rqvx8v5l,PlayStation 4,31m 2.000s,https://youtu.be/kFutgcxK4io,,solo,2018-09-23,1,Murphy0749,,,,http://www.speedrun.com/bo3zombies/run/z11xq4jz,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=5leo55qo; 2lg7k6lp=81p46ng1,PlayStation 4,2m 56.770s,https://www.youtube.com/watch?v=boF2EP4V4LQ&t=1s,,solo,2017-12-26,1,Murphy0749,,,,http://www.speedrun.com/bo3zombies/run/mrq2rqdy,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=5leo55qo; 2lg7k6lp=5le3mzpq,PlayStation 4,12m 36.080s,https://www.youtube.com/watch?v=boF2EP4V4LQ&t=1s,,solo,2017-12-26,1,Murphy0749,,,,http://www.speedrun.com/bo3zombies/run/y45kx5dm,verified
