game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=5leo55qo; ql659jn9=jqzv9eml,PC,25.350s,https://youtu.be/td5PXGNQ4xQ,,solo,2024-06-02,1,Prynce,,,,http://www.speedrun.com/bo3zombies/run/zxq03gqm,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=5leo55qo; ylp4kjlg=21ge58nl,PC,3m 25.240s,https://youtu.be/ZIes5NgNyQ0,,solo,2024-06-01,1,Prynce,,,,http://www.speedrun.com/bo3zombies/run/ydn4dejm,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=gq79pjvl,PC,2m 50.670s,https://youtu.be/QwA52SLe4WQ,,solo,2024-06-01,1,Prynce,,,,http://www.speedrun.com/bo3zombies/run/y46n8j2z,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=jqzv9eml,PC,55.380s,https://youtu.be/pSr71HmZ6r0,,solo,2024-05-28,1,Prynce,,,,http://www.speedrun.com/bo3zombies/run/z0d802ey,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=21d3635q; 2lg396np=5leo55qo; p85pd5lg=81p42ok1,PC,3m 50.800s,https://youtu.be/jTY1c-0H4BI,,solo,2024-05-28,1,Prynce,,,,http://www.speedrun.com/bo3zombies/run/m30wv56m,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=gq79pjvl,PC,3m 5.340s,https://youtu.be/fLQh9m2KB6M,,solo,2024-05-27,1,Prynce,,,,http://www.speedrun.com/bo3zombies/run/z0d8dwoy,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=5leo55qo; 38dw04n0=p12opmkl,PC,3m 27.370s,https://youtu.be/qwHEP-3j8yg,,solo,2024-05-27,1,Prynce,,,,http://www.speedrun.com/bo3zombies/run/m30wko6m,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=5leo55qo; ylqx7m8r=xqk950y1,PC,2m 56.400s,https://youtu.be/mY7y45-oZcI,,solo,2024-05-27,1,Prynce,,,,http://www.speedrun.com/bo3zombies/run/mkpo0wxy,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=jqzdk2lp,PC,6m 4.640s,https://youtu.be/52B_barvJMg,,solo,2024-05-26,1,Prynce,,,,http://www.speedrun.com/bo3zombies/run/mewn300m,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=5leo55qo; ylp4kjlg=21ge58nl,PC,4m 0.120s,https://youtu.be/_zvG0RefqGM,,solo,2024-05-26,1,Prynce,,,,http://www.speedrun.com/bo3zombies/run/ydnv1nvm,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=814794v1; 2lg396np=5leo55qo; onvmywnm=klrj942q,PC,1m 59.790s,https://youtu.be/7Sqt9qkyJLM,,solo,2024-05-26,1,Prynce,,,,http://www.speedrun.com/bo3zombies/run/mewne79m,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=5leo55qo; ylp4kjlg=5q84y46l,PC,9m 24.940s,https://youtu.be/185m21LmnFg,,solo,2023-01-30,1,Prynce,,,,http://www.speedrun.com/bo3zombies/run/zqe7vr8z,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=5leo55qo; ylp4kjlg=5q84y46l,PC,11m 9.410s,https://youtu.be/3iBK2YcYVnk,,solo,2023-01-30,1,Prynce,,,,http://www.speedrun.com/bo3zombies/run/zg2px2ey,verified
