game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call Of Duty Zombies Category Extension,Cold War,25K Points,68kmpxzl=zqom2g41; ylped6j8=5lex2z6q,PC,3m 23.870s,https://youtu.be/I4F1BmlNa-8?si=HnxYWKNsvHLXw_Qq&t=1568,,solo,2023-09-11,1,RSSE_LittleMac,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/yjwkj6nm,verified
Call Of Duty Zombies Category Extension,Cold War,25K Points,68kmpxzl=zqom2g41; ylped6j8=zqo9z3pq,PC,4m 47.100s,https://youtu.be/I4F1BmlNa-8?si=6J0Yfi1ra7k7NYMM&t=1023,,solo,2023-09-11,1,RSSE_LittleMac,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/zne8w3lz,verified
Call Of Duty Zombies Category Extension,Cold War,25K Points,68kmpxzl=zqom2g41; ylped6j8=xqk2gp4q,PC,4m 7.980s,https://youtu.be/I4F1BmlNa-8?si=zEczk2iy1JEZM3eB&t=530,,solo,2023-09-11,1,RSSE_LittleMac,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/y8kq3rny,verified
Call Of Duty Zombies Category Extension,Cold War,25K Points,68kmpxzl=zqom2g41; ylped6j8=4qypoydq,PC,3m 23.670s,https://youtu.be/I4F1BmlNa-8?si=-pklM0GRx7eZE-Ek&t=71,,solo,2023-09-11,1,RSSE_LittleMac,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/zqd6k48m,verified
Call Of Duty Zombies Category Extension,Cold War,All Maps,68kmpxzl=zqom2g41; 0nwozdrl=klrp40wq,PC,25m 46.000s,https://www.youtube.com/watch?v=I4F1BmlNa-8,,solo,2023-09-11,1,RSSE_LittleMac,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/z5ko53ez,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PlayStation 4,12m 46.160s,https://www.youtube.com/watch?v=fhL90DccIZw,,solo,2026-03-10,1,RSSE_LittleMac,,,,http://www.speedrun.com/BO6Zombies/run/yjrl55oz,new
Call of Duty: Black Ops 6 Zombies,,Shattered Veil,gnxqjz68=1393rex1; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; dloe7zen=qke78kkq,PC,29m 16.180s,https://www.youtube.com/watch?v=TpCs2GWMD_4,,solo,2026-03-05,1,RSSE_LittleMac,,,,http://www.speedrun.com/BO6Zombies/run/zqnr0d9z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,15m 53.130s,https://www.youtube.com/watch?v=KG8Z8tNJskQ,,solo,2026-02-28,1,RSSE_LittleMac,,,,http://www.speedrun.com/BO6Zombies/run/y4v329dy,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 68k1vezl=q75rg8y1,PC,20m 24.310s,https://www.youtube.com/watch?v=oqyPFfpcHDs,https://www.youtube.com/watch?v=nePBG5_3j7g,co-op,2025-08-14,2,RSSE_LittleMac,RSSE_LordSchneider,,,http://www.speedrun.com/BO6Zombies/run/y9eegv2z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,12m 58.550s,https://www.youtube.com/watch?v=59d-nbIR2HA,,solo,2025-07-22,1,RSSE_LittleMac,,,,http://www.speedrun.com/BO6Zombies/run/y681wojz,verified
