game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=5lmyj4lv; wl3drko8=le2669kl; yn23jdl5=mln2o0lp,PC,35m 6.000s,https://www.youtube.com/watch?v=KVZIEF5pjjs,https://www.youtube.com/watch?v=soWLieLyyjA,solo,2024-08-03,1,Slewya,,,,http://www.speedrun.com/bo2zombies/run/zq5q1prz,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21g3pnqz,PC,3h 57m 16.000s,https://youtu.be/FA47Ha83qwE,,solo,2024-03-01,1,Slewya,,,,http://www.speedrun.com/bo2zombies/run/yjo3347z,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=gq76xvlp,PC,1h 7m 26.000s,https://www.twitch.tv/videos/1992996025,,solo,2024-03-01,1,Slewya,,,,http://www.speedrun.com/bo2zombies/run/y6vllp0m,rejected
Call of Duty: Black Ops II Zombies,,Farm,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 9l79x4n1=21dme41e,PC,1h 19m 34.000s,https://youtu.be/BmMrb2_84ik,,solo,2023-03-07,1,Slewya,,,,http://www.speedrun.com/bo2zombies/run/mkp2223y,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=xqkxxn19,PC,29m 49.550s,https://youtu.be/Lz1q_yvEgos,,solo,2023-01-26,1,Slewya,,,,http://www.speedrun.com/bo2zombies/run/z5evxxgz,verified
Call of Duty: Black Ops Zombies,,Ascension,68ko6qn2=jqzdwglp; j84594n9=mln9o6qp,PC,1h 0m 51.000s,https://www.youtube.com/watch?v=Cli1U0E0XwM,,solo,2026-02-11,1,Slewya,,,,http://www.speedrun.com/bozombies/run/yo513gjz,verified
Call of Duty: Black Ops Zombies,,Ascension,68ko6qn2=jqzdwglp; j84594n9=4qy9w3l7,PC,29m 56.000s,https://www.youtube.com/watch?v=Cli1U0E0XwM,,solo,2026-02-11,1,Slewya,,,,http://www.speedrun.com/bozombies/run/yl5gvw3z,verified
Call of Duty: Black Ops Zombies,,Shi No Numa,68ko6qn2=jqzdwglp; ylpgmdlg=jqzmwmlp,PC,3h 0m 56.000s,https://www.youtube.com/watch?v=nBgxAuzOfpw,,solo,2025-12-11,1,Slewya,,,,http://www.speedrun.com/bozombies/run/yv5xpoem,verified
Call of Duty: Black Ops Zombies,,Shi No Numa,68ko6qn2=jqzdwglp; ylpgmdlg=klrrd2lp,PC,7h 50m 12.000s,https://www.youtube.com/watch?v=nBgxAuzOfpw,,solo,2025-12-11,1,Slewya,,,,http://www.speedrun.com/bozombies/run/ydoljd0z,verified
Call of Duty: Black Ops Zombies,,Verrückt,68ko6qn2=jqzdwglp; onv92m8m=klrrdolp,PC,9h 47m 20.000s,https://www.youtube.com/watch?v=qRS1kcm6LTE,,solo,2025-11-29,1,Slewya,,,,http://www.speedrun.com/bozombies/run/yo5xnpjz,verified
Call of Duty: Black Ops Zombies,,Der Riese,68ko6qn2=jqzdwglp; p85d45lg=21g6wxqz,PC,5h 40m 59.000s,https://www.youtube.com/watch?v=14ShUFUKYSI,,solo,2025-01-06,1,Slewya,,,,http://www.speedrun.com/bozombies/run/y8ng4q1y,verified
Call of Duty: Black Ops Zombies,,Der Riese,68ko6qn2=jqzdwglp; p85d45lg=gq7ovnlp,PC,2h 2m 46.000s,https://www.youtube.com/watch?v=WonNBCQoqMo,,solo,2025-01-06,1,Slewya,,,,http://www.speedrun.com/bozombies/run/yo5egvdz,verified
Call of Duty: Black Ops Zombies,,Verrückt,68ko6qn2=jqzdwglp; onv92m8m=jqzmw2lp,PC,3h 28m 32.000s,https://www.youtube.com/watch?v=ri6SZmcV5Gg,,solo,2023-05-15,1,Slewya,,,,http://www.speedrun.com/bozombies/run/y68e29jz,verified
Call of Duty: Black Ops Zombies,,Verrückt,68ko6qn2=jqzdwglp; onv92m8m=21g366qz,PC,1h 18m 30.900s,https://youtu.be/2DgmaTfb0sU,,solo,2022-12-04,1,Slewya,,,,http://www.speedrun.com/bozombies/run/zxnooxem,verified
Call of Duty: Black Ops Zombies,,Der Riese,68ko6qn2=jqzdwglp; p85d45lg=xqk3g919,PC,1h 0m 3.000s,https://www.youtube.com/watch?v=WP9tyq8i_KU,,solo,2022-07-13,1,Slewya,,,,http://www.speedrun.com/bozombies/run/yj855qdm,verified
