game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Vanguard Zombies,,The Archon,gnxwrkj8=9qjo82gl; rn1jz3pn=q8kgegrq; r8r475rn=5lejy3p1,PC,2m 54.850s,https://youtu.be/Tl59toSPBRw,,solo,2024-07-09,1,Sygmasix,,,,http://www.speedrun.com/call_of_duty_vanguard_zombies/run/y4l9k2dz,verified
Call of Duty: Vanguard Zombies,,Shi No Numa,gnxwrkj8=9qjo82gl; 2lg50gq8=5leppz61; 78910jqn=qkezrz9q,PC,3m 23.860s,https://youtu.be/GkPwNWALCpk,,solo,2024-07-03,1,Sygmasix,,,,http://www.speedrun.com/call_of_duty_vanguard_zombies/run/zq8xjn9z,verified
Call of Duty: Vanguard Zombies,,Shi No Numa,gnxwrkj8=9qjo82gl; 2lg50gq8=5leppz61; 78910jqn=013zzeyq,PC,4m 47.400s,https://youtu.be/1rFeVfbupjU,,solo,2022-07-27,1,Sygmasix,,,,http://www.speedrun.com/call_of_duty_vanguard_zombies/run/yvrwx44z,verified
Call of Duty: Vanguard Zombies,,Shi No Numa,gnxwrkj8=9qjo82gl; 2lg50gq8=5leppz61; 78910jqn=81w66w6l,PC,4m 59.210s,https://youtu.be/FBmJIL_1Nn8,,solo,2022-07-23,1,Sygmasix,,,,http://www.speedrun.com/call_of_duty_vanguard_zombies/run/y9vr81em,rejected
Call of Duty: Vanguard Zombies,,Shi No Numa,gnxwrkj8=9qjo82gl; 2lg50gq8=5leppz61; 78910jqn=zqozzw4l,PC,10m 52.930s,https://youtu.be/sjAE2hEvEzE,,solo,2022-07-23,1,Sygmasix,,,,http://www.speedrun.com/call_of_duty_vanguard_zombies/run/mr7gl9gz,verified
Call of Duty: Vanguard Zombies,,Shi No Numa,gnxwrkj8=9qjo82gl; 2lg50gq8=5leppz61; 78910jqn=013zzeyq,PC,4m 59.210s,https://youtu.be/FBmJIL_1Nn8,,solo,2022-07-23,1,Sygmasix,,,,http://www.speedrun.com/call_of_duty_vanguard_zombies/run/zgp5exez,rejected
Call of Duty: Vanguard Zombies,,Shi No Numa,gnxwrkj8=9qjo82gl; 2lg50gq8=5leppz61; 78910jqn=013zzeyq,PC,4m 59.210s,https://youtu.be/2PQgAaRu3Ho,,solo,2022-07-23,1,Sygmasix,,,,http://www.speedrun.com/call_of_duty_vanguard_zombies/run/z1pelx7z,verified
Call of Duty: Vanguard Zombies,,Shi No Numa,gnxwrkj8=9qjo82gl; 2lg50gq8=5leppz61; 78910jqn=013zzeyq,PC,5m 21.012s,https://youtu.be/pRmPWekAgnY,,solo,2022-07-02,1,Sygmasix,,,,http://www.speedrun.com/call_of_duty_vanguard_zombies/run/zp9k9dvm,verified
Call of Duty: Vanguard Zombies,,Terra Maledicta,gnxwrkj8=9qjo82gl; wl394zol=xqkyoy4l,PC,10m 33.370s,https://youtu.be/1hEnXoTzx_g,,solo,2022-05-26,1,Sygmasix,,,,http://www.speedrun.com/call_of_duty_vanguard_zombies/run/me3jpg9z,verified
Call of Duty: Vanguard Zombies,,Terra Maledicta,gnxwrkj8=9qjo82gl; wl394zol=gq7m2mrq,PC,4m 23.059s,https://youtu.be/O2Gc3Jqd1bo,,solo,2022-05-26,1,Sygmasix,,,,http://www.speedrun.com/call_of_duty_vanguard_zombies/run/zq705q5m,verified
Call of Duty: Vanguard Zombies,,Terra Maledicta,gnxwrkj8=9qjo82gl; wl394zol=81pmemn1,PC,22m 33.050s,https://youtu.be/FppXjhzb4Rg,,solo,2022-05-19,1,Sygmasix,,,,http://www.speedrun.com/call_of_duty_vanguard_zombies/run/y4q7r42m,verified
Call of Duty: Vanguard Zombies,,Terra Maledicta,gnxwrkj8=9qjo82gl; wl394zol=81pmemn1,PC,29m 33.660s,https://youtu.be/TMoYo08Cje4,,solo,2022-04-26,1,Sygmasix,,,,http://www.speedrun.com/call_of_duty_vanguard_zombies/run/y2p5q67z,verified
