game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call Of Duty Zombies Category Extension,,9kvj563k,68kmpxzl=rqv6z0yl; 38do5qxl=5q8252kq,PlayStation 4,7m 10.000s,https://www.youtube.com/watch?v=7Kkx07Chee8,,co-op,2017-08-26,3,TNegrao,JayKayGame,Murphy0749,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/z5or82ny,verified
Call Of Duty Zombies Category Extension,,9kvj563k,68kmpxzl=013w4jyq; 38do5qxl=5q8252kq,PlayStation 4,8m 40.000s,https://www.youtube.com/watch?v=H6nifOyvX8s,,co-op,2017-08-26,2,TNegrao,JayKayGame,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/y23x2e9m,verified
Call Of Duty Zombies Category Extension,,9kvj563k,68kmpxzl=013w4jyq; 38do5qxl=4qy53571,PlayStation 4,5m 44.000s,https://www.youtube.com/watch?v=64pORQrLWWw,,co-op,2017-08-26,2,TNegrao,JayKayGame,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/z0erdlem,verified
Call Of Duty Zombies Category Extension,,9kvj563k,68kmpxzl=rqv6z0yl; 38do5qxl=4qy53571,PlayStation 4,4m 32.000s,https://www.youtube.com/watch?v=_l5aN__rp4I,,co-op,2017-08-26,3,TNegrao,JayKayGame,IBailey-HD,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/yvg1l06y,verified
Call Of Duty Zombies Category Extension,,9kvj563k,68kmpxzl=5le3vy6q; 38do5qxl=4qy53571,PlayStation 4,3m 59.990s,https://www.youtube.com/watch?v=zXF4DBN-rLg,,co-op,2017-08-26,4,TNegrao,JayKayGame,IBailey-HD,Murphy0749,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/yw1qg60z,verified
Call of Duty: Advanced Warfare Zombies,,Carrier,wle6xk48=5le3ogzq; rn114jon=9qjwrne1; p8509kvn=1dk9654l,PlayStation 4,30m 57.000s,https://www.youtube.com/watch?v=epWybhf-mW0,,co-op,2018-10-06,4,PlasmidJeff,Jacob2of3,TNegrao,MarqeeMarie,http://www.speedrun.com/awzombies/run/yd3wegxz,verified
Call of Duty: Advanced Warfare Zombies,,Carrier,wle6xk48=rqv67wwl; rn114jon=9qjwrne1; p8509kvn=1dk9654l,PlayStation 4,30m 29.000s,https://www.youtube.com/watch?v=nDilc6Le8og,,co-op,2018-10-04,3,PlasmidJeff,TNegrao,MarqeeMarie,,http://www.speedrun.com/awzombies/run/zp028gvm,verified
Call of Duty: Advanced Warfare Zombies,,Descent,wle6xk48=rqv67wwl; p859357n=814kjg0l; p8509kvn=1dk9654l,PlayStation 4,58m 29.000s,https://www.youtube.com/watch?v=Kf_HUHhGcPI,,co-op,2017-03-18,3,PlasmidJeff,The_Ulti_Gamerz,TNegrao,,http://www.speedrun.com/awzombies/run/y92l36rz,verified
Call of Duty: Advanced Warfare Zombies,,Outbreak,wle6xk48=5le3ogzq; 68kmd73l=z1953gkq; p8509kvn=1dk9654l,PlayStation 4,22m 33.000s,https://www.youtube.com/watch?v=u29n6IxuFxE,,co-op,2017-02-28,4,PlasmidJeff,The_Ulti_Gamerz,Jacob2of3,TNegrao,http://www.speedrun.com/awzombies/run/y6pn9o0m,verified
Call of Duty: Advanced Warfare Zombies,,Infection,wle6xk48=5le3ogzq; j84k6d2n=klrjmw2q; p8509kvn=1dk9654l,PlayStation 4,13m 33.000s,https://www.youtube.com/watch?v=XwiBBNgz7a4,,co-op,2017-02-28,4,PlasmidJeff,The_Ulti_Gamerz,Jacob2of3,TNegrao,http://www.speedrun.com/awzombies/run/me8j4e2m,verified
