game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call Of Duty Zombies Category Extension,BO2,All Maps,68kmpxzl=013w4jyq; 38dz2wxn=81ppwv81; rn10dpd8=5lerg9kq,PlayStation 3,4h 23m 10.500s,https://www.twitch.tv/videos/306325363?t=0h0m1s,,co-op,2018-09-06,2,wobeT,TantumVibe,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/zpl7xlxm,verified
Call Of Duty Zombies Category Extension,,jdzp196k,68kmpxzl=013w4jyq; ylq9pd78=013w4nxq,PC,35.000s,https://www.youtube.com/watch?v=pZYYF57K5Kk,,co-op,2017-09-24,2,wobeT,TantumVibe,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/mekjvg9m,verified
Call of Duty: Black Ops 3 Category Extension,,SOE with Round Skips,ylpxvekn=q65nyyjl; 6njxv458=q5vyxx2l; kn034j0n=12vroo4q,PC,35.000s,https://www.youtube.com/watch?v=pZYYF57K5Kk,,co-op,2017-09-24,2,wobeT,TantumVibe,,,http://www.speedrun.com/bo3zce/run/yl5275xz,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; jlz2ryl2=21d6k23q,PC,20m 9.000s,https://www.twitch.tv/videos/319768018,,co-op,2018-10-10,3,health100,TantumVibe,wobeT,,http://www.speedrun.com/bo2zombies/run/zq30dery,rejected
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PC,3m 46.000s,https://www.twitch.tv/videos/317774902,,co-op,2018-10-05,3,health100,TantumVibe,wobeT,,http://www.speedrun.com/bo2zombies/run/yo2r3j0z,rejected
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; jlz2ryl2=21d6k23q,PC,21m 20.000s,https://www.twitch.tv/videos/317774902,,co-op,2018-10-05,3,health100,TantumVibe,wobeT,,http://www.speedrun.com/bo2zombies/run/yd3w06vz,rejected
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; 5ly102l4=jqzgn04l,PC,27m 31.860s,https://www.twitch.tv/videos/307644340,,co-op,2018-09-08,3,TantumVibe,health100,wobeT,,http://www.speedrun.com/bo2zombies/run/m3or3n4m,verified
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; yn23jdl5=4qy7zn3q,PC,16m 49.000s,https://www.twitch.tv/videos/306325363,,co-op,2018-09-07,2,wobeT,TantumVibe,,,http://www.speedrun.com/bo2zombies/run/zp018wvm,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; gnxjp4lv=klrx350l,PC,16m 50.000s,https://www.youtube.com/watch?v=Q9clBs0akqg&feature=youtu.be,,co-op,2018-08-28,2,TantumVibe,wobeT,,,http://www.speedrun.com/bo2zombies/run/y6p6q3qm,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; gnxjp4lv=klrj632q,PC,2m 59.662s,https://www.youtube.com/watch?v=Q9clBs0akqg&t=8s,,co-op,2018-08-28,2,TantumVibe,wobeT,,,http://www.speedrun.com/bo2zombies/run/mr84v72y,verified
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 6njyzen4=9qjwe2g1,PC,3m 35.460s,https://www.youtube.com/watch?v=5H-UtgN4JKc,,co-op,2018-07-30,2,TantumVibe,wobeT,,,http://www.speedrun.com/bo2zombies/run/mr8klg8y,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PC,5m 26.000s,https://www.youtube.com/watch?v=4gxJTHYdVa8,,co-op,2017-08-30,2,wobeT,TantumVibe,,,http://www.speedrun.com/bo2zombies/run/zn816q8z,verified
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 5ly102l4=21geonml,PC,4m 6.000s,https://www.youtube.com/watch?v=k8tCjbA4oiE&t=3s,,co-op,2017-08-20,2,wobeT,TantumVibe,,,http://www.speedrun.com/bo2zombies/run/mrq1n8dy,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; jlz2ryl2=21d6k23q,PC,28m 11.710s,https://www.youtube.com/watch?v=8SzveMTbyXI&t=25s,,co-op,2017-06-08,4,wobeT,TantumVibe,MadMrlan,Seith,http://www.speedrun.com/bo2zombies/run/yw14jxnz,verified
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 5ly102l4=gq72yep1,PC,11m 1.790s,https://www.youtube.com/watch?v=k8tCjbA4oiE&t=25s,,co-op,2017-05-29,2,wobeT,TantumVibe,,,http://www.speedrun.com/bo2zombies/run/m79pjn0y,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=4lxz9212; 6njz75l4=5lm8wnjq,PC,2m 41.770s,https://www.youtube.com/watch?v=9Cm06nWH7mI,,co-op,2018-09-03,3,TantumVibe,health100,wobeT,,http://www.speedrun.com/bo3zombies/run/zg7gnd0z,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=4lxz9212; 6njz75l4=5q82d8rq,PC,17m 7.130s,https://www.youtube.com/watch?v=9Cm06nWH7mI,,co-op,2018-09-03,3,TantumVibe,health100,wobeT,,http://www.speedrun.com/bo3zombies/run/zp01q9nm,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=5lmg2wml; 2lg396np=0q56pm1p; ylp4gjlg=21dv5z41,PlayStation 3,3m 23.000s,https://www.youtube.com/watch?v=763P3JR4wVI,,co-op,2018-07-25,2,wobeT,TantumVibe,,,http://www.speedrun.com/bo3zombies/run/me8o6o3m,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=0q56pm1p; ylp4gjlg=21dv5z41,PC,4m 13.040s,https://www.youtube.com/watch?v=UvTqhfydOIE,,co-op,2018-07-25,2,wobeT,TantumVibe,,,http://www.speedrun.com/bo3zombies/run/yd3505jz,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=jqzxgy81; 2lg396np=0q56pm1p; ylp4kjlg=4lxgn5jq,PC,1h 7m 4.000s,https://youtube.com/watch?v=ibeUCAwOD_I&t=528s,,co-op,2018-07-22,2,wobeT,TantumVibe,,,http://www.speedrun.com/bo3zombies/run/m3o517dm,verified
