game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=klrj632q,PC,3m 4.000s,https://www.youtube.com/watch?v=twUTLr6KlVw&feature=youtu.be,,solo,2019-01-29,1,TanyaVsTheWorld,,,,http://www.speedrun.com/bo2zombies/run/yo2x0gjz,verified
Call of Duty: Black Ops II Zombies,,Farm,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 9l79x4n1=4qy58771,PC,3m 24.000s,https://youtu.be/hKf3a5QWA90?t=2299,,solo,2019-01-25,1,TanyaVsTheWorld,,,,http://www.speedrun.com/bo2zombies/run/z51gdkem,rejected
Call of Duty: World at War Zombies,Rust,No Power Round 15,5ly09jn4=8149knjq,PC,40m 47.000s,https://youtu.be/bPDhatrTk3c,,co-op,2021-01-11,2,SilentAssassin26,TanyaVsTheWorld,,,http://www.speedrun.com/wawzombies/run/z09vvxoz,verified
Call of Duty: World at War Zombies,Rust,No Perks Round 15,5ly09jn4=4lxg0jrq,PC,12m 9.000s,https://www.youtube.com/watch?v=qAUfr_OW2cc,,solo,2019-02-10,1,TanyaVsTheWorld,,,,http://www.speedrun.com/wawzombies/run/mk8jjvxm,verified
Call of Duty: World at War Zombies,Rust,No Power Round 15,5ly09jn4=4lxg0jrq,PC,32m 15.000s,https://youtu.be/qAUfr_OW2cc,,solo,2019-02-10,1,TanyaVsTheWorld,,,,http://www.speedrun.com/wawzombies/run/yj6nnwoz,verified
Call of Duty: World at War Zombies,Rust,zd3ov1ed,5ly09jn4=4lxg0jrq,PC,32m 20.000s,https://youtu.be/qAUfr_OW2cc,,solo,2019-02-10,1,TanyaVsTheWorld,,,,http://www.speedrun.com/wawzombies/run/m75rro9z,verified
Call of Duty: World at War Zombies,Rust,First Room Round 15,5ly09jn4=8149knjq,PC,3m 25.000s,https://www.youtube.com/watch?v=bPDhatrTk3c,,co-op,2019-02-09,2,SilentAssassin26,TanyaVsTheWorld,,,http://www.speedrun.com/wawzombies/run/zpl77wvm,verified
Call of Duty: World at War Zombies,Rust,No Perks Round 15,5ly09jn4=8149knjq,PC,13m 11.000s,https://www.youtube.com/watch?v=bPDhatrTk3c,,co-op,2019-02-09,2,SilentAssassin26,TanyaVsTheWorld,,,http://www.speedrun.com/wawzombies/run/m3geekgz,verified
Call of Duty: World at War Zombies,Rust,No Power Round 15,5ly09jn4=4lxg0jrq,PC,40m 47.000s,https://youtu.be/bPDhatrTk3c,,co-op,2019-02-09,2,SilentAssassin26,TanyaVsTheWorld,,,http://www.speedrun.com/wawzombies/run/zq4xxd1m,rejected
Call of Duty: World at War Zombies,Rust,zd3ov1ed,5ly09jn4=8149knjq,PC,41m 2.000s,https://youtu.be/bPDhatrTk3c,,co-op,2019-02-09,2,SilentAssassin26,TanyaVsTheWorld,,,http://www.speedrun.com/wawzombies/run/y8r55kxm,verified
Call of Duty: World at War Zombies,Cheese Cube U,First Room Round 15,5ly09jn4=4lxg0jrq,PC,2m 32.000s,https://youtu.be/pPifqmbDwVE?t=5769,,solo,2019-01-27,1,TanyaVsTheWorld,,,,http://www.speedrun.com/wawzombies/run/zxdeeley,verified
