game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; gnxjp4lv=5leozzqo,PlayStation 3,48m 55.000s,https://youtu.be/DJWS8cA6cX0,,co-op,2016-05-30,3,TNegrao,smidjuholl,The_Ulti_Gamerz,,http://www.speedrun.com/bo2zombies/run/0y62191z,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; p85revng=21dwgjle,PlayStation 3,30m 2.000s,https://youtu.be/qqSlmoyFCjI,,co-op,2016-05-09,2,TNegrao,The_Ulti_Gamerz,,,http://www.speedrun.com/bo2zombies/run/1zx31oqz,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; 2lg32qnp=5leogzqo,PlayStation 3,19m 12.000s,https://youtu.be/y3R9Soym_Uo,,co-op,2016-05-01,3,TNegrao,smidjuholl,The_Ulti_Gamerz,,http://www.speedrun.com/bo2zombies/run/pydj7ewy,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; p85revng=21dwgjle,PlayStation 3,29m 37.000s,https://youtu.be/GGbYAXd1HME,,co-op,2016-05-01,3,TNegrao,smidjuholl,The_Ulti_Gamerz,,http://www.speedrun.com/bo2zombies/run/kz5pqdgm,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; 68kozzn2=p12nek1x,PlayStation 3,6m 53.000s,https://youtu.be/sVzPLX1B6yI,,co-op,2016-04-24,4,TNegrao,smidjuholl,JayKayGame,The_Ulti_Gamerz,http://www.speedrun.com/bo2zombies/run/8m70k70y,verified
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; 5ly102l4=21g93mnq,PlayStation 3,16m 1.000s,https://youtu.be/s1DOZAFofwo,,co-op,2015-10-28,4,TNegrao,smidjuholl,JayKayGame,The_Ulti_Gamerz,http://www.speedrun.com/bo2zombies/run/7z0jg74y,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; 2lg32qnp=0130e315,PlayStation 3,16m 7.000s,https://youtu.be/f78vqelGZZw?list=UUOAif5-0S-7kGXOyYhmvQAw,,co-op,2015-10-27,4,TNegrao,smidjuholl,JayKayGame,The_Ulti_Gamerz,http://www.speedrun.com/bo2zombies/run/yjk341dm,rejected
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; 68kozzn2=gq7268v1,PlayStation 3,15m 50.000s,https://youtu.be/rRpbC-CrC8Y,,co-op,2015-10-24,4,TNegrao,smidjuholl,JayKayGame,The_Ulti_Gamerz,http://www.speedrun.com/bo2zombies/run/zq6r34ry,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; gnxjp4lv=5leozzqo,PlayStation 3,36m 51.000s,http://www.twitch.tv/youtubetnegrao/v/21397879,,co-op,2015-10-18,4,TNegrao,smidjuholl,The_Ulti_Gamerz,xVergiL_4S,http://www.speedrun.com/bo2zombies/run/7z07478y,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; 2lg32qnp=5leogzqo,PlayStation 3,10m 25.000s,https://youtu.be/MFMwP23tMfI,,co-op,2015-10-13,4,TNegrao,smidjuholl,The_Ulti_Gamerz,xVergiL_4S,http://www.speedrun.com/bo2zombies/run/emk065vz,rejected
