game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call Of Duty Zombies Category Extension,Cold War,wk6e0ex2,68kmpxzl=5le3vy6q,PC,22m 14.000s,https://www.youtube.com/watch?v=ET2gopy_qps,,co-op,2022-01-19,4,valley172,Theyellowhuman,Mhyke,BicBoymmm,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/yvqr9rom,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=1gn2npxl; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,5m 38.780s,https://www.twitch.tv/videos/2324642277,,solo,2024-12-12,1,Theyellowhuman,,,,http://www.speedrun.com/BO6Zombies/run/men8x9qm,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=5lez085l; 0nw715r8=zqogr6p1; dlo750j8=jq6w74jl,PC,4m 39.000s,https://youtu.be/Cnb3kEGmysg,,co-op,2023-05-06,3,valley172,Mhyke,Theyellowhuman,,http://www.speedrun.com/bocwz/run/z0j3er8y,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=5lez085l; 0nw715r8=gq70vzyl; dlo750j8=jq6w74jl,PlayStation 4,1m 48.000s,https://www.youtube.com/watch?v=0qafjo5mLf4,,co-op,2022-11-21,3,valley172,Theyellowhuman,Mhyke,,http://www.speedrun.com/bocwz/run/y4xpwrqz,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0q5zm8mq; 0nw715r8=xqk2g6yq; dlo750j8=jq6w74jl,PC,19m 25.000s,https://www.youtube.com/watch?v=4BTSF0GKcos,,co-op,2022-11-07,4,valley172,Mhyke,BicBoymmm,Theyellowhuman,http://www.speedrun.com/bocwz/run/yodg445m,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0q5zm8mq; 0nw715r8=xqk2g6yq; dlo750j8=jq6w74jl,PC,19m 25.000s,https://www.youtube.com/watch?v=4BTSF0GKcos&t,,co-op,2022-11-06,4,Mhyke,valley172,Theyellowhuman,BicBoymmm,http://www.speedrun.com/bocwz/run/yd1p76qy,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=5lez085l; 0nw715r8=21gvwom1; dlo750j8=jq6w74jl,PC,9m 55.000s,https://youtu.be/ralVJtRbDYI,,co-op,2022-10-31,3,valley172,Theyellowhuman,BicBoymmm,,http://www.speedrun.com/bocwz/run/z0lkvx4z,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=5lm6e4j1; gnxj7pgl=810y752l,PC,1m 49.000s,https://youtu.be/vfUD3kZ97Y4,,co-op,2022-06-06,2,Theyellowhuman,Mhyke,,,http://www.speedrun.com/bocwz/run/yjp8k4gy,verified
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=rqvo0d7l; 5ly1w0kl=81p2w2kl; jlzrv9y8=81wj8nvq,PC,10m 14.000s,https://youtu.be/ueHo5dyrBlY,,co-op,2022-06-06,2,Theyellowhuman,Mhyke,,,http://www.speedrun.com/bocwz/run/yvr8gj6z,verified
Call of Duty: Black Ops Cold War Zombies,,Forsaken,2lgr6kon=5lez085l; yn2wg5gn=jqzwd04q; 6nj5r4vl=21dnw23l,PC,2m 49.000s,https://www.youtube.com/watch?v=6nzLgwB1_ww,,co-op,2022-06-04,3,Mhyke,valley172,Theyellowhuman,,http://www.speedrun.com/bocwz/run/z1pgk4wz,verified
