game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Advanced Warfare Zombies,,Infection,wle6xk48=zqom0w21; j84k6d2n=5q82o8gq; p8509kvn=1dk9654l,PlayStation 4,46m 31.000s,https://youtu.be/u2rvk_4f1qo,,solo,2021-09-03,1,Vale_irl,,,,http://www.speedrun.com/awzombies/run/z0770w9y,rejected
Call of Duty: Advanced Warfare Zombies,,Descent,wle6xk48=zqom0w21; p859357n=gq79wjvl; p8509kvn=1dk9654l,PlayStation 4,19m 53.000s,https://youtu.be/mxg7n7v-zIY,,solo,2021-08-30,1,Vale_irl,,,,http://www.speedrun.com/awzombies/run/ylrq83ry,rejected
Call of Duty: Advanced Warfare Zombies,,Outbreak,wle6xk48=zqom0w21; 68kmd73l=p12onekl,PlayStation 4,3m 4.000s,https://youtu.be/2WkKVjQkK60,,solo,2021-08-26,1,Vale_irl,,,,http://www.speedrun.com/awzombies/run/yj51n1dm,rejected
Call of Duty: Advanced Warfare Zombies,,Descent,wle6xk48=zqom0w21; p859357n=xqk9d0n1,PlayStation 4,2m 49.000s,https://youtu.be/r3r4MS2HDKA,,solo,2021-08-26,1,Vale_irl,,,,http://www.speedrun.com/awzombies/run/yo69190y,rejected
Call of Duty: Advanced Warfare Zombies,,Outbreak,wle6xk48=zqom0w21; 68kmd73l=p12onekl,PlayStation 4,2m 55.000s,https://youtu.be/pATsyC-zOrk,,solo,2021-08-26,1,Vale_irl,,,,http://www.speedrun.com/awzombies/run/y472pr3y,rejected
Call of Duty: Advanced Warfare Zombies,,Descent,wle6xk48=zqom0w21; p859357n=xqk9d0n1; p8509kvn=1dk9654l,PlayStation 4,2m 46.000s,https://youtu.be/SAfxr9apAIk,,solo,2021-08-26,1,Vale_irl,,,,http://www.speedrun.com/awzombies/run/y696kd6y,rejected
Call of Duty: Advanced Warfare Zombies,,Outbreak,wle6xk48=zqom0w21; 68kmd73l=81p4jwk1,PlayStation 4,14m 6.000s,https://youtu.be/vXxoafPg6Us,,solo,2021-08-26,1,Vale_irl,,,,http://www.speedrun.com/awzombies/run/yj51ngdm,rejected
Call of Duty: Advanced Warfare Zombies,,Outbreak,wle6xk48=zqom0w21; 68kmd73l=xqk9dky1,PlayStation 4,32m 0.000s,https://youtu.be/T70jsn--qU0,,solo,2021-08-26,1,Vale_irl,,,,http://www.speedrun.com/awzombies/run/me49r70y,rejected
Call of Duty: Advanced Warfare Zombies,,Infection,wle6xk48=zqom0w21; j84k6d2n=klrjm4jq,PlayStation 4,3m 23.000s,https://youtu.be/mTxN5TPTpCQ,,solo,2021-08-26,1,Vale_irl,,,,http://www.speedrun.com/awzombies/run/zqvgx58m,rejected
Call of Duty: Advanced Warfare Zombies,,Infection,wle6xk48=zqom0w21; j84k6d2n=21dvwg41; p8509kvn=1dk9654l,PlayStation 4,19m 11.000s,https://youtu.be/h8_EF6vw_sU,,solo,2021-08-26,1,Vale_irl,,,,http://www.speedrun.com/awzombies/run/zn0od5ly,rejected
