game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=rqvo0d7l; 5ly1w0kl=21d57njl; jlzrv9y8=zqogn5x1,PC,3m 8.000s,https://youtu.be/G3tl9cILNQM,,co-op,2024-05-10,2,valley172,ZylOw,,,http://www.speedrun.com/bocwz/run/zxqwnpem,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=rqvo0d7l; 0nw715r8=mlnp4rd1; dlo750j8=5lmenxmq,PC,3m 36.000s,https://youtu.be/r0UjJ_cm7I4,,co-op,2024-05-10,2,valley172,ZylOw,,,http://www.speedrun.com/bocwz/run/m7n32j4z,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=jq6rwx3q; gnxj7pgl=9qjodz3l,PC,2m 58.000s,https://youtu.be/U3NxkCLu7yM,,co-op,2024-05-10,2,valley172,ZylOw,,,http://www.speedrun.com/bocwz/run/mkpqvxxy,verified
Call of Duty: WWII Zombies,,The Frozen Dawn,onv6kdr8=rqvdxx5q; 789k940l=klr7xx0q; onv7j35n=mlnprkj1,PC,1m 38.730s,https://youtu.be/z8W0k_6N9uw,https://www.youtube.com/watch?v=jB2aNOzt5iA,co-op,2026-03-08,2,ZylOw,DeafWeiss,,,http://www.speedrun.com/wwiizombies/run/ywo4on0m,verified
Call of Duty: WWII Zombies,,The Frozen Dawn,onv6kdr8=81w87791; 789k940l=klr7xx0q; onv7j35n=mlnprkj1,PC,3m 35.730s,https://youtu.be/z8W0k_6N9uw,,solo,2026-03-08,1,ZylOw,,,,http://www.speedrun.com/wwiizombies/run/yve3ev6m,verified
Call of Duty: WWII Zombies,,The Final Reich,38dojm0l=5q82o6gq; r8rgo40n=jq6ym031; onv7j35n=4qyd382q,PC,4m 54.550s,https://youtu.be/rJfYc8EGlqM,,solo,2026-03-04,1,ZylOw,,,,http://www.speedrun.com/wwiizombies/run/zn6ro37y,verified
Call of Duty: WWII Zombies,,The Frozen Dawn,onv6kdr8=0q5844rq; 789k940l=21dd6631; onv7j35n=mlnprkj1,PC,9m 49.590s,https://www.youtube.com/watch?v=5Yo37AX9AV4,https://www.youtube.com/watch?v=poQYREwhYUc; https://www.youtube.com/watch?v=dp61YEgpZOc; https://www.youtube.com/watch?v=MWObcrTVY0o,co-op,2026-03-04,4,ZylOw,DeafWeiss,Randeazy,DaddyDontStop,http://www.speedrun.com/wwiizombies/run/zpv40k8z,verified
Call of Duty: WWII Zombies,,The Frozen Dawn,onv6kdr8=rqvdxx5q; 789k940l=klr7xx0q; onv7j35n=mlnprkj1,PC,1m 59.000s,https://www.youtube.com/watch?v=zOqCcFhgdNg,,co-op,2026-03-03,2,Randeazy,ZylOw,,,http://www.speedrun.com/wwiizombies/run/med8rn3y,rejected
Call of Duty: WWII Zombies,,The Shadowed Throne,kn04rxzl=mln5yodl; ql6g0378=81wnm051; onv7j35n=mlnprkj1,PC,2m 25.000s,https://www.youtube.com/watch?v=QVwpSh_r-Tg,,co-op,2026-03-03,2,Randeazy,ZylOw,,,http://www.speedrun.com/wwiizombies/run/y8l95o1m,rejected
Call of Duty: WWII Zombies,,The Final Reich,38dojm0l=4qy5rp41; r8rgo40n=jq6ym031; onv7j35n=mlnprkj1,PC,2m 19.220s,https://www.youtube.com/watch?v=0Kb8BIl--ys,,co-op,2026-03-03,2,Randeazy,ZylOw,,,http://www.speedrun.com/wwiizombies/run/y4v3pldy,rejected
Call of Duty: WWII Zombies,,Groesten Haus,wle6d348=mlndvg61; 5lyj7xgl=81wegpo1; onv7j35n=mlnprkj1,PC,1m 50.140s,https://www.youtube.com/watch?v=iVkjx6BTHOc,,co-op,2026-03-03,2,Randeazy,ZylOw,,,http://www.speedrun.com/wwiizombies/run/mkx9j0vz,rejected
Call of Duty: WWII Zombies,,The Final Reich,38dojm0l=81008zw1; r8rgo40n=5le3775q; onv7j35n=4qyd382q,PC,33m 35.000s,https://www.youtube.com/watch?v=x2WsyCM4WN0&t=15s,https://www.youtube.com/watch?v=XhweLX3aUjc; https://www.youtube.com/watch?v=7PWIoGtw_W8; https://www.youtube.com/watch?v=Yf_PgqMI6qA,co-op,2025-08-31,4,DeafWeiss,ZylOw,Excosis,Randeazy,http://www.speedrun.com/wwiizombies/run/z5no24ez,verified
