game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=5lmxo341,PC,1m 13.267s,https://youtu.be/x8NzfHTibZk,,solo,2023-03-07,1,c_dc,,,,http://www.speedrun.com/bo2zombies/run/y96djo2y,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 68kozzn2=5le5pplo,PC,1m 28.000s,https://youtu.be/Xrr7nGyhEcU,,solo,2023-02-08,1,c_dc,,,,http://www.speedrun.com/bo2zombies/run/y2jeoq9z,rejected
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 5ly102l4=gq72yep1,PC,2m 38.910s,https://youtu.be/E83gwEMIsJU,,solo,2023-02-03,1,c_dc,,,,http://www.speedrun.com/bo2zombies/run/zpgdq1xz,verified
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=5lmyj4lv; wl3drko8=le2669kl; 5ly102l4=81wm425q,PC,40.133s,https://youtu.be/cr2OYRWsmFI,,solo,2023-01-21,1,c_dc,,,,http://www.speedrun.com/bo2zombies/run/yv8on18m,verified
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 5ly102l4=5lmy64lv,PC,1m 15.650s,https://www.youtube.com/watch?v=BUmwZCnksio,,solo,2023-01-19,1,c_dc,,,,http://www.speedrun.com/bo2zombies/run/mronnp8m,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 68kozzn2=gq7257n1,PC,12m 13.460s,https://youtu.be/qG-Mx18kDjU,,solo,2022-08-29,1,c_dc,,,,http://www.speedrun.com/bo2zombies/run/y8xepdwm,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=5lmyj4lv; wl3drko8=le2669kl; 68kozzn2=jqzvyn2l,PC,2m 34.900s,https://youtu.be/FF4Rax9Qcho,,solo,2022-08-29,1,c_dc,,,,http://www.speedrun.com/bo2zombies/run/y2e7217y,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 68kozzn2=jq645o71,PC,1m 3.630s,https://youtu.be/8EYd52RH2tQ,,solo,2022-08-28,1,c_dc,,,,http://www.speedrun.com/bo2zombies/run/mrrn7ldm,verified
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 5ly102l4=5lmy64lv,PC,1m 25.000s,https://youtu.be/J_aWNsE2xRs,,solo,2022-07-09,1,c_dc,,,,http://www.speedrun.com/bo2zombies/run/yjp73pny,verified
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 5ly102l4=5lmy64lv,PC,1m 29.000s,https://youtu.be/gKBVkXMzeaQ,,solo,2022-07-08,1,c_dc,,,,http://www.speedrun.com/bo2zombies/run/zx7018qy,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 68kozzn2=5le5pplo,PC,1m 39.000s,https://youtu.be/_z8gavDcZGg,,solo,2022-06-29,1,c_dc,,,,http://www.speedrun.com/bo2zombies/run/mr7xw2dz,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 68kozzn2=5le5pplo,PC,1m 46.000s,https://youtu.be/7ITl8tVTeaA,,solo,2022-04-12,1,c_dc,,,,http://www.speedrun.com/bo2zombies/run/yddqn7wy,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 68kozzn2=5le5pplo,PC,1m 55.483s,https://youtu.be/3Egy3j50c1g,,solo,2022-02-25,1,c_dc,,,,http://www.speedrun.com/bo2zombies/run/zp2koggy,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; 68kozzn2=5le5pplo,PC,1m 53.640s,https://www.youtube.com/watch?v=NIoA806IX10,,co-op,2022-02-23,3,c_dc,Joey,Connor,,http://www.speedrun.com/bo2zombies/run/zp2k9rgy,verified
