game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: World at War Zombies,,Verrückt,5ly09jn4=4lxg0jrq; jlzjgxn2=21ge6kxl,PC,1m 17.230s,https://youtu.be/MjkUhY_HAyA,,solo,2026-01-18,1,cabiN1,,,,http://www.speedrun.com/wawzombies/run/z0k0pp4m,verified
Call of Duty: World at War Zombies,,Verrückt,5ly09jn4=4lxg0jrq; jlzjgxn2=21ge6kxl,PC,1m 32.000s,https://youtu.be/9sBIrsehmKQ?si=_dkltNc6N7F4VBd-,,solo,2026-01-18,1,cabiN1,,,,http://www.speedrun.com/wawzombies/run/zn5g7x7z,verified
Call of Duty: World at War Zombies,,Verrückt,5ly09jn4=4lxg0jrq; jlzjgxn2=21ge6kxl,PC,1m 53.000s,https://youtu.be/IpcJStGWpkg,,solo,2026-01-17,1,cabiN1,,,,http://www.speedrun.com/wawzombies/run/z56w0vny,verified
Call of Duty: World at War Zombies,Nacht Der Untoten,No Perks Round 15,5ly09jn4=z19x5wk1,PC,45m 10.000s,https://youtu.be/XJciUNetVN8,,co-op,2026-01-17,3,youNaNimous,yhbiugrwesngtweruyib,cabiN1,,http://www.speedrun.com/wawzombies/run/zq5p4drz,rejected
Call of Duty: World at War Zombies,Nacht Der Untoten,No Power Round 15,5ly09jn4=z19x5wk1,PC,45m 10.000s,https://youtu.be/XJciUNetVN8,,co-op,2026-01-17,3,youNaNimous,yhbiugrwesngtweruyib,cabiN1,,http://www.speedrun.com/wawzombies/run/y40nek3z,rejected
Call of Duty: World at War Zombies,,Nacht Der Untoten,5ly09jn4=z19x5wk1; e8mz6mn6=zqon0r2l,PC,45m 10.000s,https://youtu.be/XJciUNetVN8,,co-op,2026-01-17,3,youNaNimous,yhbiugrwesngtweruyib,cabiN1,,http://www.speedrun.com/wawzombies/run/m32vgkdy,rejected
Call of Duty: World at War Zombies,,Nacht Der Untoten,5ly09jn4=z19x5wk1; e8mz6mn6=gq79oynl,PC,34.214s,https://youtu.be/-2n1vsiuXwU,,co-op,2026-01-14,3,youNaNimous,yhbiugrwesngtweruyib,cabiN1,,http://www.speedrun.com/wawzombies/run/y40jj93z,rejected
Call of Duty: World at War Zombies,Nacht Der Untoten,No Perks Round 15,5ly09jn4=z19x5wk1,PC,31m 52.000s,https://youtu.be/2Aqtt4wcrLo,,co-op,2026-01-14,3,youNaNimous,yhbiugrwesngtweruyib,cabiN1,,http://www.speedrun.com/wawzombies/run/mr50xddy,rejected
Call of Duty: World at War Zombies,,Nacht Der Untoten,5ly09jn4=z19x5wk1; e8mz6mn6=zqon0r2l,PC,8m 8.000s,https://youtu.be/2Aqtt4wcrLo,,co-op,2026-01-14,3,youNaNimous,yhbiugrwesngtweruyib,cabiN1,,http://www.speedrun.com/wawzombies/run/mkro1w1z,rejected
Call of Duty: World at War Zombies,Nacht Der Untoten,No Power Round 15,5ly09jn4=z19x5wk1,PC,31m 52.000s,https://youtu.be/2Aqtt4wcrLo,,co-op,2026-01-14,3,youNaNimous,yhbiugrwesngtweruyib,cabiN1,,http://www.speedrun.com/wawzombies/run/m7veolem,rejected
