game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=gq79z5yl,PC,2m 46.000s,https://www.twitch.tv/videos/1728827007,,solo,2023-02-05,1,hYPEltd,,,,http://www.speedrun.com/bozombies/run/z1qg7d7y,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=mln74n1p,PC,7h 13m 43.070s,https://www.youtube.com/watch?v=nJViKcCmj4U,,solo,2023-01-31,1,hYPEltd,,,,http://www.speedrun.com/bozombies/run/z5ex6o5z,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=4qymvdq7,PC,2h 50m 55.000s,https://www.twitch.tv/videos/1622129626,,solo,2022-10-11,1,hYPEltd,,,,http://www.speedrun.com/bozombies/run/m3xw5q6m,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=gq79z5yl,PC,2m 53.450s,https://youtu.be/3vMYdOIQzB0,,solo,2022-10-08,1,hYPEltd,,,,http://www.speedrun.com/bozombies/run/mrrxrd8m,verified
Call of Duty: Black Ops Zombies,,Shangri-La,68ko6qn2=jqzdwglp; p85rgxng=rqv9y5l6,PC,1h 17m 36.000s,https://www.twitch.tv/videos/1605853349,,solo,2022-09-30,1,hYPEltd,,,,http://www.speedrun.com/bozombies/run/zgqlwndy,verified
Call of Duty: Black Ops Zombies,,Shangri-La,68ko6qn2=jqzdwglp; p85rgxng=013p6kl5,PC,34m 59.840s,https://youtu.be/hjytDyB73aI,,solo,2022-09-11,1,hYPEltd,,,,http://www.speedrun.com/bozombies/run/yw66vkpm,verified
Call of Duty: Black Ops Zombies,,Shangri-La,68ko6qn2=jqzdwglp; p85rgxng=81p46yv1,PC,2m 51.220s,https://youtu.be/9xycz3HpMIE,,solo,2022-08-29,1,hYPEltd,,,,http://www.speedrun.com/bozombies/run/z1gpn8jz,verified
Call of Duty: Black Ops Zombies,,Five,68ko6qn2=jqzdwglp; 38dwzen0=klrde0qp,PC,28m 38.000s,https://www.twitch.tv/videos/1573403768,,solo,2022-08-26,1,hYPEltd,,,,http://www.speedrun.com/bozombies/run/yl1qwn2m,verified
Call of Duty: Black Ops Zombies,,Ascension,68ko6qn2=jqzdwglp; j84594n9=4qy9w3l7,PC,30m 33.410s,https://youtu.be/a_mHzDlWofA,,solo,2022-08-22,1,hYPEltd,,,,http://www.speedrun.com/bozombies/run/znq1lv9z,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=z19xxnk1,PC,13m 6.560s,https://youtu.be/ImK2TUttjsQ,,solo,2022-08-22,1,hYPEltd,,,,http://www.speedrun.com/bozombies/run/z1gr37jz,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=21dnjgle,PC,30m 4.560s,https://youtu.be/ImK2TUttjsQ,,solo,2022-08-22,1,hYPEltd,,,,http://www.speedrun.com/bozombies/run/yd1rqoqy,verified
Call of Duty: Black Ops Zombies,,Shangri-La,68ko6qn2=jqzdwglp; p85rgxng=5lennjzl,PC,15m 13.000s,https://youtu.be/WgkVViTfFmg,,solo,2022-08-17,1,hYPEltd,,,,http://www.speedrun.com/bozombies/run/zx8d7x5m,verified
Call of Duty: Black Ops Zombies,,Five,68ko6qn2=jqzdwglp; 38dwzen0=21geon6l,PC,2m 56.670s,https://youtu.be/0UuH40c450I,,solo,2022-06-20,1,hYPEltd,,,,http://www.speedrun.com/bozombies/run/mr722w8z,verified
