game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; gnxjp4lv=klrj632q,Xbox 360,2m 59.445s,https://www.youtube.com/watch?v=OL0z4j6F7lQ,,co-op,2018-08-01,2,jkunderdog,Gardenia,,,http://www.speedrun.com/bo2zombies/run/yl4kp73m,verified
Call of Duty: Black Ops II Zombies,,Farm,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 9l79x4n1=4qy58771,Xbox 360,3m 2.710s,https://www.youtube.com/watch?v=jTroaArHfhU,,co-op,2018-08-01,2,jkunderdog,Gardenia,,,http://www.speedrun.com/bo2zombies/run/y6p5gq1m,verified
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 5ly102l4=21geonml,Xbox 360,2m 38.770s,https://www.youtube.com/watch?v=QPrl-tS8nzc,,co-op,2018-08-01,2,jkunderdog,Gardenia,,,http://www.speedrun.com/bo2zombies/run/z0358dez,verified
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 6njyzen4=9qjwe2g1,Xbox 360,3m 18.020s,https://www.youtube.com/watch?v=KcYBz5tmqOU,,co-op,2018-08-01,2,jkunderdog,Gardenia,,,http://www.speedrun.com/bo2zombies/run/me8o218m,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; p85revng=klrj63oq,Xbox 360,3m 12.640s,https://www.youtube.com/watch?v=XiJxpe00pjI,,co-op,2018-08-01,2,jkunderdog,Gardenia,,,http://www.speedrun.com/bo2zombies/run/me8o223m,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 68kozzn2=jqzvyn2l,Xbox 360,2m 57.810s,https://www.youtube.com/watch?v=POCFyto_c_0,,co-op,2018-07-29,2,jkunderdog,Gardenia,,,http://www.speedrun.com/bo2zombies/run/zq3wjw8y,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=0q56pm1p; 6njz75l4=z195kykq,Xbox One,1m 53.000s,https://www.youtube.com/watch?v=JM8Z4aJBMpk,,co-op,2018-07-18,2,Gardenia,jkunderdog,,,http://www.speedrun.com/bo3zombies/run/yo2j5gdz,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=0q56pm1p; 6njz75l4=5lm8wnjq,Xbox One,2m 34.030s,https://www.youtube.com/watch?v=GI48ZJCVSKQ,,co-op,2018-07-17,2,Gardenia,jkunderdog,,,http://www.speedrun.com/bo3zombies/run/yo2jxedz,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=0q56pm1p; wlewprl6=jq6yg731,Xbox One,2m 53.330s,https://www.youtube.com/watch?v=mZbWkDyTvOs,,co-op,2018-07-17,2,Gardenia,jkunderdog,,,http://www.speedrun.com/bo3zombies/run/mk921nxz,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=810w6w2q; 2lg396np=0q56pm1p; ylqx7m8r=013w4rdq,Xbox One,2m 41.440s,https://www.youtube.com/watch?v=otBGdwswkkQ,,co-op,2018-07-17,2,Gardenia,jkunderdog,,,http://www.speedrun.com/bo3zombies/run/mr8expgy,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=810w6w2q; 2lg396np=4lxz9212; ylqx7m8r=013w4rdq,Xbox One,2m 20.660s,https://www.youtube.com/watch?v=u5yFRZChNR0,,co-op,2018-07-16,3,ZypherTheSlowy,jkunderdog,Gardenia,,http://www.speedrun.com/bo3zombies/run/m7pqn19m,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=4lxz9212; 38dw04n0=81wer8o1,Xbox One,2m 11.410s,https://www.youtube.com/watch?v=2CznOhejga4&t=12s,,co-op,2018-07-15,3,jkunderdog,ZypherTheSlowy,Gardenia,,http://www.speedrun.com/bo3zombies/run/z517pdgm,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=0q56pm1p; 38dw04n0=81wer8o1,Xbox One,2m 18.690s,https://www.youtube.com/watch?v=8lq4pk8Ls1Y,,co-op,2018-07-15,2,Gardenia,jkunderdog,,,http://www.speedrun.com/bo3zombies/run/yl40d92m,verified
