game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=814kpgjl,PC,2m 16.317s,https://youtu.be/CC1A871zCqY,,solo,2022-03-15,1,kabaiji,,,,http://www.speedrun.com/bo3zombies/run/y8j43x5z,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=814kpgjl,PC,2m 21.600s,https://youtu.be/QobDzjzwLJU,,solo,2021-11-29,1,kabaiji,,,,http://www.speedrun.com/bo3zombies/run/m369dwdm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=814kpgjl,PC,2m 36.000s,https://youtu.be/IgPvkLoJw6Q,,solo,2021-03-30,1,kabaiji,,,,http://www.speedrun.com/bo3zombies/run/yw07kgpm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=21dvj0j1,PlayStation 4,8m 49.000s,https://youtu.be/ITogqn_PV-Y,,solo,2020-11-01,1,kabaiji,,,,http://www.speedrun.com/bo3zombies/run/z097re4z,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=0q56pm1p; wlewprl6=jq6yg731,PlayStation 4,2m 57.000s,https://youtu.be/xqJ4OZPzTyo,,co-op,2020-10-31,2,kabaiji,NikkaShin,,,http://www.speedrun.com/bo3zombies/run/y8re26wm,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=814kpgjl,PlayStation 4,2m 39.000s,https://youtu.be/Lka0xZCV2w4,,solo,2020-10-29,1,kabaiji,,,,http://www.speedrun.com/bo3zombies/run/zxdg505y,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=21dvj0j1,PlayStation 4,10m 12.000s,https://youtu.be/3HGU_QFXPak,,solo,2020-10-28,1,kabaiji,,,,http://www.speedrun.com/bo3zombies/run/zn31267y,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=814kpgjl,PlayStation 4,3m 18.000s,https://youtu.be/z_dXknpyJ7M,,solo,2020-10-28,1,kabaiji,,,,http://www.speedrun.com/bo3zombies/run/mk8g14lm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=814kpgjl,PlayStation 4,3m 18.000s,https://youtu.be/z_dXknpyJ7M,,solo,2020-10-28,1,kabaiji,,,,http://www.speedrun.com/bo3zombies/run/m75do99z,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=21dvj0j1,PlayStation 4,10m 47.000s,https://youtu.be/mSrBwjg_wqk,,solo,2020-10-27,1,kabaiji,,,,http://www.speedrun.com/bo3zombies/run/zq41jr8m,verified
